Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	FBbt:00002673	IAO:0000115	Sensillum of the dorsal group of the larval pharynx, innervated by 2 dendrites.	
ERROR	duplicate_definition	FBbt:00047849	IAO:0000115	Segmentally-repeated premotor neuron of the larval abdominal neuromere that is part of lineage 2. It is a period-positive median segmental interneuron (Burgos et al., 2018).	
ERROR	duplicate_definition	FBbt:00047850	IAO:0000115	Segmentally-repeated premotor neuron of the larval abdominal neuromere that is part of lineage 2. It is a period-positive median segmental interneuron (Burgos et al., 2018).	
ERROR	duplicate_definition	FBbt:00001706	IAO:0000115	Region of the larval fat body, posterior to region 1. It consists of a descending band of cells extending over the salivary gland that joins with a ventral commissure that connects to the two main lateral sheets of the fat body. There are two of these similar branches per larvae (2' and 2'').	
ERROR	duplicate_definition	FBbt:00001707	IAO:0000115	Region of the larval fat body, posterior to region 1. It consists of a descending band of cells extending over the salivary gland that joins with a ventral commissure that connects to the two main lateral sheets of the fat body. There are two of these similar branches per larvae (2' and 2'').	
ERROR	duplicate_definition	FBbt:00001679	IAO:0000115	Ostia of the embryonic/larval heart located at the A6/A7 segmental boundary.	
ERROR	duplicate_definition	FBbt:00001680	IAO:0000115	Ostia of the embryonic/larval heart located at the A6/A7 segmental boundary.	
ERROR	duplicate_definition	FBbt:00111706	IAO:0000115	One of the two subtypes of broad duet local neurons of the larval antennal lobe.	
ERROR	duplicate_definition	FBbt:00111707	IAO:0000115	One of the two subtypes of broad duet local neurons of the larval antennal lobe.	
ERROR	duplicate_definition	FBbt:00003460	IAO:0000115	One of the two oblique sternopleural muscles of abdominal segment 1.	
ERROR	duplicate_definition	FBbt:00003461	IAO:0000115	One of the two oblique sternopleural muscles of abdominal segment 1.	
ERROR	duplicate_definition	FBbt:00111692	IAO:0000115	One of the two choosy neuron types of the larval antennal lobe. It targets a different, but overlapping set of glomeruli. It receives most of its input from olfactory receptor neurons, other sensory neurons and picky local neurons. It outputs mainly to uniglomerular projection neurons.	
ERROR	duplicate_definition	FBbt:00111693	IAO:0000115	One of the two choosy neuron types of the larval antennal lobe. It targets a different, but overlapping set of glomeruli. It receives most of its input from olfactory receptor neurons, other sensory neurons and picky local neurons. It outputs mainly to uniglomerular projection neurons.	
ERROR	duplicate_definition	FBbt:00001596	IAO:0000115	One of the three ventral unpaired median interneurons of the embryonic and larval ventral nerve cord midline.	
ERROR	duplicate_definition	FBbt:00001597	IAO:0000115	One of the three ventral unpaired median interneurons of the embryonic and larval ventral nerve cord midline.	
ERROR	duplicate_definition	FBbt:00001598	IAO:0000115	One of the three ventral unpaired median interneurons of the embryonic and larval ventral nerve cord midline.	
ERROR	duplicate_definition	FBbt:00111702	IAO:0000115	One of the three subtypes of broad trio local neurons of the larval antennal lobe.	
ERROR	duplicate_definition	FBbt:00111703	IAO:0000115	One of the three subtypes of broad trio local neurons of the larval antennal lobe.	
ERROR	duplicate_definition	FBbt:00111704	IAO:0000115	One of the three subtypes of broad trio local neurons of the larval antennal lobe.	
ERROR	duplicate_definition	FBbt:00002645	IAO:0000115	One of the three sensilla of the dorsal medial fold, located on the internal dorsal fold of the larval pharynx.	
ERROR	duplicate_definition	FBbt:00002646	IAO:0000115	One of the three sensilla of the dorsal medial fold, located on the internal dorsal fold of the larval pharynx.	
ERROR	duplicate_definition	FBbt:00002647	IAO:0000115	One of the three sensilla of the dorsal medial fold, located on the internal dorsal fold of the larval pharynx.	
ERROR	duplicate_definition	FBbt:00002731	IAO:0000115	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval prothoracic segment.	
ERROR	duplicate_definition	FBbt:00002732	IAO:0000115	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval prothoracic segment.	
ERROR	duplicate_definition	FBbt:00002733	IAO:0000115	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval prothoracic segment.	
ERROR	duplicate_definition	FBbt:00002767	IAO:0000115	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval metathoracic segment.	
ERROR	duplicate_definition	FBbt:00002768	IAO:0000115	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval metathoracic segment.	
ERROR	duplicate_definition	FBbt:00002769	IAO:0000115	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval metathoracic segment.	
ERROR	duplicate_definition	FBbt:00002749	IAO:0000115	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval mesothoracic segment.	
ERROR	duplicate_definition	FBbt:00002750	IAO:0000115	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval mesothoracic segment.	
ERROR	duplicate_definition	FBbt:00002751	IAO:0000115	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval mesothoracic segment.	
ERROR	duplicate_definition	FBbt:00047965	IAO:0000115	One of the contralaterally extending larval odd neurons of the calyx. It has presynaptic terminals in the ipsilateral and contralateral centroposterior medial compartment (posterior inferior protocerebrum) and centroposterior intermediate compartment (clamp) and postsynaptic terminals in the calyx.	
ERROR	duplicate_definition	FBbt:00047966	IAO:0000115	One of the contralaterally extending larval odd neurons of the calyx. It has presynaptic terminals in the ipsilateral and contralateral centroposterior medial compartment (posterior inferior protocerebrum) and centroposterior intermediate compartment (clamp) and postsynaptic terminals in the calyx.	
