np_type	FBbt_id	FBbt_name	ref	date	synonym	synonym_ref
AOTU053	FBbt:20000052	adult anterior optic tubercle neuron 053	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU054	FBbt:20000053	adult anterior optic tubercle neuron 054	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU055	FBbt:20000054	adult anterior optic tubercle neuron 055	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU056	FBbt:20000055	adult anterior optic tubercle neuron 056	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU057	FBbt:20000056	adult anterior optic tubercle neuron 057	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU058	FBbt:20000057	adult anterior optic tubercle neuron 058	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU059	FBbt:20000058	adult anterior optic tubercle neuron 059	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU060	FBbt:20000059	adult anterior optic tubercle neuron 060	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU061	FBbt:20000060	adult anterior optic tubercle neuron 061	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU062	FBbt:20000061	adult anterior optic tubercle neuron 062	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU063	FBbt:20000062	adult anterior optic tubercle neuron 063	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU064	FBbt:20000063	adult anterior optic tubercle neuron 064	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU065	FBbt:20000064	adult anterior optic tubercle neuron 065	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL001	FBbt:20000065	adult antler neuron 001	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL002	FBbt:20000066	adult antler neuron 002	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL003	FBbt:20000067	adult antler neuron 003	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL004	FBbt:20000068	adult antler neuron 004	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL005	FBbt:20000069	adult antler neuron 005	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
