defined_class	defined_class_label	birth_notch	birth_notch_label	neuroblast	neuroblast_label	stage	stage_label	neurotransmitter	neurotransmitter_label	clone	clone_label	other_types	other_types_label
FBbt:00050088	adult BAlv lineage neuron	FBbt:00005106	neuron	FBbt:00100566	neuroblast BAlv	FBbt:00003004	adult			FBbt:00050087	adult BAlv lineage clone		
FBbt:00050091	adult DPLc3 lineage neuron	FBbt:00005106	neuron	FBbt:00100597	neuroblast DPLc3	FBbt:00003004	adult			FBbt:00050090	adult DPLc3 lineage clone		
FBbt:00050094	adult DPMl1 lineage neuron	FBbt:00005106	neuron	FBbt:00100586	neuroblast DPMl1	FBbt:00003004	adult			FBbt:00050093	adult DPMl1 lineage clone		
FBbt:00050096	adult ALad1 lineage neuron	FBbt:00005106	neuron	FBbt:00067346	neuroblast ALad1	FBbt:00003004	adult			FBbt:00050095	adult ALad1 lineage clone		
FBbt:00050099	adult DPLd lineage neuron	FBbt:00005106	neuron	FBbt:00100594	neuroblast DPLd	FBbt:00003004	adult			FBbt:00050098	adult DPLd lineage clone		
FBbt:00050102	adult DM3 lineage neuron	FBbt:00005106	neuron	FBbt:00050100	neuroblast DM3	FBbt:00003004	adult			FBbt:00050101	adult DM3 lineage clone		
FBbt:00050105	adult VLPl1 lineage neuron	FBbt:00005106	neuron	FBbt:00050103	neuroblast VLPl1	FBbt:00003004	adult			FBbt:00050104	adult VLPl1 lineage clone		
FBbt:00050108	adult BLD6 lineage neuron	FBbt:00005106	neuron	FBbt:00049153	neuroblast BLD6	FBbt:00003004	adult			FBbt:00050107	adult BLD6 lineage clone		
FBbt:00050111	adult BAmv2 lineage neuron	FBbt:00005106	neuron	FBbt:00100553	neuroblast BAmv2	FBbt:00003004	adult			FBbt:00050110	adult BAmv2 lineage clone		
FBbt:00050114	adult CP1 lineage neuron	FBbt:00005106	neuron	FBbt:00100608	neuroblast CP1	FBbt:00003004	adult			FBbt:00050113	adult CP1 lineage clone		
FBbt:00050117	adult LHd2 lineage neuron	FBbt:00005106	neuron	FBbt:00100606	neuroblast DPLm2	FBbt:00003004	adult			FBbt:00050116	adult LHd2 lineage clone		
FBbt:00050120	adult VESa1 lineage neuron	FBbt:00005106	neuron	FBbt:00050118	neuroblast VESa1	FBbt:00003004	adult			FBbt:00050119	adult VESa1 lineage clone		
FBbt:00050123	adult DM2 lineage neuron	FBbt:00005106	neuron	FBbt:00050121	neuroblast DM2	FBbt:00003004	adult			FBbt:00050122	adult DM2 lineage clone		
FBbt:00050126	adult DPLl3 lineage neuron	FBbt:00005106	neuron	FBbt:00100602	neuroblast DPLl3	FBbt:00003004	adult			FBbt:00050125	adult DPLl3 lineage clone		
FBbt:00050129	adult DALcl1 lineage neuron	FBbt:00005106	neuron	FBbt:00100545	neuroblast DALcl1	FBbt:00003004	adult			FBbt:00050128	adult DALcl1 lineage clone		
FBbt:00050132	adult DPLpv lineage neuron	FBbt:00005106	neuron	FBbt:00049161	neuroblast DPLpv	FBbt:00003004	adult			FBbt:00050131	adult DPLpv lineage clone		
