defined_class	defined_class_label	precursor_type	precursor_type_label	develops_into_entity	develops_into_entity_label	develops_from_entity	develops_from_entity_label
FBbt:00005518	somatic muscle primordium	FBbt:00005495	primordium	FBbt:00058297	embryonic/larval somatic muscle	FBbt:00000129	somatic mesoderm
FBbt:00005520	fat body/gonad primordium	FBbt:00005495	primordium	FBbt:00005067|FBbt:00005473	fat body primordium|gonadal sheath proper primordium	FBbt:00000130	visceral mesoderm
FBbt:00005542	central brain primordium	FBbt:00005495	primordium	FBbt:00005662	embryonic central brain	FBbt:00015256	central brain anlage
FBbt:00005554	ventral nerve cord primordium	FBbt:00005495	primordium	FBbt:00001102	larval ventral nerve cord	FBbt:00001061	ventral neurectoderm
FBbt:00005574	tracheal branch primordium	FBbt:00005495	primordium	FBbt:00052127	tracheal branch		
FBbt:00005574	tracheal branch primordium	FBbt:00005495	primordium	FBbt:00052127	tracheal branch		
FBbt:00005580	tracheal transverse connective primordium	FBbt:00005495	primordium	FBbt:00000254	embryonic/larval tracheal transverse connective		
FBbt:00005581	dorsal tracheal branch primordium	FBbt:00005495	primordium	FBbt:00000265	embryonic/larval dorsal tracheal branch		
FBbt:00005589	spiracular tracheal branch primordium	FBbt:00005495	primordium	FBbt:00000303	embryonic/larval spiracular tracheal branch		
FBbt:00005591	ganglionic tracheal branch primordium	FBbt:00005495	primordium	FBbt:00000325	embryonic/larval ganglionic tracheal branch		
FBbt:00005595	fat body tracheal branch primordium	FBbt:00005495	primordium	FBbt:00000340	embryonic/larval fat body tracheal branch		
FBbt:00005599	embryonic/larval spiracle primordium	FBbt:00005495	primordium	FBbt:00005054	spiracle		
FBbt:00005682	aorta primordium	FBbt:00005495	primordium	FBbt:00001674	embryonic/larval aorta		
FBbt:00005684	heart primordium	FBbt:00005495	primordium	FBbt:00001675	embryonic/larval heart		
FBbt:00005822	embryonic outer optic lobe primordium	FBbt:00005495	primordium	FBbt:00001933|FBbt:00005661	larval outer optic anlage|embryonic outer optic lobe	FBbt:00001059	visual primordium
FBbt:00005830	Bolwig organ primordium	FBbt:00005495	primordium	FBbt:00005805	Bolwig organ	FBbt:00001059	visual primordium
FBbt:00006029	wing pouch	FBbt:00005495	primordium	FBbt:00006015	wing blade		
FBbt:00006032	mesothoracic tergum primordium	FBbt:00005495	primordium	FBbt:00004580	mesothoracic tergum		
FBbt:00006033	wing hinge primordium	FBbt:00005495	primordium	FBbt:00004731	wing hinge		
FBbt:00007007	embryonic hemocyte anlage	FBbt:00005426	anlage	FBbt:00005247	embryonic hemocyte primordium		
FBbt:00007135	dorsal air sac primordium	FBbt:00005495	primordium	FBbt:00007132	dorsal air sac		
FBbt:00007144	early ommatidial precursor cluster	FBbt:00005495	primordium	FBbt:00001771	five-cell ommatidial precursor cluster		
FBbt:00007470	abdominal tracheal primordium 8	FBbt:00005495	primordium	FBbt:00000404	caudal tracheal branch		
FBbt:00007477	air sac primordium	FBbt:00005495	primordium	FBbt:00003101	adult tracheal air sac		
FBbt:00007593	fused midgut primordium	FBbt:00005495	primordium	FBbt:00001882	embryonic/larval midgut		
FBbt:00007638	presumptive scutum	FBbt:00005426	anlage	FBbt:00004583	scutum		
FBbt:00007639	presumptive scutellum	FBbt:00005426	anlage	FBbt:00004587	scutellum		
FBbt:00007640	presumptive postnotum	FBbt:00005426	anlage	FBbt:00004588	postnotum		
FBbt:00007641	presumptive prescutum	FBbt:00005426	anlage	FBbt:00004582	prescutum		
FBbt:00007645	anterior fused midgut primordium	FBbt:00005495	primordium	FBbt:00001883	embryonic/larval anterior midgut	FBbt:00000444	anterior midgut primordium
FBbt:00007646	posterior fused midgut primordium	FBbt:00005495	primordium	FBbt:00001885	embryonic/larval posterior midgut	FBbt:10005329	posterior midgut primordium
FBbt:00007722	embryonic/larval nodulus - primordial	FBbt:00005495	primordium	FBbt:00003680	nodulus		
FBbt:000084734	presumptive humeral sclerite	FBbt:00005426	anlage	FBbt:00004734	humeral sclerite		
FBbt:00014784	presumptive capitellum	FBbt:00005426	anlage	FBbt:00004784	capitellum		
FBbt:00015256	central brain anlage	FBbt:00005426	anlage	FBbt:00014203|FBbt:00005542	lateral head epidermis primordium|central brain primordium	FBbt:00005415	central brain anlage in statu nascendi
FBbt:00016001	hypopharyngeal sense organ primordium	FBbt:00005495	primordium	FBbt:00002665	hypopharyngeal organ	FBbt:00005503	hypopharynx inclusive primordium
FBbt:00016002	hypopharynx proper primordium	FBbt:00005495	primordium	FBbt:00001869	embryonic/larval hypopharynx	FBbt:00005503	hypopharynx inclusive primordium
FBbt:00016005	salivary gland common duct primordium	FBbt:00005495	primordium	FBbt:00001881	embryonic/larval salivary gland common duct	FBbt:00016004	salivary gland common duct anlage
FBbt:00016006	adult salivary gland anlage	FBbt:00005426	anlage	FBbt:00000443	embryonic primordium of adult salivary gland	FBbt:00017018	salivary gland duct inclusive primordium
FBbt:00016007	ventral trunk epidermis primordium	FBbt:00005495	primordium	FBbt:01005747	embryonic ventral trunk epidermis	FBbt:00005533	ventral epidermis primordium
FBbt:00016008	anal pad primordium	FBbt:00005495	primordium	FBbt:00005748	embryonic anal pad	FBbt:00005533	ventral epidermis primordium
FBbt:00016009	ventral apodeme anlage	FBbt:00005426	anlage	FBbt:00016010	ventral apodeme primordium	FBbt:00005533	ventral epidermis primordium
FBbt:00016010	ventral apodeme primordium	FBbt:00005495	primordium	FBbt:00005749	embryonic ventral apodeme	FBbt:00016009	ventral apodeme anlage
FBbt:00016011	denticle field primordium	FBbt:00005495	primordium	FBbt:00016012	denticle field	FBbt:10005326	denticle field anlage
FBbt:00016014	midline glial primordium	FBbt:00005495	primordium	FBbt:00005144	glial cell	FBbt:00000136	mesectoderm
FBbt:00016015	midline neuronal primordium	FBbt:00005495	primordium	FBbt:00005106	neuron	FBbt:00000136	mesectoderm
FBbt:00016020	dorsal apodeme anlage	FBbt:00005426	anlage	FBbt:00016021	dorsal apodeme primordium	FBbt:00005526	dorsal epidermis primordium
FBbt:00016021	dorsal apodeme primordium	FBbt:00005495	primordium	FBbt:00005745	embryonic dorsal apodeme	FBbt:00016020	dorsal apodeme anlage
FBbt:00017000	amnioserosa primordium	FBbt:00005495	primordium	FBbt:00000095	amnioserosa	FBbt:00017017	amnioserosa anlage
FBbt:00017001	anterior spiracle primordium	FBbt:00005495	primordium	FBbt:00000407	embryonic/larval anterior spiracle		
FBbt:00017003	visceral tracheal branch primordium	FBbt:00005495	primordium	FBbt:00000296	embryonic/larval visceral tracheal branch		
FBbt:00017008	longitudinal visceral muscle primordium	FBbt:00005495	primordium	FBbt:00005071	longitudinal visceral muscle fiber		
FBbt:00017009	ring gland primordium	FBbt:00005495	primordium	FBbt:00049277	larval ring gland		
FBbt:00017010	tracheal dorsal trunk primordium	FBbt:00005495	primordium	FBbt:00000212	embryonic/larval tracheal dorsal trunk		
FBbt:00017011	primary segmental tracheal branch primordium	FBbt:00005495	primordium	FBbt:10000445	primary segmental tracheal branch		
FBbt:00017014	embryonic primordium of adult posterior midgut	FBbt:00005495	primordium	FBbt:00000451	posterior adult midgut progenitor	FBbt:10005329	posterior midgut primordium
FBbt:00017015	circular visceral muscle primordium	FBbt:00005495	primordium	FBbt:00005072	circular visceral muscle fiber	FBbt:00000130	visceral mesoderm
FBbt:00017017	amnioserosa anlage	FBbt:00005426	anlage	FBbt:00017000	amnioserosa primordium	FBbt:00005422	amnioserosa anlage in statu nascendi
FBbt:00017020	oenocyte primordium	FBbt:00005495	primordium	FBbt:00001695	abdominal larval oenocyte group	FBbt:00005526	dorsal epidermis primordium
FBbt:00017025	secondary branch/tracheole primordium	FBbt:00005495	primordium	FBbt:00005571	embryonic tracheole		
FBbt:00017027	gastric caecum primordium	FBbt:00005495	primordium	FBbt:00005781	gastric caecum	FBbt:00000444	anterior midgut primordium
FBbt:00017028	embryonic primordium of adult anterior midgut	FBbt:00005495	primordium	FBbt:00000450	anterior adult midgut progenitor	FBbt:00000444	anterior midgut primordium
FBbt:00018010	embryonic primordium of adult foregut precursor	FBbt:00005495	primordium	FBbt:00005611	embryonic precursor of adult foregut	FBbt:00018007	proventriculus inclusive primordium
FBbt:00046007	presumptive coxa	FBbt:00005426	anlage	FBbt:00004641	coxa		
FBbt:00046008	presumptive coxa-trochanter joint	FBbt:00005426	anlage	FBbt:00051075	coxa-trochanter joint		
FBbt:00046009	presumptive wing vein L1	FBbt:00005426	anlage	FBbt:00004759	wing vein L1		
FBbt:00046014	presumptive femur	FBbt:00005426	anlage	FBbt:00004644	femur		
FBbt:00046015	presumptive metatarsus	FBbt:00005426	anlage	FBbt:00004648	metatarsus		
FBbt:00046016	presumptive tarsal segment 2	FBbt:00005426	anlage	FBbt:00004649	tarsal segment 2		
FBbt:00046017	presumptive tarsal segment 3	FBbt:00005426	anlage	FBbt:00004650	tarsal segment 3		
FBbt:00046018	presumptive tarsal segment 4	FBbt:00005426	anlage	FBbt:00004651	tarsal segment 4		
FBbt:00046019	presumptive tarsal segment 5	FBbt:00005426	anlage	FBbt:00007595	tarsal segment 5		
FBbt:00046020	presumptive tibia	FBbt:00005426	anlage	FBbt:00004642	tibia		
FBbt:00046022	presumptive trochanter	FBbt:00005426	anlage	FBbt:00004643	trochanter		
FBbt:00046029	presumptive unguis	FBbt:00005426	anlage	FBbt:00004660	unguis		
FBbt:00046030	presumptive wing vein L2	FBbt:00005426	anlage	FBbt:00004760	wing vein L2		
FBbt:00046031	presumptive wing vein L3	FBbt:00005426	anlage	FBbt:00004761	wing vein L3		
FBbt:00046032	presumptive wing vein L4	FBbt:00005426	anlage	FBbt:00004762	wing vein L4		
FBbt:00046033	presumptive wing vein L5	FBbt:00005426	anlage	FBbt:00004763	wing vein L5		
FBbt:00046034	presumptive wing margin	FBbt:00005426	anlage	FBbt:00005378	wing margin		
FBbt:00046035	presumptive wing vein	FBbt:00005426	anlage	FBbt:00004751	wing vein		
FBbt:00046042	presumptive intervein	FBbt:00005426	anlage	FBbt:00004769	wing cell		
FBbt:00047211	scutellar pulsatile organ anlage	FBbt:00005426	anlage	FBbt:00003174	scutellar pulsatile organ		
FBbt:00048408	thoracic limb primordium	FBbt:00005495	primordium	FBbt:00001653|FBbt:00001657|FBbt:00005198	dorsal thoracic disc primordium|ventral thoracic disc primordium|Keilin organ		
FBbt:00051440	bulb primordium	FBbt:00005495	primordium	FBbt:00003682	bulb		
FBbt:00051441	superior bulb primordium	FBbt:00005495	primordium	FBbt:00100363	superior bulb		
FBbt:00051442	inferior bulb primordium	FBbt:00005495	primordium	FBbt:00100364	inferior bulb		
FBbt:00051443	ellipsoid body primordium	FBbt:00005495	primordium	FBbt:00003678	ellipsoid body		
FBbt:00051446	gall primordium	FBbt:00005495	primordium	FBbt:00040060	gall		
FBbt:00052052	female genital primordium	FBbt:00005495	primordium	FBbt:00004797	abdominal tergite 8		
FBbt:00052054	anal primordium	FBbt:00005495	primordium	FBbt:00004823	analia		
FBbt:00052055	female genital primordium (female)	FBbt:00005495	primordium	FBbt:00004918|FBbt:00052081|FBbt:00052067|FBbt:00052068|FBbt:00052069|FBbt:00052091|FBbt:00052057|FBbt:00052058	calyx of oviduct|uterine posteroventral intima|oviduct valve|oviduct dorsal ridge|oviduct valve flap|oviprovector scale|epigynial dorsal lobe|epigynial ventral lobe		
FBbt:00052716	lateral ectoderm anlage	FBbt:00005426	anlage	FBbt:00000121	lateral ectoderm		
FBbt:00084585	presumptive anterior notal wing process	FBbt:00005426	anlage	FBbt:00004585	anterior notal wing process		
FBbt:00084586	presumptive posterior notal wing process	FBbt:00005426	anlage	FBbt:00004586	posterior notal wing process		
FBbt:00084593	presumptive anepimeron	FBbt:00005426	anlage	FBbt:00004593	anepimeron		
FBbt:00084597	presumptive anepisternum	FBbt:00005426	anlage	FBbt:00004597	anepisternum		
FBbt:00084730	presumptive tegula	FBbt:00005426	anlage	FBbt:00004730	tegula		
FBbt:00084736	presumptive unnamed wing hinge sclerite	FBbt:00005426	anlage	FBbt:00004736	unnamed wing hinge sclerite		
FBbt:00084738	presumptive 1st axillary sclerite	FBbt:00005426	anlage	FBbt:00004738	1st axillary sclerite		
FBbt:00084739	presumptive 2nd axillary sclerite	FBbt:00005426	anlage	FBbt:00004739	2nd axillary sclerite		
FBbt:00084740	presumptive 3rd axillary sclerite	FBbt:00005426	anlage	FBbt:00004740	3rd axillary sclerite		
FBbt:00084741	presumptive 4th axillary sclerite	FBbt:00005426	anlage	FBbt:00004741	4th axillary sclerite		
FBbt:00084745	presumptive axillary cord	FBbt:00005426	anlage	FBbt:00004744	axillary cord		
FBbt:00105515	late embryonic primordium of adult eye	FBbt:00005495	primordium	FBbt:00001768	eye disc	FBbt:00005515	early embryonic primordium of adult eye
FBbt:00110204	bract primordium	FBbt:00005495	primordium	FBbt:00005180	bract		
FBbt:00110674	presumptive metathoracic phragma	FBbt:00005426	anlage	FBbt:00004639	metathoracic phragma		
FBbt:00110675	presumptive epandrium	FBbt:00005426	anlage	FBbt:00004839	epandrium		
FBbt:00110676	presumptive cercus	FBbt:00005426	anlage	FBbt:00004844	cercus		
FBbt:00110677	presumptive surstylus	FBbt:00005426	anlage	FBbt:00004843	surstylus		
FBbt:00110678	presumptive epandrial ventral lobe	FBbt:00005426	anlage	FBbt:00004842	epandrial ventral lobe		
FBbt:00110679	presumptive hypandrium	FBbt:00005426	anlage	FBbt:00004847	hypandrium		
FBbt:00110680	presumptive male accessory gland	FBbt:00005426	anlage	FBbt:00004959	male accessory gland		
FBbt:00110681	presumptive vas deferens	FBbt:00005426	anlage	FBbt:00004968	vas deferens		
FBbt:00110682	presumptive male adult posterior hindgut	FBbt:00005426	anlage	FBbt:00110696	male adult posterior hindgut		
FBbt:00110683	presumptive subepandrial sclerite	FBbt:00005426	anlage	FBbt:00004840	subepandrial sclerite		
FBbt:00110684	presumptive ejaculatory duct	FBbt:00005426	anlage	FBbt:00004965	ejaculatory duct		
FBbt:00110685	presumptive ejaculatory bulb	FBbt:00005426	anlage	FBbt:00004962	ejaculatory bulb		
FBbt:00110686	presumptive aedeagus	FBbt:00005426	anlage	FBbt:00004852	aedeagus		
FBbt:00110687	presumptive female accessory gland	FBbt:00005426	anlage	FBbt:00004914	female accessory gland		
FBbt:00110688	presumptive hypoproct	FBbt:00005426	anlage	FBbt:00004834	hypoproct		
FBbt:00110689	presumptive epiproct	FBbt:00005426	anlage	FBbt:00004833	epiproct		
FBbt:00110691	presumptive spermatheca	FBbt:00005426	anlage	FBbt:00004921	spermatheca		
FBbt:00110692	presumptive oviduct	FBbt:00005426	anlage	FBbt:00004911	oviduct		
FBbt:00110693	presumptive uterus	FBbt:00005426	anlage	FBbt:00004924	uterus		
FBbt:00110694	presumptive vagina	FBbt:00005426	anlage	FBbt:00052061	vagina		
FBbt:00110695	presumptive oviprovector	FBbt:00005426	anlage	FBbt:00004926	oviprovector		
FBbt:00110697	presumptive hypogynium	FBbt:00005426	anlage	FBbt:00004832	hypogynium		
FBbt:00110698	presumptive hypogynial long bristle	FBbt:00005426	anlage	FBbt:00004467	hypogynial long bristle		
FBbt:00110699	presumptive hypogynial tooth	FBbt:00005426	anlage	FBbt:00004466	hypogynial tooth		
FBbt:00110700	presumptive hypogynial short bristle	FBbt:00005426	anlage	FBbt:00004468	hypogynial short bristle		
FBbt:00110701	presumptive seminal receptacle	FBbt:00005426	anlage	FBbt:00004922	seminal receptacle		
FBbt:00110703	presumptive female adult posterior hindgut	FBbt:00005426	anlage	FBbt:00110702	female adult posterior hindgut		
FBbt:00110705	presumptive epigynium	FBbt:00005426	anlage	FBbt:00110704	epigynium		
FBbt:00110707	presumptive epigynial bristle	FBbt:00005426	anlage	FBbt:00110706	epigynial bristle		
FBbt:00110708	presumptive haustellum	FBbt:00005426	anlage	FBbt:00004541	haustellum		
FBbt:00110709	presumptive labellar cap	FBbt:00005426	anlage	FBbt:00004533	labellar cap		
FBbt:00110710	presumptive prementum	FBbt:00005426	anlage	FBbt:00004534	prementum		
FBbt:00110711	presumptive discal sclerite	FBbt:00005426	anlage	FBbt:00004524	discal sclerite		
FBbt:00110712	presumptive anterior labial plate	FBbt:00005426	anlage	FBbt:00004523	anterior labial plate		
FBbt:00110713	presumptive pseudotrachea	FBbt:00005426	anlage	FBbt:00004164	pseudotrachea		
FBbt:00110714	presumptive border hair	FBbt:00005426	anlage	FBbt:00110715	border hair		
FBbt:00110716	presumptive capitellum trichoid sensillum	FBbt:00005426	anlage	FBbt:00004414	capitellum trichoid sensillum		
FBbt:00110717	presumptive haltere pedicel	FBbt:00005426	anlage	FBbt:00004785	haltere pedicel		
FBbt:00110718	presumptive scabellum	FBbt:00005426	anlage	FBbt:00004786	scabellum		
FBbt:00110719	presumptive dorsal pedicellar campaniform sensillum	FBbt:00005426	anlage	FBbt:00004415	dorsal pedicellar campaniform sensillum		
FBbt:00110720	presumptive ventral pedicellar campaniform sensillum	FBbt:00005426	anlage	FBbt:00004416	ventral pedicellar campaniform sensillum		
FBbt:00110721	presumptive ventral scabellar campaniform sensillum	FBbt:00005426	anlage	FBbt:00004418	ventral scabellar campaniform sensillum		
FBbt:00110722	presumptive dorsal scabellar campaniform sensillum	FBbt:00005426	anlage	FBbt:00004419	dorsal scabellar campaniform sensillum		
FBbt:00110723	presumptive metathoracic papilla	FBbt:00005426	anlage	FBbt:00004409	metathoracic papilla		
FBbt:00110724	presumptive metathoracic spiracle	FBbt:00005426	anlage	FBbt:00004631	adult metathoracic spiracle		
