defined_class	defined_class_label	precursor_type	precursor_type_label	develops_into_entity	develops_into_entity_label	develops_from_entity	develops_from_entity_label
FBbt:00110769	presumptive mesothoracic femoral campaniform sensillum Sc11	FBbt:00005426	anlage	FBbt:00004386	mesothoracic femoral campaniform sensillum Sc11		
FBbt:00110770	presumptive mesothoracic femoral campaniform sensillum Sc1	FBbt:00005426	anlage	FBbt:00004385	mesothoracic femoral campaniform sensillum Sc1		
FBbt:00110772	presumptive mesothoracic tibial preapical bristle	FBbt:00005426	anlage	FBbt:00004391	mesothoracic tibial preapical bristle		
FBbt:00110773	presumptive mesothoracic tibial apical bristle	FBbt:00005426	anlage	FBbt:00004392	mesothoracic tibial apical bristle		
FBbt:00110774	presumptive mesothoracic tibial spur bristle	FBbt:00005426	anlage	FBbt:00004389	mesothoracic tibial spur bristle		
FBbt:00110775	presumptive mesothoracic metatarsus	FBbt:00005426	anlage	FBbt:00004692	mesothoracic metatarsus		
FBbt:00110776	presumptive mesothoracic tarsal segment 2	FBbt:00005426	anlage	FBbt:00004693	mesothoracic tarsal segment 2		
FBbt:00110777	presumptive mesothoracic tarsal segment 3	FBbt:00005426	anlage	FBbt:00004694	mesothoracic tarsal segment 3		
FBbt:00110778	presumptive mesothoracic tarsal segment 4	FBbt:00005426	anlage	FBbt:00004695	mesothoracic tarsal segment 4		
FBbt:00110779	presumptive mesothoracic tarsal segment 5	FBbt:00005426	anlage	FBbt:00004696	mesothoracic tarsal segment 5		
FBbt:00110780	presumptive mesothoracic unguis	FBbt:00005426	anlage	FBbt:00004704	mesothoracic unguis		
FBbt:00110781	presumptive metathorax structures from metathoracic leg disc	FBbt:00005426	anlage	FBbt:00004594|FBbt:00004627	katepimeron|metathoracic episternum		
FBbt:00110782	presumptive mesothoracic tibia	FBbt:00005426	anlage	FBbt:00004687	mesothoracic tibia		
FBbt:00110783	presumptive metathoracic coxa	FBbt:00005426	anlage	FBbt:00004708	metathoracic coxa		
FBbt:00110784	presumptive metathoracic coxal trichoid sensillum St8	FBbt:00005426	anlage	FBbt:00004425	metathoracic coxal trichoid sensillum St8		
