defined_class	class_label	muscle
FBbt:00003471	muscle cell of abdominal 8 female dorsal muscle 147	FBbt:00058988
FBbt:00003493	muscle cell of abdominal 7 female spiracular muscle 143	FBbt:00059009
FBbt:00003513	female rectal somatic muscle cell	FBbt:00059024
FBbt:00003515	muscle cell of female ventral rectal muscle 153	FBbt:00059026
FBbt:00003514	muscle cell of female dorsal rectal muscle 152	FBbt:00059025
FBbt:00003473	abdominal lateral tergosternal muscle cell	FBbt:00058990
FBbt:00003478	muscle cell of abdominal 6 lateral tergosternal muscle 134	FBbt:00058995
FBbt:00003477	muscle cell of abdominal 5 lateral tergosternal muscle 128	FBbt:00058994
FBbt:00003476	muscle cell of abdominal 4 lateral tergosternal muscle 122	FBbt:00058993
FBbt:00003475	muscle cell of abdominal 3 lateral tergosternal muscle 116	FBbt:00058992
FBbt:00003474	muscle cell of abdominal 2 lateral tergosternal muscle 110	FBbt:00058991
FBbt:00013334	occlusor muscle cell of adult abdominal spiracle	FBbt:00059065
FBbt:00003492	muscle cell of abdominal 6 spiracular muscle 136	FBbt:00059008
FBbt:00003491	muscle cell of abdominal 5 spiracular muscle 130	FBbt:00059007
FBbt:00003490	muscle cell of abdominal 4 spiracular muscle 124	FBbt:00059006
FBbt:00003489	muscle cell of abdominal 3 spiracular muscle 118	FBbt:00059005
FBbt:00003488	muscle cell of abdominal 2 spiracular muscle 112	FBbt:00059004
FBbt:00003457	muscle cell of abdominal 1 spiracular muscle 105	FBbt:00058975
FBbt:00003455	muscle cell of abdominal 1 lateral tergosternal muscle 103	FBbt:00058973
FBbt:00003479	abdominal ventral muscle cell	FBbt:00058996
FBbt:00003480	muscle cell of abdominal 2 ventral muscle 111	FBbt:00058997
FBbt:00003483	muscle cell of abdominal 5 ventral muscle 129	FBbt:00059000
FBbt:00003482	muscle cell of abdominal 4 ventral muscle 123	FBbt:00058999
FBbt:00003481	muscle cell of abdominal 3 ventral muscle 117	FBbt:00058998
FBbt:00003484	muscle cell of abdominal 6 ventral muscle 135	FBbt:00059001
FBbt:00003456	muscle cell of abdominal 1 ventral longitudinal muscle 104	FBbt:00058974
FBbt:00003494	abdominal oblique dorsal muscle cell	FBbt:00059010
FBbt:00003499	muscle cell of abdominal 6 oblique dorsal muscle 137	FBbt:00059015
FBbt:00003498	muscle cell of abdominal 5 oblique dorsal muscle 131	FBbt:00059014
FBbt:00003497	muscle cell of abdominal 4 oblique dorsal muscle 125	FBbt:00059013
FBbt:00003496	muscle cell of abdominal 3 oblique dorsal muscle 119	FBbt:00059012
FBbt:00003495	muscle cell of abdominal 2 oblique dorsal muscle 113	FBbt:00059011
FBbt:00003462	abdominal dorsal muscle cell	FBbt:00058979
FBbt:00003466	muscle cell of abdominal 5 dorsal muscle 127	FBbt:00058983
FBbt:00003463	muscle cell of abdominal 2 dorsal muscle 109	FBbt:00058980
FBbt:00003464	muscle cell of abdominal 3 dorsal muscle 115	FBbt:00058981
FBbt:00003465	muscle cell of abdominal 4 dorsal muscle 121	FBbt:00058982
FBbt:00003467	muscle cell of abdominal 6 dorsal muscle 133	FBbt:00058984
FBbt:00003459	muscle cell of abdominal 1 oblique sternopleural muscle	FBbt:00058976
FBbt:00003461	muscle cell of abdominal 1 oblique sternopleural muscle 108	FBbt:00058978
FBbt:00003460	muscle cell of abdominal 1 oblique sternopleural muscle 107	FBbt:00058977
FBbt:00003305	somatic muscle cell of thorax	FBbt:00058828
FBbt:00003314	rotator muscle cell	FBbt:00058837
FBbt:00003316	posterior rotator muscle cell	FBbt:00058839
FBbt:00003341	muscle cell of prothoracic sternal posterior rotator muscle 32	FBbt:00058863
FBbt:00003315	anterior rotator muscle cell	FBbt:00058838
FBbt:00003340	muscle cell of prothoracic sternal anterior rotator muscle 31	FBbt:00058862
FBbt:00003417	somatic muscle cell of metathorax	FBbt:00058937
FBbt:00003427	muscle cell of metathoracic pleural remotor muscle 83	FBbt:00058947
FBbt:00003423	muscle cell of metathoracic lateral intersegmental muscle 80	FBbt:00058943
FBbt:00003430	somatic muscle cell of metathoracic leg	FBbt:00058950
FBbt:00003445	metathoracic reductor muscle cell	FBbt:00058964
FBbt:00058118	metathoracic tarsal reductor muscle cell	FBbt:00059110
FBbt:00058124	metathoracic posterior tarsal reductor muscle cell	FBbt:00059116
FBbt:00058121	metathoracic tarsal anterior reductor muscle cell	FBbt:00059113
FBbt:00058104	metathoracic trochanter reductor muscle cell	FBbt:00059099
FBbt:00003446	muscle cell of metathoracic femoral reductor muscle 90	FBbt:00058965
FBbt:00003438	metathoracic tibial reductor muscle cell	FBbt:00058958
FBbt:00003441	metathoracic levator muscle cell	FBbt:00058960
FBbt:00003444	muscle cell of metathoracic tarsal levator muscle 94	FBbt:00058963
FBbt:00003443	muscle cell of metathoracic tibial levator muscle 91	FBbt:00058962
FBbt:00003442	muscle cell of metathoracic intracoxal levator muscle 89	FBbt:00058961
FBbt:00003431	metathoracic depressor muscle cell	FBbt:00058951
FBbt:00058129	metathoracic pretarsal depressor muscle cell	FBbt:00059121
FBbt:00058135	metathoracic proximal pretarsal depressor muscle cell	FBbt:00059127
FBbt:00058132	metathoracic distal pretarsal depressor muscle cell	FBbt:00059124
FBbt:00058108	metathoracic femoral depressor muscle cell	FBbt:00059103
FBbt:00003439	muscle cell of metathoracic tarsal depressor muscle 95	FBbt:00058959
FBbt:00003436	metathoracic tibial depressor muscle cell	FBbt:00058956
FBbt:00003437	muscle cell of metathoracic tibial depressor muscle 92	FBbt:00058957
FBbt:00003435	muscle cell of a metathoracic intracoxal depressor muscle 88	FBbt:00058955
FBbt:00003432	metathoracic extracoxal depressor muscle cell	FBbt:00058952
FBbt:00003434	muscle cell of metathoracic sternal extracoxal depressor muscle 87	FBbt:00058954
FBbt:00003433	muscle cell of metathoracic ternal extracoxal depressor muscle 86	FBbt:00058953
FBbt:00003426	muscle cell of metathoracic sternal promotor muscle 84	FBbt:00058946
FBbt:00003418	haltere muscle cell	FBbt:00058938
FBbt:00003421	muscle cell of haltere muscle 78a	FBbt:00058941
FBbt:00003420	muscle cell of haltere muscle 78	FBbt:00058940
FBbt:00003419	muscle cell of haltere muscle 77	FBbt:00058939
FBbt:00003422	muscle cell of metathoracic pleurosternal muscle 79	FBbt:00058942
FBbt:00003428	muscle cell of metathoracic sternal remotor muscle 85	FBbt:00058948
FBbt:00003424	muscle cell of metathoracic ventral longitudinal muscle 81	FBbt:00058944
FBbt:00003429	muscle cell of metathoracic spiracle occlusor muscle 97	FBbt:00058949
FBbt:00003425	muscle cell of metathoracic pleural promotor muscle 82	FBbt:00058945
FBbt:00013335	occlusor muscle cell of adult thoracic spiracle	FBbt:00059066
FBbt:00003401	muscle cell of mesothoracic spiracle occlusor muscle 76	FBbt:00058922
FBbt:00003310	remotor muscle cell	FBbt:00058833
FBbt:00111048	prothoracic remotor muscle cell	FBbt:00059154
FBbt:00003337	muscle cell of a prothoracic pleural remotor and abductor muscle 29	FBbt:00058859
FBbt:00003313	pleural remotor muscle cell	FBbt:00058836
FBbt:00003398	muscle cell of mesothoracic pleural remotor muscle 63	FBbt:00058919
FBbt:00003312	sternal remotor muscle cell	FBbt:00058835
FBbt:00003399	muscle cell of mesothoracic sternal remotor muscle 65	FBbt:00058920
FBbt:00003311	tergal remotor muscle cell	FBbt:00058834
FBbt:00003376	coxal tergal remotor muscle cell	FBbt:00058897
FBbt:00003378	muscle cell of coxal tergal remotor muscle 48b	FBbt:00058899
FBbt:00003377	muscle cell of coxal tergal remotor muscle 48a	FBbt:00058898
FBbt:00003359	somatic muscle cell of mesothorax	FBbt:00058880
FBbt:00003402	somatic muscle cell of mesothoracic leg	FBbt:00058923
FBbt:00003415	mesothoracic reductor muscle cell	FBbt:00058935
FBbt:00058117	mesothoracic tarsal reductor muscle cell	FBbt:00059109
FBbt:00058123	mesothoracic posterior tarsal reductor muscle cell	FBbt:00059115
