defined_class	class_label	muscle
FBbt:00000503	muscle cell of prothoracic dorsal oblique muscle 1	FBbt:00058334
FBbt:00000480	longitudinal muscle cell	FBbt:00058313
FBbt:00000968	abdominal 8 longitudinal muscle cell	FBbt:00058768
FBbt:00000969	abdominal 8 ventral longitudinal muscle cell	FBbt:00058769
FBbt:00000973	muscle cell of abdominal 8 ventral longitudinal muscle 4	FBbt:00058773
FBbt:00000972	muscle cell of abdominal 8 ventral longitudinal muscle 3	FBbt:00058772
FBbt:00000971	muscle cell of abdominal 8 ventral longitudinal muscle 2	FBbt:00058771
FBbt:00000970	muscle cell of abdominal 8 ventral longitudinal muscle 1	FBbt:00058770
FBbt:00000598	A1-7 longitudinal muscle cell	FBbt:00058427
FBbt:00000708	abdominal 2 longitudinal muscle cell	FBbt:00058526
FBbt:00000711	abdominal 2 ventral longitudinal muscle cell	FBbt:00058528
FBbt:00000715	muscle cell of abdominal 2 ventral longitudinal muscle 4	FBbt:00058532
FBbt:00000714	muscle cell of abdominal 2 ventral longitudinal muscle 3	FBbt:00058531
FBbt:00000713	muscle cell of abdominal 2 ventral longitudinal muscle 2	FBbt:00058530
FBbt:00000712	muscle cell of abdominal 2 ventral longitudinal muscle 1	FBbt:00058529
FBbt:00000710	muscle cell of abdominal 2 lateral longitudinal muscle 1	FBbt:00058527
FBbt:00000933	abdominal 7 longitudinal muscle cell	FBbt:00058736
FBbt:00000936	abdominal 7 ventral longitudinal muscle cell	FBbt:00058738
FBbt:00000940	muscle cell of abdominal 7 ventral longitudinal muscle 4	FBbt:00058742
FBbt:00000939	muscle cell of abdominal 7 ventral longitudinal muscle 3	FBbt:00058741
FBbt:00000938	muscle cell of abdominal 7 ventral longitudinal muscle 2	FBbt:00058740
FBbt:00000937	muscle cell of abdominal 7 ventral longitudinal muscle 1	FBbt:00058739
FBbt:00000935	muscle cell of abdominal 7 lateral longitudinal muscle 1	FBbt:00058737
FBbt:00000647	abdominal 1 longitudinal muscle cell	FBbt:00058470
FBbt:00000680	muscle cell of abdominal 1 ventral internal muscle 1	FBbt:00058499
FBbt:00000650	abdominal 1 ventral longitudinal muscle cell	FBbt:00058472
FBbt:00000654	muscle cell of abdominal 1 ventral longitudinal muscle 4	FBbt:00058476
FBbt:00000653	muscle cell of abdominal 1 ventral longitudinal muscle 3	FBbt:00058475
FBbt:00000652	muscle cell of abdominal 1 ventral longitudinal muscle 2	FBbt:00058474
FBbt:00000651	muscle cell of abdominal 1 ventral longitudinal muscle 1	FBbt:00058473
FBbt:00000649	muscle cell of abdominal 1 lateral longitudinal muscle 1	FBbt:00058471
FBbt:00000888	abdominal 6 longitudinal muscle cell	FBbt:00058694
FBbt:00000891	abdominal 6 ventral longitudinal muscle cell	FBbt:00058696
FBbt:00000895	muscle cell of abdominal 6 ventral longitudinal muscle 4	FBbt:00058700
FBbt:00000894	muscle cell of abdominal 6 ventral longitudinal muscle 3	FBbt:00058699
FBbt:00000893	muscle cell of abdominal 6 ventral longitudinal muscle 2	FBbt:00058698
FBbt:00000892	muscle cell of abdominal 6 ventral longitudinal muscle 1	FBbt:00058697
FBbt:00000890	muscle cell of abdominal 6 lateral longitudinal muscle 1	FBbt:00058695
FBbt:00000798	abdominal 4 longitudinal muscle cell	FBbt:00058610
FBbt:00000801	abdominal 4 ventral longitudinal muscle cell	FBbt:00058612
FBbt:00000805	muscle cell of abdominal 4 ventral longitudinal muscle 4	FBbt:00058616
FBbt:00000804	muscle cell of abdominal 4 ventral longitudinal muscle 3	FBbt:00058615
FBbt:00000803	muscle cell of abdominal 4 ventral longitudinal muscle 2	FBbt:00058614
FBbt:00000802	muscle cell of abdominal 4 ventral longitudinal muscle 1	FBbt:00058613
FBbt:00000800	muscle cell of abdominal 4 lateral longitudinal muscle 1	FBbt:00058611
FBbt:00000843	abdominal 5 longitudinal muscle cell	FBbt:00058652
FBbt:00000846	abdominal 5 ventral longitudinal muscle cell	FBbt:00058654
FBbt:00000850	muscle cell of abdominal 5 ventral longitudinal muscle 4	FBbt:00058658
FBbt:00000849	muscle cell of abdominal 5 ventral longitudinal muscle 3	FBbt:00058657
FBbt:00000848	muscle cell of abdominal 5 ventral longitudinal muscle 2	FBbt:00058656
FBbt:00000847	muscle cell of abdominal 5 ventral longitudinal muscle 1	FBbt:00058655
FBbt:00000845	muscle cell of abdominal 5 lateral longitudinal muscle 1	FBbt:00058653
FBbt:00000601	A1-7 ventral longitudinal muscle cell	FBbt:00058429
FBbt:00000756	abdominal 3 ventral longitudinal muscle cell	FBbt:00058570
FBbt:00000760	muscle cell of abdominal 3 ventral longitudinal muscle 4	FBbt:00058574
FBbt:00000759	muscle cell of abdominal 3 ventral longitudinal muscle 3	FBbt:00058573
FBbt:00000758	muscle cell of abdominal 3 ventral longitudinal muscle 2	FBbt:00058572
FBbt:00000757	muscle cell of abdominal 3 ventral longitudinal muscle 1	FBbt:00058571
FBbt:00000602	muscle cell of A1-7 ventral longitudinal muscle 1	FBbt:00058430
FBbt:00000603	muscle cell of A1-7 ventral longitudinal muscle 2	FBbt:00058431
FBbt:00000605	muscle cell of A1-7 ventral longitudinal muscle 4	FBbt:00058433
FBbt:00000604	muscle cell of A1-7 ventral longitudinal muscle 3	FBbt:00058432
FBbt:00000753	abdominal 3 longitudinal muscle cell	FBbt:00058568
FBbt:00000755	muscle cell of abdominal 3 lateral longitudinal muscle 1	FBbt:00058569
FBbt:00000600	muscle cell of A1-7 lateral longitudinal muscle 1	FBbt:00058428
FBbt:00000580	metathoracic longitudinal muscle cell	FBbt:00058411
FBbt:00000583	metathoracic ventral longitudinal muscle cell	FBbt:00058414
FBbt:00000587	muscle cell of metathoracic ventral longitudinal muscle 4	FBbt:00058418
FBbt:00000586	muscle cell of metathoracic ventral longitudinal muscle 3	FBbt:00058417
FBbt:00000585	muscle cell of metathoracic ventral longitudinal muscle 2	FBbt:00058416
FBbt:00000584	muscle cell of metathoracic ventral longitudinal muscle 1	FBbt:00058415
FBbt:00000581	metathoracic lateral longitudinal muscle cell	FBbt:00058412
FBbt:00000582	muscle cell of metathoracic lateral longitudinal muscle 1	FBbt:00058413
FBbt:00000545	mesothoracic longitudinal muscle cell	FBbt:00058376
FBbt:00000548	mesothoracic ventral longitudinal muscle cell	FBbt:00058379
FBbt:00000551	muscle cell of mesothoracic ventral longitudinal muscle 3	FBbt:00058382
FBbt:00000550	muscle cell of mesothoracic ventral longitudinal muscle 2	FBbt:00058381
FBbt:00000549	muscle cell of mesothoracic ventral longitudinal muscle 1	FBbt:00058380
FBbt:00000546	mesothoracic lateral longitudinal muscle cell	FBbt:00058377
FBbt:00000547	muscle cell of mesothoracic lateral longitudinal muscle 1	FBbt:00058378
FBbt:00000482	ventral longitudinal muscle cell	FBbt:00058315
FBbt:00110247	muscle cell of ventral longitudinal muscle 4	FBbt:00059139
FBbt:00110293	muscle cell of ventral longitudinal muscle 2	FBbt:00059149
FBbt:00110301	muscle cell of ventral longitudinal muscle 1	FBbt:00059151
FBbt:00110246	muscle cell of ventral longitudinal muscle 3	FBbt:00059138
FBbt:00000481	muscle cell of lateral longitudinal muscle 1	FBbt:00058314
FBbt:00051427	larval internal muscle cell	FBbt:00059094
FBbt:00110221	muscle cell of dorsal acute muscle 1	FBbt:00059130
FBbt:00000591	muscle cell of A1-7 dorsal acute muscle 1	FBbt:00058421
FBbt:00000865	muscle cell of abdominal 6 dorsal acute muscle 1	FBbt:00058672
FBbt:00000685	muscle cell of abdominal 2 dorsal acute muscle 1	FBbt:00058504
FBbt:00000820	muscle cell of abdominal 5 dorsal acute muscle 1	FBbt:00058630
FBbt:00000775	muscle cell of abdominal 4 dorsal acute muscle 1	FBbt:00058588
FBbt:00000910	muscle cell of abdominal 7 dorsal acute muscle 1	FBbt:00058714
FBbt:00000640	muscle cell of abdominal 1 dorsal acute muscle 1	FBbt:00058463
FBbt:00000730	muscle cell of abdominal 3 dorsal acute muscle 1	FBbt:00058546
FBbt:00000555	muscle cell of metathoracic dorsal acute muscle 1	FBbt:00058386
FBbt:00000523	muscle cell of mesothoracic dorsal acute muscle 1	FBbt:00058354
FBbt:00000469	ventral oblique muscle cell	FBbt:00058302
FBbt:00000616	A1-7 ventral oblique muscle cell	FBbt:00058443
FBbt:00000622	muscle cell of ventral oblique muscle 6	FBbt:00058449
FBbt:00000932	muscle cell of abdominal 7 ventral oblique muscle 6	FBbt:00058735
FBbt:00000842	muscle cell of abdominal 5 ventral oblique muscle 6	FBbt:00058651
FBbt:00000752	muscle cell of abdominal 3 ventral oblique muscle 6	FBbt:00058567
FBbt:00000797	muscle cell of abdominal 4 ventral oblique muscle 6	FBbt:00058609
FBbt:00000887	muscle cell of abdominal 6 ventral oblique muscle 6	FBbt:00058693
FBbt:00000707	muscle cell of abdominal 2 ventral oblique muscle 6	FBbt:00058525
FBbt:00000665	abdominal 1 ventral oblique muscle cell	FBbt:00058486
FBbt:00000670	muscle cell of abdominal 1 ventral oblique muscle 3	FBbt:00058491
FBbt:00000667	muscle cell of abdominal 1 ventral oblique muscle 2	FBbt:00058488
FBbt:00000666	muscle cell of abdominal 1 ventral oblique muscle 1	FBbt:00058487
FBbt:00000746	abdominal 3 ventral oblique muscle cell	FBbt:00058561
FBbt:00000749	muscle cell of abdominal 3 ventral oblique muscle 3	FBbt:00058564
FBbt:00000748	muscle cell of abdominal 3 ventral oblique muscle 2	FBbt:00058563
FBbt:00000747	muscle cell of abdominal 3 ventral oblique muscle 1	FBbt:00058562
FBbt:00000791	abdominal 4 ventral oblique muscle cell	FBbt:00058603
FBbt:00000794	muscle cell of abdominal 4 ventral oblique muscle 3	FBbt:00058606
FBbt:00000793	muscle cell of abdominal 4 ventral oblique muscle 2	FBbt:00058605
FBbt:00000792	muscle cell of abdominal 4 ventral oblique muscle 1	FBbt:00058604
FBbt:00000926	abdominal 7 ventral oblique muscle cell	FBbt:00058729
FBbt:00000929	muscle cell of abdominal 7 ventral oblique muscle 3	FBbt:00058732
FBbt:00000928	muscle cell of abdominal 7 ventral oblique muscle 2	FBbt:00058731
FBbt:00000927	muscle cell of abdominal 7 ventral oblique muscle 1	FBbt:00058730
FBbt:00000618	muscle cell of A1-7 ventral oblique muscle 2	FBbt:00058445
FBbt:00000838	muscle cell of abdominal 5 ventral oblique muscle 2	FBbt:00058647
FBbt:00000703	muscle cell of abdominal 2 ventral oblique muscle 2	FBbt:00058521
FBbt:00000883	muscle cell of abdominal 6 ventral oblique muscle 2	FBbt:00058689
FBbt:00000701	abdominal 2 ventral oblique muscle cell	FBbt:00058519
FBbt:00000704	muscle cell of abdominal 2 ventral oblique muscle 3	FBbt:00058522
FBbt:00000702	muscle cell of abdominal 2 ventral oblique muscle 1	FBbt:00058520
FBbt:00000836	abdominal 5 ventral oblique muscle cell	FBbt:00058645
FBbt:00000839	muscle cell of abdominal 5 ventral oblique muscle 3	FBbt:00058648
FBbt:00000837	muscle cell of abdominal 5 ventral oblique muscle 1	FBbt:00058646
FBbt:00000881	abdominal 6 ventral oblique muscle cell	FBbt:00058687
FBbt:00000884	muscle cell of abdominal 6 ventral oblique muscle 3	FBbt:00058690
FBbt:00000882	muscle cell of abdominal 6 ventral oblique muscle 1	FBbt:00058688
FBbt:00000619	muscle cell of A1-7 ventral oblique muscle 3	FBbt:00058446
FBbt:00000617	muscle cell of A1-7 ventral oblique muscle 1	FBbt:00058444
FBbt:00000621	muscle cell of ventral oblique muscle 5	FBbt:00058448
FBbt:00000751	muscle cell of abdominal 3 ventral oblique muscle 5	FBbt:00058566
FBbt:00000886	muscle cell of abdominal 6 ventral oblique muscle 5	FBbt:00058692
FBbt:00000796	muscle cell of abdominal 4 ventral oblique muscle 5	FBbt:00058608
FBbt:00000841	muscle cell of abdominal 5 ventral oblique muscle 5	FBbt:00058650
FBbt:00000931	muscle cell of abdominal 7 ventral oblique muscle 5	FBbt:00058734
FBbt:00000706	muscle cell of abdominal 2 ventral oblique muscle 5	FBbt:00058524
FBbt:00000669	muscle cell of abdominal 1 ventral oblique muscle 5	FBbt:00058490
FBbt:00110244	muscle cell of ventral oblique muscle 2	FBbt:00059137
FBbt:00000958	muscle cell of abdominal 8 ventral oblique muscle 2	FBbt:00058759
FBbt:00000571	muscle cell of metathoracic ventral oblique muscle 2	FBbt:00058402
FBbt:00000537	muscle cell of mesothoracic ventral oblique muscle 2	FBbt:00058368
FBbt:00110283	muscle cell of ventral oblique muscle 3	FBbt:00059148
FBbt:00000959	muscle cell of abdominal 8 ventral oblique muscle 3	FBbt:00058760
FBbt:00000572	muscle cell of metathoracic ventral oblique muscle 3	FBbt:00058403
FBbt:00000620	muscle cell of ventral oblique muscle 4	FBbt:00058447
FBbt:00000840	muscle cell of abdominal 5 ventral oblique muscle 4	FBbt:00058649
FBbt:00000930	muscle cell of abdominal 7 ventral oblique muscle 4	FBbt:00058733
FBbt:00000668	muscle cell of abdominal 1 ventral oblique muscle 4	FBbt:00058489
FBbt:00000885	muscle cell of abdominal 6 ventral oblique muscle 4	FBbt:00058691
FBbt:00000750	muscle cell of abdominal 3 ventral oblique muscle 4	FBbt:00058565
FBbt:00000705	muscle cell of abdominal 2 ventral oblique muscle 4	FBbt:00058523
FBbt:00000795	muscle cell of abdominal 4 ventral oblique muscle 4	FBbt:00058607
FBbt:00000535	mesothoracic ventral oblique muscle cell	FBbt:00058366
FBbt:00000536	muscle cell of mesothoracic ventral oblique muscle 1	FBbt:00058367
FBbt:00000956	abdominal 8 ventral oblique muscle cell	FBbt:00058757
FBbt:00000957	muscle cell of abdominal 8 ventral oblique muscle 1	FBbt:00058758
FBbt:00000569	metathoracic ventral oblique muscle cell	FBbt:00058400
FBbt:00000570	muscle cell of metathoracic ventral oblique muscle 1	FBbt:00058401
FBbt:00110249	muscle cell of ventral oblique muscle 1	FBbt:00059140
FBbt:00000467	dorsal oblique muscle cell	FBbt:00058300
FBbt:00000528	mesothoracic dorsal oblique muscle cell	FBbt:00058359
FBbt:00000532	muscle cell of mesothoracic dorsal oblique muscle 4	FBbt:00058363
FBbt:00000531	muscle cell of mesothoracic dorsal oblique muscle 3	FBbt:00058362
FBbt:00000530	muscle cell of mesothoracic dorsal oblique muscle 2	FBbt:00058361
FBbt:00000529	muscle cell of mesothoracic dorsal oblique muscle 1	FBbt:00058360
FBbt:00000608	A1-7 dorsal oblique muscle cell	FBbt:00058436
FBbt:00000828	abdominal 5 dorsal oblique muscle cell	FBbt:00058638
FBbt:00000833	muscle cell of abdominal 5 dorsal oblique muscle 5	FBbt:00058643
FBbt:00000832	muscle cell of abdominal 5 dorsal oblique muscle 4	FBbt:00058642
FBbt:00000831	muscle cell of abdominal 5 dorsal oblique muscle 3	FBbt:00058641
FBbt:00000830	muscle cell of abdominal 5 dorsal oblique muscle 2	FBbt:00058640
FBbt:00000829	muscle cell of abdominal 5 dorsal oblique muscle 1	FBbt:00058639
FBbt:00000873	abdominal 6 dorsal oblique muscle cell	FBbt:00058680
FBbt:00000878	muscle cell of abdominal 6 dorsal oblique muscle 5	FBbt:00058685
FBbt:00000877	muscle cell of abdominal 6 dorsal oblique muscle 4	FBbt:00058684
FBbt:00000876	muscle cell of abdominal 6 dorsal oblique muscle 3	FBbt:00058683
FBbt:00000875	muscle cell of abdominal 6 dorsal oblique muscle 2	FBbt:00058682
FBbt:00000874	muscle cell of abdominal 6 dorsal oblique muscle 1	FBbt:00058681
FBbt:00000657	abdominal 1 dorsal oblique muscle cell	FBbt:00058479
FBbt:00000662	muscle cell of abdominal 1 dorsal oblique muscle 5	FBbt:00058484
FBbt:00000661	muscle cell of abdominal 1 dorsal oblique muscle 4	FBbt:00058483
FBbt:00000660	muscle cell of abdominal 1 dorsal oblique muscle 3	FBbt:00058482
FBbt:00000659	muscle cell of abdominal 1 dorsal oblique muscle 2	FBbt:00058481
FBbt:00000658	muscle cell of abdominal 1 dorsal oblique muscle 1	FBbt:00058480
FBbt:00000611	muscle cell of A1-7 dorsal oblique muscle 3	FBbt:00058439
FBbt:00000741	muscle cell of abdominal 3 dorsal oblique muscle 3	FBbt:00058557
FBbt:00000786	muscle cell of abdominal 4 dorsal oblique muscle 3	FBbt:00058599
FBbt:00000921	muscle cell of abdominal 7 dorsal oblique muscle 3	FBbt:00058725
FBbt:00000696	muscle cell of abdominal 2 dorsal oblique muscle 3	FBbt:00058515
FBbt:00000918	abdominal 7 dorsal oblique muscle cell	FBbt:00058722
FBbt:00000923	muscle cell of abdominal 7 dorsal oblique muscle 5	FBbt:00058727
FBbt:00000922	muscle cell of abdominal 7 dorsal oblique muscle 4	FBbt:00058726
FBbt:00000920	muscle cell of abdominal 7 dorsal oblique muscle 2	FBbt:00058724
FBbt:00000919	muscle cell of abdominal 7 dorsal oblique muscle 1	FBbt:00058723
FBbt:00000738	abdominal 3 dorsal oblique muscle cell	FBbt:00058554
FBbt:00000743	muscle cell of abdominal 3 dorsal oblique muscle 5	FBbt:00058559
FBbt:00000742	muscle cell of abdominal 3 dorsal oblique muscle 4	FBbt:00058558
FBbt:00000740	muscle cell of abdominal 3 dorsal oblique muscle 2	FBbt:00058556
FBbt:00000739	muscle cell of abdominal 3 dorsal oblique muscle 1	FBbt:00058555
FBbt:00000693	abdominal 2 dorsal oblique muscle cell	FBbt:00058512
FBbt:00000698	muscle cell of abdominal 2 dorsal oblique muscle 5	FBbt:00058517
FBbt:00000697	muscle cell of abdominal 2 dorsal oblique muscle 4	FBbt:00058516
FBbt:00000695	muscle cell of abdominal 2 dorsal oblique muscle 2	FBbt:00058514
FBbt:00000694	muscle cell of abdominal 2 dorsal oblique muscle 1	FBbt:00058513
FBbt:00000783	abdominal 4 dorsal oblique muscle cell	FBbt:00058596
FBbt:00000788	muscle cell of abdominal 4 dorsal oblique muscle 5	FBbt:00058601
FBbt:00000787	muscle cell of abdominal 4 dorsal oblique muscle 4	FBbt:00058600
FBbt:00000785	muscle cell of abdominal 4 dorsal oblique muscle 2	FBbt:00058598
FBbt:00000784	muscle cell of abdominal 4 dorsal oblique muscle 1	FBbt:00058597
FBbt:00000612	muscle cell of A1-7 dorsal oblique muscle 4	FBbt:00058440
FBbt:00000613	muscle cell of A1-7 dorsal oblique muscle 5	FBbt:00058441
FBbt:00000610	muscle cell of A1-7 dorsal oblique muscle 2	FBbt:00058438
FBbt:00000609	muscle cell of A1-7 dorsal oblique muscle 1	FBbt:00058437
FBbt:00110226	muscle cell of dorsal oblique muscle 1	FBbt:00059132
FBbt:00000955	muscle cell of abdominal 8 dorsal oblique muscle 1	FBbt:00058756
FBbt:00000563	muscle cell of metathoracic dorsal oblique muscle 1	FBbt:00058394
FBbt:00000562	metathoracic dorsal oblique muscle cell	FBbt:00058393
FBbt:00000566	muscle cell of metathoracic dorsal oblique muscle 4	FBbt:00058397
FBbt:00000565	muscle cell of metathoracic dorsal oblique muscle 3	FBbt:00058396
FBbt:00000564	muscle cell of metathoracic dorsal oblique muscle 2	FBbt:00058395
FBbt:00000954	abdominal 8 dorsal oblique muscle cell	FBbt:00058755
FBbt:00110229	muscle cell of dorsal oblique muscle 2	FBbt:00059133
FBbt:00110239	muscle cell of dorsal oblique muscle 4	FBbt:00059136
FBbt:00110236	muscle cell of dorsal oblique muscle 3	FBbt:00059135
FBbt:00110232	muscle cell of dorsal acute muscle 3	FBbt:00059134
FBbt:00000593	muscle cell of A1-7 dorsal acute muscle 3	FBbt:00058423
FBbt:00000642	muscle cell of abdominal 1 dorsal acute muscle 3	FBbt:00058465
FBbt:00000777	muscle cell of abdominal 4 dorsal acute muscle 3	FBbt:00058590
FBbt:00000732	muscle cell of abdominal 3 dorsal acute muscle 3	FBbt:00058548
FBbt:00000822	muscle cell of abdominal 5 dorsal acute muscle 3	FBbt:00058632
FBbt:00000687	muscle cell of abdominal 2 dorsal acute muscle 3	FBbt:00058506
FBbt:00000912	muscle cell of abdominal 7 dorsal acute muscle 3	FBbt:00058716
FBbt:00000867	muscle cell of abdominal 6 dorsal acute muscle 3	FBbt:00058674
FBbt:00000557	muscle cell of metathoracic dorsal acute muscle 3	FBbt:00058388
FBbt:00000525	muscle cell of mesothoracic dorsal acute muscle 3	FBbt:00058356
FBbt:00110222	muscle cell of dorsal acute muscle 2	FBbt:00059131
FBbt:00000592	muscle cell of A1-7 dorsal acute muscle 2	FBbt:00058422
FBbt:00000821	muscle cell of abdominal 5 dorsal acute muscle 2	FBbt:00058631
FBbt:00000911	muscle cell of abdominal 7 dorsal acute muscle 2	FBbt:00058715
FBbt:00000686	muscle cell of abdominal 2 dorsal acute muscle 2	FBbt:00058505
FBbt:00000776	muscle cell of abdominal 4 dorsal acute muscle 2	FBbt:00058589
FBbt:00000866	muscle cell of abdominal 6 dorsal acute muscle 2	FBbt:00058673
FBbt:00000731	muscle cell of abdominal 3 dorsal acute muscle 2	FBbt:00058547
FBbt:00000641	muscle cell of abdominal 1 dorsal acute muscle 2	FBbt:00058464
FBbt:00000556	muscle cell of metathoracic dorsal acute muscle 2	FBbt:00058387
FBbt:00000524	muscle cell of mesothoracic dorsal acute muscle 2	FBbt:00058355
FBbt:00000681	hypodermal muscle cell of larval abdomen	FBbt:00058500
FBbt:00000996	muscle cell of terminal transverse muscle 1	FBbt:00058775
FBbt:00110299	hypodermal muscle cell of A1-7	FBbt:00059150
FBbt:00000907	hypodermal muscle cell of larval abdominal 7	FBbt:00058711
FBbt:00000908	abdominal 7 acute muscle cell	FBbt:00058712
FBbt:00000913	abdominal 7 ventral acute muscle cell	FBbt:00058717
FBbt:00000916	muscle cell of abdominal 7 ventral acute muscle 3	FBbt:00058720
FBbt:00000915	muscle cell of abdominal 7 ventral acute muscle 2	FBbt:00058719
FBbt:00000914	muscle cell of abdominal 7 ventral acute muscle 1	FBbt:00058718
FBbt:00000909	abdominal 7 dorsal acute muscle cell	FBbt:00058713
FBbt:00000917	abdominal 7 oblique muscle cell	FBbt:00058721
FBbt:00000925	muscle cell of abdominal 7 lateral oblique muscle 1	FBbt:00058728
FBbt:00000941	abdominal 7 segment border muscle cell	FBbt:00058743
FBbt:00000942	abdominal 7 transverse muscle cell	FBbt:00058744
FBbt:00000950	abdominal 7 ventral transverse muscle cell	FBbt:00058751
FBbt:00000951	muscle cell of abdominal 7 ventral transverse muscle 1	FBbt:00058752
FBbt:00000633	muscle cell of abdominal 7 ventral transverse muscle 2	FBbt:00058459
FBbt:00000945	abdominal 7 lateral transverse muscle cell	FBbt:00058746
FBbt:00000949	muscle cell of abdominal 7 lateral transverse muscle 4	FBbt:00058750
FBbt:00000948	muscle cell of abdominal 7 lateral transverse muscle 3	FBbt:00058749
FBbt:00000947	muscle cell of abdominal 7 lateral transverse muscle 2	FBbt:00058748
FBbt:00000946	muscle cell of abdominal 7 lateral transverse muscle 1	FBbt:00058747
FBbt:00000944	muscle cell of abdominal 7 dorsal transverse muscle 1	FBbt:00058745
FBbt:00000589	A1-7 acute muscle cell	FBbt:00058419
FBbt:00000638	abdominal 1 acute muscle cell	FBbt:00058461
FBbt:00000643	abdominal 1 ventral acute muscle cell	FBbt:00058466
FBbt:00000646	muscle cell of abdominal 1 ventral acute muscle 3	FBbt:00058469
FBbt:00000645	muscle cell of abdominal 1 ventral acute muscle 2	FBbt:00058468
FBbt:00000644	muscle cell of abdominal 1 ventral acute muscle 1	FBbt:00058467
FBbt:00000639	abdominal 1 dorsal acute muscle cell	FBbt:00058462
FBbt:00000594	A1-7 ventral acute muscle cell	FBbt:00058424
FBbt:00000868	abdominal 6 ventral acute muscle cell	FBbt:00058675
FBbt:00000871	muscle cell of abdominal 6 ventral acute muscle 3	FBbt:00058678
FBbt:00000870	muscle cell of abdominal 6 ventral acute muscle 2	FBbt:00058677
FBbt:00000869	muscle cell of abdominal 6 ventral acute muscle 1	FBbt:00058676
FBbt:00000595	muscle cell of A1-7 ventral acute muscle 1	FBbt:00058425
FBbt:00000824	muscle cell of abdominal 5 ventral acute muscle 1	FBbt:00058634
FBbt:00000779	muscle cell of abdominal 4 ventral acute muscle 1	FBbt:00058592
FBbt:00000689	muscle cell of abdominal 2 ventral acute muscle 1	FBbt:00058508
FBbt:00000734	muscle cell of abdominal 3 ventral acute muscle 1	FBbt:00058550
FBbt:00000597	muscle cell of ventral acute muscle 3	FBbt:00058426
FBbt:00000691	muscle cell of abdominal 2 ventral acute muscle 3	FBbt:00058510
FBbt:00000826	muscle cell of abdominal 5 ventral acute muscle 3	FBbt:00058636
FBbt:00000736	muscle cell of abdominal 3 ventral acute muscle 3	FBbt:00058552
FBbt:00000781	muscle cell of abdominal 4 ventral acute muscle 3	FBbt:00058594
FBbt:00000688	abdominal 2 ventral acute muscle cell	FBbt:00058507
FBbt:00000690	muscle cell of abdominal 2 ventral acute muscle 2	FBbt:00058509
FBbt:00000778	abdominal 4 ventral acute muscle cell	FBbt:00058591
FBbt:00000780	muscle cell of abdominal 4 ventral acute muscle 2	FBbt:00058593
FBbt:00000733	abdominal 3 ventral acute muscle cell	FBbt:00058549
FBbt:00000735	muscle cell of abdominal 3 ventral acute muscle 2	FBbt:00058551
FBbt:00000823	abdominal 5 ventral acute muscle cell	FBbt:00058633
FBbt:00000825	muscle cell of abdominal 5 ventral acute muscle 2	FBbt:00058635
FBbt:00110256	muscle cell of ventral acute muscle 2	FBbt:00059142
FBbt:00000683	abdominal 2 acute muscle cell	FBbt:00058502
FBbt:00000684	abdominal 2 dorsal acute muscle cell	FBbt:00058503
FBbt:00000728	abdominal 3 acute muscle cell	FBbt:00058544
FBbt:00000729	abdominal 3 dorsal acute muscle cell	FBbt:00058545
FBbt:00000818	abdominal 5 acute muscle cell	FBbt:00058628
FBbt:00000819	abdominal 5 dorsal acute muscle cell	FBbt:00058629
FBbt:00000590	A1-7 dorsal acute muscle cell	FBbt:00058420
FBbt:00000864	abdominal 6 dorsal acute muscle cell	FBbt:00058671
FBbt:00000774	abdominal 4 dorsal acute muscle cell	FBbt:00058587
FBbt:00000863	abdominal 6 acute muscle cell	FBbt:00058670
FBbt:00000773	abdominal 4 acute muscle cell	FBbt:00058586
FBbt:00110303	TN innervated muscle cell of A1-7	FBbt:00059152
FBbt:00000632	muscle cell of A2-7 ventral transverse muscle 1	FBbt:00058458
FBbt:00000861	muscle cell of abdominal 5 ventral transverse muscle 1	FBbt:00058668
FBbt:00000726	muscle cell of abdominal 2 ventral transverse muscle 1	FBbt:00058542
FBbt:00000816	muscle cell of abdominal 4 ventral transverse muscle 1	FBbt:00058626
FBbt:00000906	muscle cell of abdominal 6 ventral transverse muscle 1	FBbt:00058710
FBbt:00000771	muscle cell of abdominal 3 ventral transverse muscle 1	FBbt:00058584
FBbt:00000772	hypodermal muscle cell of larval abdominal 4	FBbt:00058585
FBbt:00000782	abdominal 4 oblique muscle cell	FBbt:00058595
FBbt:00000790	muscle cell of abdominal 4 lateral oblique muscle 1	FBbt:00058602
FBbt:00000807	abdominal 4 transverse muscle cell	FBbt:00058618
FBbt:00000815	abdominal 4 ventral transverse muscle cell	FBbt:00058625
FBbt:00000810	abdominal 4 lateral transverse muscle cell	FBbt:00058620
FBbt:00000814	muscle cell of abdominal 4 lateral transverse muscle 4	FBbt:00058624
FBbt:00000813	muscle cell of abdominal 4 lateral transverse muscle 3	FBbt:00058623
FBbt:00000812	muscle cell of abdominal 4 lateral transverse muscle 2	FBbt:00058622
FBbt:00000811	muscle cell of abdominal 4 lateral transverse muscle 1	FBbt:00058621
FBbt:00000809	muscle cell of abdominal 4 dorsal transverse muscle 1	FBbt:00058619
FBbt:00000806	abdominal 4 segment border muscle cell	FBbt:00058617
FBbt:00000682	hypodermal muscle cell of larval abdominal 2	FBbt:00058501
FBbt:00000717	abdominal 2 transverse muscle cell	FBbt:00058534
FBbt:00000725	abdominal 2 ventral transverse muscle cell	FBbt:00058541
