defined_class	defined_class_label	parent	parent_label	stage	stage_label	partonomy	partonomy_label	def_xrefs
FBbt:00001911	larval nervous system	FBbt:00005093	nervous system	FBbt:00001727	larva	FBbt:00001727	larva	
FBbt:00001912	larval neuromere	FBbt:00005140	neuromere	FBbt:00001727	larva	FBbt:00001729|FBbt:00001919	larval segment|larval central nervous system	
FBbt:00001919	larval central nervous system	FBbt:00005094	central nervous system	FBbt:00001727	larva	FBbt:00001911	larval nervous system	
FBbt:00001920	larval brain	FBbt:00005095	brain	FBbt:00001727	larva	FBbt:00001919|FBbt:00001730	larval central nervous system|larval head	
FBbt:00001925	larval protocerebrum	FBbt:00003627	protocerebrum	FBbt:00001727	larva	FBbt:00051070	larval supraesophageal zone	
FBbt:00003006	adult segment	FBbt:00000003	segment	FBbt:00003004	adult	FBbt:00003004	adult	
FBbt:00003007	adult head	FBbt:00000004	head	FBbt:00003004	adult	FBbt:00003004	adult	
FBbt:00003009	adult head segment	FBbt:00000006	head segment	FBbt:00003004	adult	FBbt:00003007	adult head	
FBbt:00003018	adult thorax	FBbt:00000015	thorax	FBbt:00003004	adult	FBbt:00003004	adult	
FBbt:00003023	adult abdomen	FBbt:00000020	abdomen	FBbt:00003004	adult	FBbt:00003004	adult	
FBbt:00003037	adult tracheal system	FBbt:00005024	tracheal system	FBbt:00003004	adult	FBbt:00003004	adult	
FBbt:00003120	adult spiracle	FBbt:00005054	spiracle	FBbt:00003004	adult	FBbt:00003037	adult tracheal system	
FBbt:00003123	adult digestive system	FBbt:00005055	digestive system	FBbt:00003004	adult	FBbt:00003004	adult	
FBbt:00003149	adult circulatory system	FBbt:00005057	circulatory system	FBbt:00003004	adult	FBbt:00003004	adult	
FBbt:00003152	adult dorsal vessel	FBbt:00058291	dorsal vessel	FBbt:00003004	adult	FBbt:00003149	adult circulatory system	
FBbt:00003161	adult ostium	FBbt:00005385	ostium	FBbt:00003004	adult	FBbt:00003154	adult heart	
FBbt:00003183	adult garland cell	FBbt:00005059	garland cell	FBbt:00003004	adult	FBbt:00003149	adult circulatory system	
FBbt:00003184	adult pericardial cell	FBbt:00005058	pericardial cell	FBbt:00003004	adult	FBbt:00003149	adult circulatory system	
FBbt:00003208	adult adipose system	FBbt:00005065	adipose system	FBbt:00003004	adult	FBbt:00003004	adult	
FBbt:00003209	adult fat body	FBbt:00005066	fat body	FBbt:00003004	adult	FBbt:00003208	adult adipose system	
FBbt:00003214	adult endocrine system	FBbt:00005068	endocrine system	FBbt:00003004	adult	FBbt:00003004	adult	
FBbt:00003218	adult muscle system	FBbt:00005069	muscle system	FBbt:00003004	adult	FBbt:00003004	adult	
FBbt:00003516	adult apodeme	FBbt:00005091	apodeme	FBbt:00003004	adult	FBbt:00005396	adult integumentary system	
FBbt:00003525	adult visceral muscle cell	FBbt:00005070	visceral muscle cell	FBbt:00003004	adult	FBbt:00003218	adult muscle system	
FBbt:00003623	adult central nervous system	FBbt:00005094	central nervous system	FBbt:00003004	adult	FBbt:00003559	adult nervous system	
FBbt:00003624	adult brain	FBbt:00005095	brain	FBbt:00003004	adult	FBbt:00003007|FBbt:00003623	adult head|adult central nervous system	
FBbt:00003667	adult lateral ellipsoid fascicle	FBbt:00052208	lateral ellipsoid fascicle	FBbt:00003004	adult	FBbt:00007145	adult protocerebrum	
FBbt:00003683	adult median bundle	FBbt:00049214	median bundle	FBbt:00003004	adult	FBbt:00003624	adult brain	
FBbt:00003979	adult antennal lobe commissure	FBbt:00047939	antennal lobe commissure	FBbt:00003004	adult	FBbt:00007146	adult deutocerebrum	
FBbt:00005393	larval integumentary system	FBbt:00004969	integumentary system	FBbt:00001727	larva	FBbt:00001727	larva	
FBbt:00005396	adult integumentary system	FBbt:00004969	integumentary system	FBbt:00003004	adult	FBbt:00003004	adult	
FBbt:00005496	larval sessile hemocyte	FBbt:00058148	sessile hemocyte	FBbt:00001727	larva	FBbt:00001664	larval circulatory system	
FBbt:00005718	larval excretory system	FBbt:00005056	excretory system	FBbt:00001727	larva	FBbt:00001727	larva	
FBbt:00005728	adult Malpighian tubule segment	FBbt:00005789	Malpighian tubule segment	FBbt:00003004	adult	FBbt:00005725	adult Malpighian tubule	
FBbt:00005729	adult initial segment of Malpighian tubule	FBbt:00005790	initial segment of Malpighian tubule	FBbt:00003004	adult	FBbt:00049468	adult upper Malpighian tubule	
FBbt:00005730	adult transitional segment of Malpighian tubule	FBbt:00005791	transitional segment of Malpighian tubule	FBbt:00003004	adult	FBbt:00049468	adult upper Malpighian tubule	
FBbt:00005731	adult main segment of Malpighian tubule	FBbt:00005792	main segment of Malpighian tubule	FBbt:00003004	adult	FBbt:00049468	adult upper Malpighian tubule	
FBbt:00005732	adult ureter	FBbt:00005793	ureter	FBbt:00003004	adult	FBbt:00049469	adult stem cell zone of Malpighian tubule	
FBbt:00005733	adult specialized Malpighian tubule cell	FBbt:00005794	specialized Malpighian tubule cell	FBbt:00003004	adult	FBbt:00005725	adult Malpighian tubule	
FBbt:00005734	adult Malpighian tubule tip cell	FBbt:00005795	Malpighian tubule tip cell	FBbt:00003004	adult	FBbt:00005725	adult Malpighian tubule	
FBbt:00005735	adult Malpighian tubule principal cell	FBbt:00005796	Malpighian tubule Type I cell	FBbt:00003004	adult	FBbt:00005725	adult Malpighian tubule	
FBbt:00005736	adult Malpighian tubule Type II cell	FBbt:00005797	Malpighian tubule Type II cell	FBbt:00003004	adult	FBbt:00049468	adult upper Malpighian tubule	
FBbt:00005892	adult peripheral nervous system	FBbt:00005098	peripheral nervous system	FBbt:00003004	adult	FBbt:00003559	adult nervous system	
FBbt:00005893	larval peripheral nervous system	FBbt:00005098	peripheral nervous system	FBbt:00001727	larva	FBbt:00001911	larval nervous system	
