defined_class	defined_class_label	defining_modality	defining_modality_label	other_modality	other_modality_label	dendrite_location	dendrite_location_label	soma_location	soma_location_label	nerve	nerve_label
FBbt:00048226	sugar-sensing neuron of mesothoracic leg tarsal taste bristle 4s	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00048194	mesothoracic leg tarsal taste bristle 4s				
FBbt:00048227	sugar-sensing neuron of mesothoracic leg tarsal taste bristle 5b	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00048196	mesothoracic leg tarsal taste bristle 5b				
FBbt:00048228	sugar-sensing neuron of mesothoracic leg tarsal taste bristle 5v	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00048197	mesothoracic leg tarsal taste bristle 5v				
FBbt:00048229	sugar-sensing neuron of metathoracic leg tarsal taste bristle 4s	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00048205	metathoracic leg tarsal taste bristle 4s				
FBbt:00048230	sugar-sensing neuron of metathoracic leg tarsal taste bristle 5b	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00048207	metathoracic leg tarsal taste bristle 5b				
FBbt:00048231	sugar-sensing neuron of metathoracic leg tarsal taste bristle 5v	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00048208	metathoracic leg tarsal taste bristle 5v				
FBbt:00048232	sugar-sensing neuron of large labellar taste bristle	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00007411	large labellar taste bristle				
FBbt:00048233	sugar-sensing neuron of bitter-sensitive labellar taste bristle	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00048160	bitter-sensitive labellar taste bristle				
FBbt:00048270	gustatory receptor neuron of the wing	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00048271	wing margin taste bristle			FBbt:00004080	wing nerve
FBbt:00048273	wing bristle mechanosensory neuron	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004326	wing margin bristle			FBbt:00004080	wing nerve
FBbt:00048274	mechanosensory neuron of leg chordotonal organ					FBbt:00100292	chordotonal organ of leg	FBbt:00004640	leg		
FBbt:00048277	mechanosensory neuron of Wheeler's organ					FBbt:00004807	Wheeler's organ				
FBbt:00048279	sensory neuron of wing campaniform sensillum			GO:0050974	detection of mechanical stimulus involved in sensory perception	FBbt:00048278	wing campaniform sensillum	FBbt:00004729	wing	FBbt:00004080	wing nerve
FBbt:00048281	adult abdominal mechanosensory chaeta neuron			GO:0050974	detection of mechanical stimulus involved in sensory perception	FBbt:00048280	adult abdominal mechanosensory chaeta				
FBbt:00048283	adult thoracic mechanosensory chaeta neuron			GO:0050974	detection of mechanical stimulus involved in sensory perception	FBbt:00048282	adult thoracic mechanosensory chaeta				
FBbt:00048296	sensory neuron of haltere campaniform sensillum			GO:0050974	detection of mechanical stimulus involved in sensory perception	FBbt:00048295	haltere campaniform sensillum				
FBbt:00048297	sensory neuron of haltere capitellum trichoid sensillum					FBbt:00004414	capitellum trichoid sensillum				
FBbt:00048508	mechanosensory neuron of chaeta	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00005177	chaeta				
FBbt:00049612	mechanosensory eo neuron	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00007232	eo-type sensillum				
FBbt:00049977	antennal olfactory receptor neuron of basiconic sensillum	GO:0050911	detection of chemical stimulus involved in sensory perception of smell			FBbt:00004174	basiconic sensillum of antennal segment 3				
FBbt:00049978	antennal olfactory receptor neuron of trichoid sensillum	GO:0050911	detection of chemical stimulus involved in sensory perception of smell			FBbt:00004173	trichoid sensillum of antennal segment 3				
FBbt:00049979	antennal olfactory receptor neuron of intermediate sensillum	GO:0050911	detection of chemical stimulus involved in sensory perception of smell			FBbt:00007359	intermediate sensillum of antennal segment 3				
FBbt:00049980	antennal olfactory receptor neuron of coeloconic sensillum	GO:0050911	detection of chemical stimulus involved in sensory perception of smell			FBbt:00004177	coeloconic sensillum of antennal segment 3				
FBbt:00051173	adult antennal sensory neuron					FBbt:00004511	antenna	FBbt:00007151	adult antennal sense organ	FBbt:00003980	adult antennal nerve
FBbt:00051849	antennal olfactory receptor neuron of grooved sensillum of sacculus	GO:0050911	detection of chemical stimulus involved in sensory perception of smell			FBbt:00004180	sensillum of sacculus chamber III				
FBbt:00051970	sour-sensing neuron of the leg	GO:0001581	detection of chemical stimulus involved in sensory perception of sour taste			FBbt:00007409	leg taste bristle				
FBbt:00051971	sour-sensing neuron of mesothoracic leg tarsal taste bristle 5b	GO:0001581	detection of chemical stimulus involved in sensory perception of sour taste			FBbt:00048196	mesothoracic leg tarsal taste bristle 5b				
FBbt:00051972	sour-sensing neuron of mesothoracic leg tarsal taste bristle 5v	GO:0001581	detection of chemical stimulus involved in sensory perception of sour taste	GO:0001583	detection of chemical stimulus involved in sensory perception of salty taste	FBbt:00048197	mesothoracic leg tarsal taste bristle 5v				
FBbt:00051973	sour-sensing neuron of metathoracic leg tarsal taste bristle 5b	GO:0001581	detection of chemical stimulus involved in sensory perception of sour taste			FBbt:00048207	metathoracic leg tarsal taste bristle 5b				
FBbt:00051974	sour-sensing neuron of metathoracic leg tarsal taste bristle 5v	GO:0001581	detection of chemical stimulus involved in sensory perception of sour taste	GO:0001583	detection of chemical stimulus involved in sensory perception of salty taste	FBbt:00048208	metathoracic leg tarsal taste bristle 5v				
FBbt:00051975	sour-sensing neuron of prothoracic leg tarsal taste bristle 5b	GO:0001581	detection of chemical stimulus involved in sensory perception of sour taste			FBbt:00048184	prothoracic leg tarsal taste bristle 5b				
FBbt:00051976	sour-sensing neuron of prothoracic leg tarsal taste bristle 5s	GO:0001581	detection of chemical stimulus involved in sensory perception of sour taste			FBbt:00048186	prothoracic leg tarsal taste bristle 5s				
FBbt:00051977	sour-sensing neuron of prothoracic leg tarsal taste bristle 5v	GO:0001581	detection of chemical stimulus involved in sensory perception of sour taste	GO:0001583	detection of chemical stimulus involved in sensory perception of salty taste	FBbt:00048185	prothoracic leg tarsal taste bristle 5v				
FBbt:00051978	labellar taste bristle chemosensory neuron	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00004162	labellar taste bristle				
FBbt:00052038	larval DMSOh neuron			GO:0050974	detection of mechanical stimulus involved in sensory perception	FBbt:00002929	abdominal 8 dorsal trichoid sensillum DMSOh	FBbt:00001755	larval abdominal segment 8	FBbt:00002606	larval abdominal 8 nerve
FBbt:00052039	larval PLSOp neuron			GO:0050974	detection of mechanical stimulus involved in sensory perception	FBbt:00002944	abdominal 9 dorsocaudal sensory organ PLSOp	FBbt:00001756	larval abdominal segment 9	FBbt:00002618	larval abdominal 9 nerve
FBbt:00052045	larval ASOh neuron					FBbt:00052044	larval trichoid sensillum of anal sense organ	FBbt:00001757	larval abdominal segment 10	FBbt:00002618	larval abdominal 9 nerve
FBbt:00052156	larval Keilin organ neuron					FBbt:00005198	Keilin organ	FBbt:00052117	larval thoracic ventral sensory cluster	FBbt:00002037	larval segmental nerve
FBbt:00052184	mechanosensory neuron of adult head bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004115	adult head bristle				
FBbt:00052233	mechanosensory neuron of epandrial ventral lobe bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00048397	epandrial ventral lobe bristle			FBbt:00002179	abdominal nerve
FBbt:00052234	mechanosensory neuron of surstylar tooth	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004470	surstylar tooth				
FBbt:00052235	mechanosensory neuron of cercal bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00048392	cercal bristle				
FBbt:00052239	mechanosensory neuron of male terminalia sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004469	male terminalia sensillum				
FBbt:00052294	adult pheromone-sensing neuron of leg	GO:0043695	detection of pheromone	GO:0050907	detection of chemical stimulus involved in sensory perception	FBbt:00007409	leg taste bristle	FBbt:00004640	leg		
FBbt:00052298	adult pheromone-sensing neuron of labellum	GO:0043695	detection of pheromone			FBbt:00004162	labellar taste bristle	FBbt:00004531	labellum		
FBbt:00052560	external sense organ sensory neuron			GO:0050906	detection of stimulus involved in sensory perception	FBbt:00005168	external sensory organ				
FBbt:00052562	labellar mechanosensory bristle mechanosensory neuron			GO:0050974	detection of mechanical stimulus involved in sensory perception	FBbt:00051968	labellar mechanosensory bristle				
FBbt:00052568	bristle sensory neuron					FBbt:00005177	chaeta				
FBbt:00052569	mechanosensory neuron of prothoracic trochanter hair plate TrHP5	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058085	hair plate of prothoracic trochanter TrHP5				
FBbt:00052570	mechanosensory neuron of prothoracic trochanter hair plate TrHP6	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058086	hair plate of prothoracic trochanter TrHP6				
FBbt:00052571	mechanosensory neuron of prothoracic trochanter hair plate TrHP7	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058087	hair plate of prothoracic trochanter TrHP7				
FBbt:00052572	mechanosensory neuron of prothoracic trochanter campaniform sensillum Sc-8	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004261	prothoracic trochanter campaniform sensillum Sc-8				
FBbt:00052573	mechanosensory neuron of prothoracic trochanter campaniform sensillum Sc+5	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004263	prothoracic trochanter campaniform sensillum Sc+5				
FBbt:00052574	mechanosensory neuron of prothoracic trochanter campaniform sensillum Sc3	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004262	prothoracic trochanter campaniform sensillum Sc3				
FBbt:00052575	mechanosensory neuron of prothoracic femoral campaniform sensillum Sc1	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004276	prothoracic femoral campaniform sensillum Sc1				
FBbt:00052576	mechanosensory neuron of prothoracic femoral campaniform sensillum Sc11	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004277	prothoracic femoral campaniform sensillum Sc11				
FBbt:00052579	mechanosensory neuron of prothoracic tibial campaniform sensillum Sc2	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058049	prothoracic tibial campaniform sensillum Sc2				
FBbt:00052580	mechanosensory neuron of prothoracic tibial campaniform sensillum Sc3	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058050	prothoracic tibial campaniform sensillum Sc3				
FBbt:00052581	mechanosensory neuron of prothoracic tibial campaniform sensillum TiCSv1	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00052577	prothoracic tibial campaniform sensillum TiCSv1				
FBbt:00052582	mechanosensory neuron of prothoracic tibial campaniform sensillum TiCSv2	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00052578	prothoracic tibial campaniform sensillum TiCSv2				
FBbt:00052584	mechanosensory neuron of prothoracic trochanter hair plate TrHP1	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00052583	hair plate of prothoracic trochanter TrHP1				
FBbt:00052613	larval pharyngeal gustatory receptor neuron	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00001866	embryonic/larval pharynx				
FBbt:00052788	mechanosensory neuron of antennal bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00052779	adult antennal bristle			FBbt:00003980	adult antennal nerve
FBbt:00052789	mechanosensory neuron of frontal bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004124	frontal bristle			FBbt:00003980	adult antennal nerve
FBbt:00052790	mechanosensory neuron of fronto-orbital bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004125	fronto-orbital bristle			FBbt:00003980	adult antennal nerve
FBbt:00052791	mechanosensory neuron of orbital bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004116	orbital bristle			FBbt:00003980	adult antennal nerve
FBbt:00052792	mechanosensory neuron of interocellar bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004129	interocellar bristle			FBbt:00003980	adult antennal nerve
FBbt:00052793	mechanosensory neuron of vibrissal bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004130	vibrissal bristle				
FBbt:00052794	mechanosensory neuron of ventral postgenal bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004132	ventral postgenal bristle				
FBbt:00052795	mechanosensory neuron of ventral postorbital bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00052784	ventral postorbital bristle			FBbt:00052786	adult eye nerve
FBbt:00052796	mechanosensory neuron of dorsal postorbital bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00052783	dorsal postorbital bristle			FBbt:00052787	adult occipital nerve
FBbt:00052797	mechanosensory neuron of vertical bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004121	vertical bristle			FBbt:00052787	adult occipital nerve
FBbt:00052798	mechanosensory neuron of premandibular bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004134	premandibular bristle			FBbt:00052787	adult occipital nerve
FBbt:00052799	mechanosensory neuron of maxillary palp bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004160	maxillary palp bristle			FBbt:00110654|FBbt:00004043	adult maxillary-labial nerve|adult maxillary nerve
FBbt:00052800	mechanosensory neuron of haustellum bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00052785	haustellum bristle			FBbt:00110654|FBbt:00004028	adult maxillary-labial nerve|adult labial nerve
FBbt:00052801	mechanosensory neuron of postocellar bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004126	postocellar bristle				
FBbt:00052802	mechanosensory neuron of supracervical bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004120	supracervical bristle				
FBbt:00052803	mechanosensory neuron of ocellar bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004128	ocellar bristle			FBbt:00003980	adult antennal nerve
FBbt:00052805	mechanosensory neuron of ventral occipital bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00052804	ventral occipital bristle			FBbt:00052786	adult eye nerve
FBbt:00052806	mechanosensory neuron of postgenal trichoid sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004170	postgenal trichoid sensillum				
FBbt:00052807	mechanosensory neuron of proximal rostral trichoid sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004169	proximal rostral sensillum				
FBbt:00053163	adult prosternal chordotonal organ neuron			GO:0050974	detection of mechanical stimulus involved in sensory perception	FBbt:00007656	anterior prothoracic chordotonal organ				
FBbt:00053164	adult prosternal sense organ neuron			GO:0050974	detection of mechanical stimulus involved in sensory perception	FBbt:00007655	prosternal sense organ				
FBbt:00053333	adult mechanosensory neuron of hypogynial tooth			GO:0050974	detection of mechanical stimulus involved in sensory perception	FBbt:00004466	hypogynial tooth	FBbt:00003024	adult abdominal segment	FBbt:00004099	adult abdominal nerve trunk
FBbt:00053586	mechanosensory neuron of wing margin chemosensory bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00048271	wing margin taste bristle				
FBbt:00053587	mechanosensory neuron of wing margin mechanosensory bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00048272	wing margin mechanosensory bristle				
FBbt:00053588	mechanosensory neuron of labellum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004531	labellum				
FBbt:00058061	mechanosensory neuron of tibial campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058033	tibial campaniform sensillum				
FBbt:00058062	mechanosensory neuron of prothoracic tibial campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058037	prothoracic tibial campaniform sensillum			FBbt:00007657	adult prothoracic leg nerve
FBbt:00058063	mechanosensory neuron of mesothoracic tibial campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058038	mesothoracic tibial campaniform sensillum				
FBbt:00058064	mechanosensory neuron of metathoracic tibial campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058039	metathoracic tibial campaniform sensillum				
FBbt:00058065	mechanosensory neuron of metatarsal campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058034	metatarsal campaniform sensillum				
FBbt:00058066	mechanosensory neuron of prothoracic metatarsal campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058040	prothoracic metatarsal campaniform sensillum				
FBbt:00058067	mechanosensory neuron of mesothoracic metatarsal campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058041	mesothoracic metatarsal campaniform sensillum				
FBbt:00058068	mechanosensory neuron of metathoracic metatarsal campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058042	metathoracic metatarsal campaniform sensillum				
FBbt:00058069	mechanosensory neuron of tarsal 3 campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058035	tarsal 3 campaniform sensillum				
FBbt:00058070	mechanosensory neuron of prothoracic tarsal 3 campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058043	prothoracic tarsal 3 campaniform sensillum				
FBbt:00058071	mechanosensory neuron of mesothoracic tarsal 3 campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058044	mesothoracic tarsal 3 campaniform sensillum				
FBbt:00058072	mechanosensory neuron of metathoracic tarsal 3 campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058045	metathoracic tarsal 3 campaniform sensillum				
FBbt:00058073	mechanosensory neuron of tarsal 5 campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058036	tarsal 5 campaniform sensillum				
FBbt:00058074	mechanosensory neuron of prothoracic tarsal 5 campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058046	prothoracic tarsal 5 campaniform sensillum				
FBbt:00058075	mechanosensory neuron of mesothoracic tarsal 5 campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058047	mesothoracic tarsal 5 campaniform sensillum				
FBbt:00058076	mechanosensory neuron of metathoracic tarsal 5 campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058048	metathoracic tarsal 5 campaniform sensillum				
FBbt:00058078	mechanosensory neuron of prothoracic tibial hair plate TiHP3	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058077	hair plate of prothoracic tibia TiHP3			FBbt:00007657	adult prothoracic leg nerve
FBbt:00058082	mechanosensory neuron of prothoracic coxal hair plate CoHP3	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058079	hair plate of prothoracic coxa CoHP3			FBbt:00004055	adult dorsal prothoracic nerve
FBbt:00058083	mechanosensory neuron of prothoracic coxal hair plate CoHP4	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058080	hair plate of prothoracic coxa CoHP4			FBbt:00004056	adult prothoracic accessory nerve
FBbt:00058084	mechanosensory neuron of prothoracic coxal hair plate CoHP8	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00058081	hair plate of prothoracic coxa CoHP8			FBbt:00004057	adult ventral prothoracic nerve
FBbt:00058156	sugar-sensing neuron of labellar taste bristle	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00004162	labellar taste bristle				
FBbt:00100000	Johnston organ neuron			GO:0050974	detection of mechanical stimulus involved in sensory perception	FBbt:00004178	Johnston organ	FBbt:00004178	Johnston organ	FBbt:00100001|FBbt:00003980	Johnston organ bundle of antennal nerve|adult antennal nerve
FBbt:00100041	sugar-sensing neuron of taste bristle	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00005178	taste bristle				
FBbt:00100088	mechanosensory neuron of adult labral sensillum 1	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004148	mechanosensory labral sensillum 1			FBbt:00004024	accessory pharyngeal nerve
FBbt:00100089	mechanosensory neuron of adult labral sensillum 2	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004149	mechanosensory labral sensillum 2			FBbt:00004024	accessory pharyngeal nerve
FBbt:00100090	mechanosensory neuron of adult labral sensillum 3	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004150	mechanosensory labral sensillum 3			FBbt:00004024	accessory pharyngeal nerve
FBbt:00100091	mechanosensory neuron of adult labral sensillum 4	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004151	mechanosensory labral sensillum 4			FBbt:00004024	accessory pharyngeal nerve
