defined_class	defined_class_label	defining_modality	defining_modality_label	other_modality	other_modality_label	dendrite_location	dendrite_location_label	soma_location	soma_location_label	nerve	nerve_label
FBbt:00100144	gustatory receptor neuron of terminal organ	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00002690	terminal organ				
FBbt:00100145	gustatory receptor neuron of the dorsal organ	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00002655	dorsal organ	FBbt:00007227	dorsal organ ganglion	FBbt:00001965	embryonic/larval antennal nerve
FBbt:00100146	gustatory receptor neuron of the ventral organ	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00002707	ventral organ				
FBbt:00100147	larval gustatory receptor neuron of the dorsal pharyngeal sense organ	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00007281	dorsal pharyngeal sense organ				
FBbt:00100148	larval gustatory receptor neuron of the ventral pharyngeal sense organ	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00002719	ventral pharyngeal sense organ			FBbt:00001978	embryonic/larval labial nerve
FBbt:00100149	larval gustatory receptor neuron of the posterior pharyngeal sense organ	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00002665	posterior pharyngeal sense organ				
FBbt:00100159	ventral cibarial sense organ neuron of middle sensillum	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00100158	middle sensillum of ventral cibarial sense organ			FBbt:00004024	accessory pharyngeal nerve
FBbt:00100160	ventral cibarial sense organ neuron of distal sensillum	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00100157	distal sensillum of ventral cibarial sense organ			FBbt:00004024	accessory pharyngeal nerve
FBbt:00100190	mechanosensory neuron of mechanosensory medial triple row bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00100150	mechanosensory medial triple row bristle			FBbt:00049637|FBbt:00100113	combined L1-L3 nerve|marginal nerve
FBbt:00100193	chemosensory neuron of dorsal double row bristle	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00100191	chemosensory dorsal double row bristle			FBbt:00049637|FBbt:00100113	combined L1-L3 nerve|marginal nerve
FBbt:00100194	mechanosensory neuron of chemosensory dorsal double row bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00100191	chemosensory dorsal double row bristle			FBbt:00049637|FBbt:00100113	combined L1-L3 nerve|marginal nerve
FBbt:00100195	mechanosensory neuron of mechanosensory dorsal double row bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00100192	mechanosensory dorsal double row bristle			FBbt:00049637|FBbt:00100113	combined L1-L3 nerve|marginal nerve
FBbt:00100196	mechanosensory neuron of chemosensory ventral double row bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00100108	chemosensory ventral double row bristle			FBbt:00049637|FBbt:00100113	combined L1-L3 nerve|marginal nerve
FBbt:00100197	mechanosensory neuron of chemosensory ventral triple row bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004335	chemosensory ventral triple row bristle			FBbt:00049637|FBbt:00100113	combined L1-L3 nerve|marginal nerve
FBbt:00110883	ventral cibarial sense organ neuron	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00004143	ventral cibarial sense organ				
FBbt:00110884	dorsal cibarial sense organ neuron of posterior sensillum	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00004141	posterior sensillum of dorsal cibarial sense organ				
FBbt:00110885	dorsal cibarial sense organ neuron of anterior sensillum	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00004142	anterior sensillum of dorsal cibarial sense organ				
FBbt:00110886	gustatory receptor neuron of the adult pharynx	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00003128	adult pharynx				
