defined_class	defined_class_label	parent	parent_label	soma_loc	soma_loc_label
FBbt:00049117	larval metathoracic A05a neuron	FBbt:00047003	larval A05a neuron	FBbt:00051989	cell body rind of larval metathoracic neuromere
FBbt:00049121	larval prothoracic A00g neuron	FBbt:00048643	larval A00g neuron	FBbt:00051987	cell body rind of larval prothoracic neuromere
FBbt:00049129	larval abdominal 2 Saaghi 3 neuron	FBbt:00111660	larval Saaghi 3 neuron	FBbt:00051991	cell body rind of larval abdominal 2 neuromere
FBbt:00049130	larval metathoracic A01x2 neuron	FBbt:00047015	larval A01x2 neuron	FBbt:00051989	cell body rind of larval metathoracic neuromere
FBbt:00049132	larval abdominal 1 A18b2 neuron	FBbt:00049131	larval A18b2 neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00049134	larval metathoracic A03g2 neuron	FBbt:00049133	larval A03g2 neuron	FBbt:00051989	cell body rind of larval metathoracic neuromere
FBbt:00049183	larval abdominal 2 A08e1 local neuron	FBbt:00111653	larval A08e1 local neuron	FBbt:00051991	cell body rind of larval abdominal 2 neuromere
FBbt:00049184	larval abdominal 2 A08e2 local neuron	FBbt:00111654	larval A08e2 local neuron	FBbt:00051991	cell body rind of larval abdominal 2 neuromere
FBbt:00049559	prothoracic femoral chordotonal hook neuron	FBbt:00049558	femoral chordotonal hook neuron	FBbt:00000017	prothoracic segment
FBbt:00049560	prothoracic femoral chordotonal claw neuron	FBbt:00049557	femoral chordotonal claw neuron	FBbt:00000017	prothoracic segment
FBbt:00049561	prothoracic femoral chordotonal club neuron	FBbt:00049556	femoral chordotonal club neuron	FBbt:00000017	prothoracic segment
FBbt:00049562	mesothoracic femoral chordotonal hook neuron	FBbt:00049558	femoral chordotonal hook neuron	FBbt:00000018	mesothoracic segment
FBbt:00049563	mesothoracic femoral chordotonal claw neuron	FBbt:00049557	femoral chordotonal claw neuron	FBbt:00000018	mesothoracic segment
FBbt:00049564	mesothoracic femoral chordotonal club neuron	FBbt:00049556	femoral chordotonal club neuron	FBbt:00000018	mesothoracic segment
FBbt:00049565	metathoracic femoral chordotonal hook neuron	FBbt:00049558	femoral chordotonal hook neuron	FBbt:00000019	metathoracic segment
FBbt:00049566	metathoracic femoral chordotonal claw neuron	FBbt:00049557	femoral chordotonal claw neuron	FBbt:00000019	metathoracic segment
FBbt:00049567	metathoracic femoral chordotonal club neuron	FBbt:00049556	femoral chordotonal club neuron	FBbt:00000019	metathoracic segment
FBbt:00049945	adult sex peptide sensory neuron of uterus	FBbt:00111303	adult sex peptide sensory neuron	FBbt:00004924	uterus
FBbt:00049946	adult sex peptide sensory neuron of lateral oviduct	FBbt:00111303	adult sex peptide sensory neuron	FBbt:00004912	lateral oviduct
FBbt:00051320	larval abdominal 1 A02c neuron	FBbt:00051319	larval A02c neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051322	larval abdominal 1 A01a2 neuron	FBbt:00051321	larval A01a2 neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051324	larval abdominal 1 A01d4 neuron	FBbt:00051323	larval A01d4 neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051326	larval abdominal 1 A01m neuron	FBbt:00051325	larval A01m neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051327	larval abdominal 2 iIN-1 neuron	FBbt:00111736	larval abdominal inhibitory interneuron iIN-1	FBbt:00051991	cell body rind of larval abdominal 2 neuromere
FBbt:00051329	larval abdominal 1 A14a2 neuron	FBbt:00051328	larval A14a2 neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051331	larval abdominal 1 A14f neuron	FBbt:00051330	larval A14f neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051333	larval abdominal 1 A06g1 neuron	FBbt:00051332	larval A06g1 neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051335	larval abdominal 1 A06i2 neuron	FBbt:00051334	larval A06i2 neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051338	larval abdominal 1 A06i1 neuron	FBbt:00051336	larval A06i1 neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051339	larval abdominal 1 A06i4 neuron	FBbt:00051337	larval A06i4 neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051341	larval abdominal 1 A06j2 neuron	FBbt:00051340	larval A06j2 neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051346	larval abdominal 1 A03c2 neuron	FBbt:00051342	larval A03c2 neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051347	larval abdominal 1 A03c1 neuron	FBbt:00051343	larval A03c1 neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051348	larval abdominal 1 A03t2 neuron	FBbt:00051344	larval A03t2 neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051349	larval abdominal 1 A03t3 neuron	FBbt:00051345	larval A03t3 neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051355	larval abdominal 1 A03d1 neuron	FBbt:00051350	larval A03d1 neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051356	larval abdominal 1 A03f neuron	FBbt:00051351	larval A03f neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
