defined_class	defined_class_label	mature_neuron	mature_neuron_label	progenitor	progenitor_label	stage_hemilineage	stage_hemilineage_label
FBbt:00052328	immature transmedullary neuron Tm29	FBbt:00049916	transmedullary neuron Tm29	FBbt:00001938	medulla forming neuroblast	FBbt:00049542	Notch OFF hemilineage secondary neuron
FBbt:00052329	immature transmedullary neuron Tm3a	FBbt:00003791	transmedullary neuron Tm3a	FBbt:00001938	medulla forming neuroblast	FBbt:00049541	Notch ON hemilineage secondary neuron
FBbt:00052330	immature transmedullary neuron Tm4	FBbt:00003792	transmedullary neuron Tm4	FBbt:00001938	medulla forming neuroblast	FBbt:00049541	Notch ON hemilineage secondary neuron
FBbt:00052331	immature transmedullary neuron Tm5b	FBbt:00110073	transmedullary neuron Tm5b	FBbt:00001938	medulla forming neuroblast	FBbt:00049541	Notch ON hemilineage secondary neuron
FBbt:00052332	immature transmedullary neuron Tm5c	FBbt:00110074	transmedullary neuron Tm5c	FBbt:00001938	medulla forming neuroblast	FBbt:00049542	Notch OFF hemilineage secondary neuron
FBbt:00052333	immature transmedullary neuron Tm9	FBbt:00003797	transmedullary neuron Tm9	FBbt:00001938	medulla forming neuroblast	FBbt:00049541	Notch ON hemilineage secondary neuron
FBbt:00052334	immature transmedullary neuron Tm9a	FBbt:00058233	transmedullary neuron Tm9a	FBbt:00001938	medulla forming neuroblast	FBbt:00049541	Notch ON hemilineage secondary neuron
FBbt:00052335	immature transmedullary neuron Tm9b	FBbt:00058234	transmedullary neuron Tm9b	FBbt:00001938	medulla forming neuroblast	FBbt:00049541	Notch ON hemilineage secondary neuron
FBbt:00052336	immature transmedullary Y neuron TmY14	FBbt:00111286	transmedullary Y neuron TmY14	FBbt:00001938	medulla forming neuroblast	FBbt:00049542	Notch OFF hemilineage secondary neuron
FBbt:00052337	immature transmedullary Y neuron TmY3	FBbt:00003820	transmedullary Y neuron TmY3	FBbt:00001938	medulla forming neuroblast	FBbt:00049541	Notch ON hemilineage secondary neuron
FBbt:00052338	immature transmedullary Y neuron TmY4	FBbt:00003821	transmedullary Y neuron TmY4	FBbt:00001938	medulla forming neuroblast	FBbt:00049541	Notch ON hemilineage secondary neuron
FBbt:00052339	immature transmedullary Y neuron TmY5a	FBbt:00003823	transmedullary Y neuron TmY5a	FBbt:00001938	medulla forming neuroblast	FBbt:00049542	Notch OFF hemilineage secondary neuron
FBbt:00052340	immature transmedullary Y neuron TmY8	FBbt:00003826	transmedullary Y neuron TmY8	FBbt:00001938	medulla forming neuroblast	FBbt:00049541	Notch ON hemilineage secondary neuron
FBbt:00052343	immature lobula columnar neuron LC14	FBbt:00100486	lobula columnar neuron LC14			FBbt:00047096	secondary neuron
FBbt:00052347	larval immature CCAP neuron	FBbt:00052350	pupal late CCAP neuron			FBbt:00049543	small undifferentiated primary neuron
FBbt:00052348	larval A8-A9 immature CCAP neuron	FBbt:00111334	pupal A8-A9 late CCAP neuron				
FBbt:00052349	larval A5-A7 immature CCAP neuron	FBbt:00052352	pupal A5-A7 late CCAP neuron				
FBbt:00052566	embryonic immature lch5 neuron	FBbt:00002019	larval abdominal lch5 neuron				
FBbt:00052665	embryonic immature dorsal bipolar dendrite neuron	FBbt:00052666	dorsal bipolar neuron dbp	FBbt:00059179	bipolar dendrite neuron precursor cell	FBbt:00047097	primary neuron
