defined_class	defined_class_label	Ib_muscle_cell	Ib_muscle_cell_label	other_Ib_muscle	other_Ib_muscle_label	Is_muscle_cell	Is_muscle_cell_label	other_Is_muscle	other_Is_muscle_label	II_muscle_cell	II_muscle_cell_label	other_II_muscle	other_II_muscle_label	III_muscle_cell	III_muscle_cell_label	other_III_muscle	other_III_muscle_label	neuroblast	neuroblast_label	nerve	nerve_label
FBbt:00052024	adult octopaminergic prothoracic leg muscle motor neuron									FBbt:00003343	somatic muscle cell of prothoracic leg									FBbt:00007657	adult prothoracic leg nerve
FBbt:00052025	adult octopaminergic mesothoracic leg muscle motor neuron									FBbt:00003402	somatic muscle cell of mesothoracic leg									FBbt:00004063	adult mesothoracic leg nerve
FBbt:00052026	adult octopaminergic metathoracic leg muscle motor neuron									FBbt:00003430	somatic muscle cell of metathoracic leg									FBbt:00004096	adult metathoracic leg nerve
FBbt:00052027	adult octopaminergic proboscis muscle motor neuron									FBbt:00003261	proboscis muscle cell										
FBbt:00052028	adult octopaminergic frontal pulsatile organ muscle motor neuron									FBbt:00003281	muscle cell of frontal pulsatile organ muscle 16										
FBbt:00052030	adult octopaminergic abdominal somatic muscle motor neuron									FBbt:00003447	somatic muscle cell of abdomen										
FBbt:00052031	adult octopaminergic heart muscle motor neuron									FBbt:00003543	adult heart muscle cell										
FBbt:00052539		FBbt:00001040	embryonic/larval alary muscle cell																	FBbt:00001996	larval transverse nerve
FBbt:00110181	larval VUM motor neuron									FBbt:00000465	embryonic/larval hypodermal muscle cell							FBbt:00001428	VUM precursor		
FBbt:00110220	A1-7 DA1 motor neuron	FBbt:00000591	muscle cell of A1-7 dorsal acute muscle 1																	FBbt:00001120|FBbt:00110210|FBbt:00002319	larval posterior commissure|larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00110225	DO1 motor neuron	FBbt:00110226	muscle cell of dorsal oblique muscle 1															FBbt:00006035	ganglion mother cell GMC7-1a		
FBbt:00110228	DO2 motor neuron	FBbt:00110229	muscle cell of dorsal oblique muscle 2															FBbt:00006036	ganglion mother cell GMC7-1b		
FBbt:00110230	A1-7 DO2 motor neuron	FBbt:00000610	muscle cell of A1-7 dorsal oblique muscle 2																	FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00110231	DA3 motor neuron	FBbt:00110232	muscle cell of dorsal acute muscle 3															FBbt:00006039	ganglion mother cell GMC7-1e		
FBbt:00110233	A1-7 DA3 motor neuron	FBbt:00000593	muscle cell of A1-7 dorsal acute muscle 3																	FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00110234	LL1 motor neuron	FBbt:00000481	muscle cell of lateral longitudinal muscle 1															FBbt:00006040	ganglion mother cell GMC7-1f		
FBbt:00110235	A1-7 LL1 motor neuron	FBbt:00000600	muscle cell of A1-7 lateral longitudinal muscle 1																	FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00110237	A1-7 DO3 motor neuron	FBbt:00000611	muscle cell of A1-7 dorsal oblique muscle 3															FBbt:00001388	neuroblast NB3-2	FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00110238	DO4 motor neuron	FBbt:00110239	muscle cell of dorsal oblique muscle 4																		
