root_id,UMAP1,UMAP2,root_626,supervoxel_id,position,side,region,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,super_cluster,cns_network
720575941540968397,21.898852367206224,-18.513271701279542,720575941540968397,76142074247938924,"120321, 92500, 2583",right,neck_connective,ascending,09B,NA,NA,AN09B018_a,AN_GNG_195,AN09B018,feeding,CNS_03
720575941662395704,12.346318263812664,-9.65858591789331,720575941662395704,76212442992686915,"121893, 92500, 2780",left,neck_connective,descending,putative_primary,NA,NA,DNd02,DNd02,DNd02,reproduction,CNS_02
720575941662397752,28.50302793483317,-13.042663943711178,720575941662397752,76142074247891904,"119144, 92500, 2570",left,neck_connective,ascending,05B,NA,NA,AN05B026,AN_GNG_FLA_2,AN05B026,feeding,CNS_02
720575941662407992,21.397799510760905,7.860331165846926,720575941662407992,75788855869355549,"108729, 51671, 1623",left,neck_connective,descending,MX7__prim,NA,NA,DNg29,DNg29,DNg29,proprioceptive,CNS_05
720575941662445180,24.57750799159587,21.491717922743895,720575941662445180,76071705503959492,"117516, 92500, 2648",left,neck_connective,ascending,10B,NA,NA,AN10B047,AN_AVLP_41,AN10B047,proprioceptive,CNS_05
720575941662495356,-19.136948566631673,9.890733349379643,720575941662495356,76212443059213936,"122274, 92500, 2824",right,neck_connective,descending,LB7,NA,NA,DNg07,DNg07,DNut034,flight steering 2,CNS_01
720575941662498940,-18.117810230450033,19.044976818617926,720575941662498940,76282811736792201,"123361, 92500, 2811",right,neck_connective,ascending,06B,NA,NA,AN06B068,AN_4_None,AN06B068,flight steering 2,CNS_01
720575941662506040,-20.38538644810139,-8.129829299393553,720575941662506040,75578162021050575,"103790, 63894, 1984",right,neck_connective,descending,putative_primary,NA,NA,DNg27,DNg27,DNg27,flight power,CNS_01
720575941662508600,6.237038631244308,8.057035076674564,720575941662508600,76071705571081046,"117945, 92500, 2896",left,neck_connective,ascending,18B,NA,NA,AN18B053,AN_GNG_161,AN18B053,threat response,CNS_01
720575941662645304,21.00213148097575,-1.9788057922753273,720575941662645304,75930968015572829,"114636, 92500, 2773",right,neck_connective,descending,putative_primary,NA,NA,DNd03,DNd03,DNd03,tactile,CNS_02
720575941662695992,26.489380855365393,-15.281349551621336,720575941662695992,76282811736547364,"123567, 92500, 2728",left,neck_connective,descending,MX3,NA,NA,DNg65,DNg65,DNg65,feeding,CNS_02
720575941663471740,-31.698464374737135,10.313335049208744,720575941663471740,76003673356506625,"115679, 162743, 3254",right,neck_connective,ascending,03B,NA,NA,AN03B095,AN_GNG_175,AN03B095,flight steering 1,CNS_01
720575941663480188,-3.9587609579127983,-16.192154300156496,720575941663480188,76001336759650048,"115526, 92500, 2611",left,neck_connective,descending,MD3,NA,NA,DNge101,DNge101,DNxl090,probing,CNS_06
720575941663484028,8.841526050372725,-9.594465625229734,720575941663484028,76001336692348239,"115843, 92500, 2550",right,neck_connective,ascending,01B,NA,NA,AN01B005,AN_multi_123,AN01B005,walking steering,CNS_02
720575941663484540,-1.5426400711101245,-14.409186732712646,720575941663484540,75864585739368049,"112401, 212260, 5485",left,neck_connective,ascending,NA,NA,NA,ANXXX318,AN_GNG_77,ANXXX318,probing,CNS_03
720575941663497084,1.3471967170673655,-13.878745448532957,720575941663497084,76282811736674139,"124877, 92500, 2770",left,neck_connective,descending,WEDd1,NA,NA,DNa11,DNa11,DNa11,walking steering,CNS_02
720575941663518844,-12.41770265598714,-0.26098663801278493,720575941663518844,75930968015460225,"114496, 92500, 2724",left,neck_connective,descending,LB6,NA,NA,DNge033,DNge033,DNnt017,head and eye orienting,CNS_01
720575941663701884,-9.102902393535969,-16.02029455894555,720575941663701884,76423549291693379,"127058, 92500, 2904",left,neck_connective,descending,putative_primary,NA,NA,DNg61,DNg61,DNfl017,probing,CNS_06
720575941665097203,-0.48137224812924373,-13.520910632553953,720575941665097203,76001336827278745,"116307, 92500, 3035",right,neck_connective,descending,putative_primary,NA,NA,DNge134,DNge134,DNxn073,walking steering,CNS_02
720575941665230067,12.761271495624188,7.450247871932132,720575941665230067,76212442992544826,"121704, 92500, 2728",right,neck_connective,ascending,08B,NA,NA,AN08B097,AN_GNG_139,AN08B097,threat response,CNS_01
