root_id,UMAP1,UMAP2,root_626,supervoxel_id,position,side,region,flow,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,cluster,super_cluster
720575941668553639,6.745757745298265,0.34562161470658864,720575941668553639,76919567012157449,"141906,194895,5022",left,ventral_nerve_cord,efferent,motor,NA,leg_motor,left_mesothoracic_leg_nerve,accessory_trochanter_flexor,NA,Acc. tr flexor MN,EFF_10,middle-hind leg
720575941668683687,7.3407079444254615,3.3097279360414276,720575941668683687,76776836054782560,"139095, 135948, 2652",left,ventral_nerve_cord,efferent,motor,NA,leg_motor,left_dorsal_prothoracic_nerve,tergopleural_promotor_pleural_promotor,NA,auto:IN08A036,EFF_11,front leg
720575941669019635,2.3638114199961398,-2.0395246455549474,720575941669019635,75792705032653750,"110516,166100,5037",right,ventral_nerve_cord,efferent,motor,16B,wing_tension,right_anterior_dorsal_mesothoracic_nerve,tp2,NA,tp2 MN,EFF_08,flight-energy-power
720575941669036531,-7.911777330843093,-2.691692204224991,720575941669036531,75930006076977910,"114309, 64000, 3110",right,central_brain,efferent,visceral_circulatory,DILP__prim,"energy_metabolism,food_intake",NA,m_NSC_DILP,m_NSC_DILP,NA,EFF_06,energy homeostasis
720575941669039859,-7.969625784364824,-2.6739443251966706,720575941669039859,75930006076979468,"114581,64000,3108",right,central_brain,efferent,visceral_circulatory,DILP__prim,"energy_metabolism,food_intake",NA,m_NSC_DILP,m_NSC_DILP,NA,EFF_06,energy homeostasis
720575941669313447,3.5509368644083716,2.88935974146135,720575941669313447,75366987135720267,"96396, 62241, 2072",right,central_brain,efferent,motor,putative_primary,antenna_motor,AN,CB0873,CB0873,NA,EFF_13,antenna
720575941671326631,-7.393930269685866,2.008641346347405,720575941671326631,76562911719524364,"133037,53125,321",left,central_brain,efferent,motor,NA,proboscis_motor,left_maxillary-labial_nerve,NA,auto:CB3797,NA,EFF_05,proboscis-antenna
720575941671982759,3.5294286475504615,2.5748175075174107,720575941671982759,75226043355162309,"93573, 55970, 1750",right,central_brain,efferent,motor,putative_primary,antenna_motor,AN,CB0810,CB0810,NA,EFF_13,antenna
720575941678532541,1.3735806212748267,-1.9196072528242336,720575941678532541,76425679998675511,"127985,157682,4526",right,ventral_nerve_cord,efferent,visceral_circulatory,27X,"myomodulation,energy_metabolism",NA,EN27X010,NA,NA,EFF_08,flight-energy-power
720575941679001021,6.2905651793802955,-0.4001778075575104,720575941679001021,76006216849265227,"116073, 239003, 6464",left,ventral_nerve_cord,efferent,motor,NA,leg_motor,left_metathoracic_leg_nerve,sternal_posterior_rotator_dorsomedial_ribbon,NA,auto:IN03B042,EFF_10,middle-hind leg
720575941679645373,-2.515538765398147,-2.689604134309219,720575941679645373,75021191735583013,"86800, 243152, 6009",right,ventral_nerve_cord,efferent,motor,TBD,NA,NA,MNad14,NA,MNad14,EFF_01,abdomen motor 1
720575941680133053,-4.606198622194412,-4.241944164979386,720575941680133053,75302873005140615,"96118, 248460, 6574",left,ventral_nerve_cord,efferent,motor,NA,NA,NA,NA,NA,auto:IN06A064,EFF_02,abdomen-egg-laying
720575941680979133,7.3380176291788795,-0.12918576692335512,720575941680979133,77059479530953470,"147232, 171312, 3645",left,ventral_nerve_cord,efferent,motor,NA,leg_motor,NA,long_tendon_muscle_B_femur,NA,auto:ltm1-tibia MN,EFF_10,middle-hind leg
720575941681667773,-8.142431093660477,-2.5764530608534084,720575941681667773,76422724657913303,"128752,69199,2928",left,central_brain,efferent,visceral_circulatory,DILP__prim,NA,NA,m_NSC_unknown,NA,NA,EFF_06,energy homeostasis
720575941684824815,6.288167165311693,0.14594212080247498,720575941684824815,76919773103104166,"142832, 201344, 4625",left,ventral_nerve_cord,efferent,motor,20B.21B.22B,leg_motor,left_mesothoracic_leg_nerve,sternal_posterior_rotator_MesoLN_dorsal_5,NA,Sternal posterior rotator MN,EFF_10,middle-hind leg
720575941685793804,-1.8381914033566735,-2.500949711549209,720575941685793804,75583523146802242,"102567,224008,5804",right,ventral_nerve_cord,efferent,motor,TBD,NA,NA,MNad01,NA,MNad01,EFF_01,abdomen motor 1
720575941685804044,1.0564791426981666,5.846839099180771,720575941685804044,75652654269429464,"105605,187725,3273",right,ventral_nerve_cord,efferent,motor,15B,leg_motor,right_mesothoracic_leg_nerve,tibia_flexor,NA,Ti flexor MN,EFF_12,middle-hind leg
720575941686473228,-6.100980593172195,-4.1810935447096105,720575941686473228,75232710284840832,"93010, 254775, 5997",right,ventral_nerve_cord,efferent,motor,TBD,NA,NA,MNad57,NA,MNad57,EFF_03,abdomen-ovulation
720575941686846447,-6.278344465700272,-4.2347758719801165,720575941686846447,75021329174854063,"86560, 245920, 6087",right,ventral_nerve_cord,efferent,motor,TBD,NA,NA,MNad48,NA,MNad48,EFF_03,abdomen-ovulation
720575941687084527,-7.826004816499831,-0.6594780394911043,720575941687084527,75718074405777101,"106921, 39415, 232",right,central_brain,efferent,motor,putative_primary,proboscis_motor,right_pharyngeal_nerve_or_accessory_pharyngeal_nerve,CB0728,CB0728,NA,EFF_07,ingestion-digestion
720575941687102220,-0.2752257718716883,-2.0352998683332673,720575941687102220,75583523213490906,"102776, 223787, 5893",right,ventral_nerve_cord,efferent,motor,TBD,NA,NA,MNad05,NA,MNad05,EFF_09,abdomen motor 2
