FBbt_id	cell_type	synonym	creation_date	asserted_parents	notes
FBbt:20003972	CB0136		2024-02-05T12:00:00Z		
FBbt:20003973	CB0137		2024-02-05T12:00:00Z		
FBbt:20003974	CB0138		2024-02-05T12:00:00Z		
FBbt:20003975	CB0140		2024-02-05T12:00:00Z		
FBbt:20003976	CB0141		2024-02-05T12:00:00Z		
FBbt:20003977	CB0142		2024-02-05T12:00:00Z		
FBbt:20003978	CB0143		2024-02-05T12:00:00Z		
FBbt:20003979	CB0144		2024-02-05T12:00:00Z		
FBbt:20003980	CB0147		2024-02-05T12:00:00Z		
FBbt:20003981	CB0148		2024-02-05T12:00:00Z		
FBbt:20003982	CB0149		2024-02-05T12:00:00Z		
FBbt:20003983	CB0150		2024-02-05T12:00:00Z		
FBbt:20003984	CB0151		2024-02-05T12:00:00Z		
FBbt:20003985	CB0152		2024-02-05T12:00:00Z		
FBbt:20003987	CB0155		2024-02-05T12:00:00Z		
FBbt:20003988	CB0157		2024-02-05T12:00:00Z		
FBbt:20003989	CB0158		2024-02-05T12:00:00Z		
FBbt:20003990	CB0159		2024-02-05T12:00:00Z		
FBbt:20003991	CB0161		2024-02-05T12:00:00Z		
FBbt:20003992	CB0163		2024-02-05T12:00:00Z		
FBbt:20003993	CB0164		2024-02-05T12:00:00Z		
FBbt:20003994	CB0166		2024-02-05T12:00:00Z		
FBbt:20003995	CB0168		2024-02-05T12:00:00Z		
FBbt:20003996	CB0170		2024-02-05T12:00:00Z		
FBbt:20003997	CB0172		2024-02-05T12:00:00Z		
FBbt:20003998	CB0174		2024-02-05T12:00:00Z		
FBbt:20003999	CB0175		2024-02-05T12:00:00Z		
FBbt:20004000	CB0176		2024-02-05T12:00:00Z		
FBbt:20004001	CB0177		2024-02-05T12:00:00Z		
FBbt:20004002	CB0179		2024-02-05T12:00:00Z		
FBbt:20004003	CB0180		2024-02-05T12:00:00Z		
FBbt:20004004	CB0182		2024-02-05T12:00:00Z		
FBbt:20004005	CB0183		2024-02-05T12:00:00Z		
FBbt:20004006	CB0184		2024-02-05T12:00:00Z		
FBbt:20004007	CB0186		2024-02-05T12:00:00Z		
FBbt:20004008	CB0187		2024-02-05T12:00:00Z		
FBbt:20004009	CB0188		2024-02-05T12:00:00Z		
FBbt:20004010	CB0189		2024-02-05T12:00:00Z		
FBbt:20004011	CB0190		2024-02-05T12:00:00Z		
FBbt:20004012	CB0191		2024-02-05T12:00:00Z		
FBbt:20004014	CB0194		2024-02-05T12:00:00Z		
FBbt:20004015	CB0195		2024-02-05T12:00:00Z		
FBbt:20004016	CB0196		2024-02-05T12:00:00Z		
FBbt:20004017	CB0197		2024-02-05T12:00:00Z		
FBbt:20004018	CB0198		2024-02-05T12:00:00Z		
FBbt:20004019	CB0200		2024-02-05T12:00:00Z		
FBbt:20004020	CB0202		2024-02-05T12:00:00Z		
FBbt:20004021	CB0204		2024-02-05T12:00:00Z		
FBbt:20004022	CB0206		2024-02-05T12:00:00Z		
FBbt:20004023	CB0207		2024-02-05T12:00:00Z		
FBbt:20004024	CB0208		2024-02-05T12:00:00Z		
FBbt:20004025	CB0211		2024-02-05T12:00:00Z		
FBbt:20004026	CB0212		2024-02-05T12:00:00Z	FBbt:00051902	Shiu et al. (2024) - FBrf0260565
FBbt:20004028	CB0214		2024-02-05T12:00:00Z		
FBbt:20004029	CB0215		2024-02-05T12:00:00Z		
FBbt:20004030	CB0216		2024-02-05T12:00:00Z		
FBbt:20004031	CB0217		2024-02-05T12:00:00Z		
FBbt:20004032	CB0218		2024-02-05T12:00:00Z		
FBbt:20004033	CB0219		2024-02-05T12:00:00Z		
FBbt:20004034	CB0220		2024-02-05T12:00:00Z		
