defined_class	nb_class	lineage_short	alt_lineage_name	def_dbxref
FBbt:00048921	FBbt:00001419	MNB	0	FlyBase:FBrf0231327
FBbt:00048922	FBbt:00001371	NB1-1	16	FlyBase:FBrf0231327
FBbt:00048923	FBbt:00001384	NB1-2	1	FlyBase:FBrf0231327
FBbt:00048924	FBbt:00001410	NB2-1	2	FlyBase:FBrf0231327
FBbt:00048925	FBbt:00001385	NB2-2	10	FlyBase:FBrf0231327
FBbt:00048926	FBbt:00001421	NB2-3	15	FlyBase:FBrf0231327
FBbt:00048927	FBbt:00001411	NB2-4	18	FlyBase:FBrf0231327
FBbt:00048928	FBbt:00001374	NB2-5	17	FlyBase:FBrf0231327
FBbt:00048929	FBbt:00001394	NB3-1	4	FlyBase:FBrf0231327
FBbt:00048930	FBbt:00001388	NB3-2	7	FlyBase:FBrf0231327
FBbt:00048931	FBbt:00001422	NB3-3	8	FlyBase:FBrf0231327
FBbt:00048932	FBbt:00001414	NB3-4	25	FlyBase:FBrf0231327
FBbt:00048933	FBbt:00001375	NB3-5	9	FlyBase:FBrf0231327
FBbt:00048934	FBbt:00001397	NB4-1	14	FlyBase:FBrf0231327
FBbt:00048935	FBbt:00001389	NB4-2	13	FlyBase:FBrf0231327
FBbt:00048936	FBbt:00001423	NB4-3	21	FlyBase:FBrf0231327
FBbt:00048937	FBbt:00001415	NB4-4	24	FlyBase:FBrf0231327
FBbt:00048938	FBbt:00001376	NB5-2	6	FlyBase:FBrf0231327
FBbt:00048939	FBbt:00001390	NB5-3	5	FlyBase:FBrf0231327
FBbt:00048940	FBbt:00001416	NB5-4	22	FlyBase:FBrf0231327
FBbt:00048941	FBbt:00111737	NB5-7	20	FlyBase:FBrf0231327
FBbt:00048942	FBbt:00001398	NB6-1	12	FlyBase:FBrf0231327
FBbt:00048943	FBbt:00001391	NB6-2	19	FlyBase:FBrf0231327
FBbt:00048944	FBbt:00001380	NB7-1	3	FlyBase:FBrf0231327
FBbt:00048945	FBbt:00001392	NB7-2	11	FlyBase:FBrf0231327
FBbt:00048946	FBbt:00001381	NB7-4	23	FlyBase:FBrf0231327
