defined_class	nb_class	lineage_short	alt_lineage_name	def_dbxref
FBbt:00048895	FBbt:00001419	MNB	0	FlyBase:FBrf0231327
FBbt:00048896	FBbt:00001371	NB1-1	16	FlyBase:FBrf0231327
FBbt:00048897	FBbt:00001384	NB1-2	1	FlyBase:FBrf0231327
FBbt:00048898	FBbt:00001410	NB2-1	2	FlyBase:FBrf0231327
FBbt:00048899	FBbt:00001385	NB2-2	10	FlyBase:FBrf0231327
FBbt:00048900	FBbt:00001421	NB2-3	15	FlyBase:FBrf0231327
FBbt:00048901	FBbt:00001411	NB2-4	18	FlyBase:FBrf0231327
FBbt:00048902	FBbt:00001374	NB2-5	17	FlyBase:FBrf0231327
FBbt:00048903	FBbt:00001394	NB3-1	4	FlyBase:FBrf0231327
FBbt:00048904	FBbt:00001388	NB3-2	7	FlyBase:FBrf0231327
FBbt:00048905	FBbt:00001422	NB3-3	8	FlyBase:FBrf0231327
FBbt:00048906	FBbt:00001414	NB3-4	25	FlyBase:FBrf0231327
FBbt:00048907	FBbt:00001375	NB3-5	9	FlyBase:FBrf0231327
FBbt:00048908	FBbt:00001397	NB4-1	14	FlyBase:FBrf0231327
FBbt:00048909	FBbt:00001389	NB4-2	13	FlyBase:FBrf0231327
FBbt:00048910	FBbt:00001423	NB4-3	21	FlyBase:FBrf0231327
FBbt:00048911	FBbt:00001415	NB4-4	24	FlyBase:FBrf0231327
FBbt:00048912	FBbt:00001376	NB5-2	6	FlyBase:FBrf0231327
FBbt:00048913	FBbt:00001390	NB5-3	5	FlyBase:FBrf0231327
FBbt:00048914	FBbt:00001416	NB5-4	22	FlyBase:FBrf0231327
FBbt:00048915	FBbt:00111737	NB5-7	20	FlyBase:FBrf0231327
FBbt:00048916	FBbt:00001398	NB6-1	12	FlyBase:FBrf0231327
FBbt:00048917	FBbt:00001391	NB6-2	19	FlyBase:FBrf0231327
FBbt:00048918	FBbt:00001380	NB7-1	3	FlyBase:FBrf0231327
FBbt:00048919	FBbt:00001392	NB7-2	11	FlyBase:FBrf0231327
FBbt:00048920	FBbt:00001381	NB7-4	23	FlyBase:FBrf0231327
