,A09a a1l Basin-2,A09a a1r Basin-2,A09b a1l Basin-1,A09b a1r Basin-1,A09c a1l Basin-4,A09c a1r Basin-4,A09g a1l Basin-3,A09g a1r Basin-3,Drunken-1 a1l,Drunken-1 a1r,Griddle-1 a1l,Griddle-1 a1r,Griddle-1 t3l,Griddle-1 t3r,Griddle-2 a1l,Griddle-2 a1r,Griddle-2 t3l,Griddle-2 t3r,Handle-A a1,Handle-B a1,Ladder-a a1,Ladder-a t3,Ladder-b a1,Ladder-c a1,Ladder-d a1,Ladder-e a1,Ladder-f a1,Ladder-f a2,lch5-1 a1l,lch5-1 a1r,lch5-2/4 a1l,lch5-2/4 a1l,lch5-2/4 a1r,lch5-2/4 a1r,lch5-3 a1l,lch5-3 a1r,lch5-5 a1l,lch5-5 a1r,v'ch a1l,v'ch a1r,vchA/B a1l,vchA/B a1l,vchA/B a1r,vchA/B a1r
 Ladder-e a1,0,4,3,1,1,0,2,2,0,0,9,9,6,0,2,2,1,4,9,9,0,5,0,0,10,0,2,6,3,2,0,0,0,1,4,6,0,0,0,0,1,0,3,0
 Ladder-f a1,0,0,0,0,0,0,0,0,0,0,3,4,6,4,0,0,0,0,2,1,0,8,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Ladder-f a2,0,0,0,1,0,0,0,0,0,0,8,7,4,1,0,0,0,0,0,0,0,4,1,1,6,5,0,0,0,0,2,3,4,2,0,0,1,0,0,0,0,0,0,0
 lch5-1 a1l,3,0,4,0,3,0,4,0,17,0,1,0,0,0,5,0,0,0,2,8,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 lch5-1 a1r,0,1,0,9,0,4,0,13,0,11,0,0,0,0,2,0,0,0,0,7,1,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 lch5-2/4 a1l,0,0,3,0,0,0,0,0,0,0,8,3,0,3,11,0,1,0,1,1,0,0,14,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 lch5-2/4 a1l,0,0,4,0,0,0,0,0,0,0,10,3,0,1,14,0,0,0,2,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 lch5-2/4 a1r,0,1,0,5,0,0,0,0,0,0,1,8,6,3,0,2,0,1,0,0,0,0,10,1,5,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 lch5-2/4 a1r,0,0,0,9,0,0,0,0,0,0,0,10,8,0,0,5,0,0,0,0,0,0,15,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 lch5-3 a1l,2,0,1,0,0,0,3,0,1,0,0,0,0,0,7,0,0,0,0,1,12,4,0,11,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 lch5-3 a1r,0,0,0,5,0,0,0,0,0,2,0,1,0,0,1,6,0,0,1,0,15,1,0,6,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 lch5-5 a1l,0,0,0,0,0,0,0,0,0,0,24,2,1,3,9,1,1,1,1,1,0,18,1,4,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 lch5-5 a1r,0,1,0,0,0,0,0,0,0,0,1,18,0,3,0,12,0,0,1,1,0,12,1,8,4,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 v'ch a1l,2,0,11,0,0,0,0,0,6,0,1,0,0,0,17,4,0,0,0,7,3,6,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 v'ch a1r,0,13,0,11,0,0,0,3,0,9,0,0,0,0,5,6,0,0,2,13,4,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 vchA/B a1l,0,0,5,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 vchA/B a1l,1,0,1,0,9,0,11,0,13,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 vchA/B a1r,0,0,0,4,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 vchA/B a1r,0,0,0,6,0,3,0,11,0,8,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
