, A09a a1l Basin-2, A09a a1r Basin-2, A09b a1l Basin-1, A09b a1r Basin-1, A09c a1l Basin-4, A09c a1r Basin-4, A09g a1l Basin-3, A09g a1r Basin-3, Drunken-1 a1l, Drunken-1 a1r, Griddle-1 a1l, Griddle-1 a1r, Griddle-1 t3l, Griddle-1 t3r, Griddle-2 a1l, Griddle-2 a1r, Griddle-2 t3l, Griddle-2 t3r, Handle-A a1, Handle-B a1, Ladder-a a1, Ladder-a t3, Ladder-b a1, Ladder-c a1, Ladder-d a1, Ladder-e a1, Ladder-f a1, Ladder-f a2, lch5-1 a1l, lch5-1 a1r, lch5-2/4 a1l, lch5-2/4 a1l, lch5-2/4 a1r, lch5-2/4 a1r, lch5-3 a1l, lch5-3 a1r, lch5-5 a1l, lch5-5 a1r, v'ch a1l, v'ch a1r, vchA/B a1l, vchA/B a1l, vchA/B a1r, vchA/B a1r
Handle-B a1, 1, 2, 3, 0, 2, 2, 0, 0, 4, 5, 3, 5, 0, 4, 1, 0, 1, 0, 1, 0, 1, 2, 1, 1, 0, 9, 1, 0, 8, 7, 1, 0, 0, 0, 1, 0, 1, 1, 7, 13, 1, 1, 0, 0
Ladder-a a1, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 2, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 12, 15, 0, 0, 3, 4, 0, 0, 0, 1
Ladder-a t3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 5, 11, 9, 0, 3, 4, 1, 0, 10, 10, 0, 8, 0, 0, 5, 8, 4, 0, 0, 0, 0, 0, 0, 4, 1, 18, 12, 6, 0, 17, 2, 10, 1
Ladder-b a1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 14, 11, 10, 15, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
Ladder-c a1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 1, 0, 3, 2, 0, 0, 1, 2, 1, 0, 4, 0, 0, 1, 7, 8, 0, 0, 1, 0, 11, 6, 4, 8, 9, 7, 0, 0, 0, 0
Ladder-d a1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 3, 5, 4, 0, 0, 0, 0, 0, 0, 2, 15, 0, 5, 0, 10, 10, 6, 0, 0, 3, 0, 5, 1, 17, 15, 1, 4, 0, 0, 1, 0, 0, 0
Ladder-e a1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 8, 4, 1, 1, 4, 1, 0, 0, 13, 22, 4, 2, 26, 1, 1, 0, 4, 5, 0, 4, 0, 0, 0, 1, 10, 15, 10, 22, 3, 3, 33, 15, 27, 17
Ladder-f a1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 4, 5, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 2, 2, 0, 0, 0, 0, 1, 1, 6, 2, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0
Ladder-f a2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 3, 6, 0, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
lch5-1 a1l, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
