banc_region	source	region_type	segment_id	FBbt_id	FBbt_name	notes
SCL_R	ITO	midbrain	155	FBbt:00040048	superior clamp	
SIP_L	ITO	midbrain	156	FBbt:00045032	superior intermediate protocerebrum	
SIP_R	ITO	midbrain	157	FBbt:00045032	superior intermediate protocerebrum	
SLP_L	ITO	midbrain	158	FBbt:00007054	superior lateral protocerebrum	
SLP_R	ITO	midbrain	159	FBbt:00007054	superior lateral protocerebrum	
SMP_L	ITO	midbrain	160	FBbt:00007055	superior medial protocerebrum	
SMP_R	ITO	midbrain	161	FBbt:00007055	superior medial protocerebrum	
SPS_L	ITO	midbrain	162	FBbt:00045040	superior posterior slope	
SPS_R	ITO	midbrain	163	FBbt:00045040	superior posterior slope	
VES_L	ITO	midbrain	164	FBbt:00040041	vest	
VES_R	ITO	midbrain	165	FBbt:00040041	vest	
WED_L	ITO	midbrain	166	FBbt:00045027	wedge	
WED_R	ITO	midbrain	167	FBbt:00045027	wedge	
AME_L	ITO	optic	168	FBbt:00045003	accessory medulla	
AME_R	ITO	optic	169	FBbt:00045003	accessory medulla	
LOP_L	ITO	optic	172	FBbt:00003885	lobula plate	
LOP_R	ITO	optic	173	FBbt:00003885	lobula plate	
LO_L	ITO	optic	170	FBbt:00003852	lobula	
LO_R	ITO	optic	171	FBbt:00003852	lobula	
ME_L	ITO	optic	174	FBbt:00003748	medulla	
ME_R	ITO	optic	175	FBbt:00003748	medulla	
ADMN(L)	MANC	nerve	410	FBbt:00004060	adult anterior dorsal mesothoracic nerve	
ADMN(R)	MANC	nerve	411	FBbt:00004060	adult anterior dorsal mesothoracic nerve	
AbN1(L)	MANC	nerve	401	FBbt:00004105	adult first abdominal nerve	
AbN1(R)	MANC	nerve	402	FBbt:00004105	adult first abdominal nerve	
AbN2(L)	MANC	nerve	403	FBbt:00004106	adult second abdominal nerve	
AbN2(R)	MANC	nerve	404	FBbt:00004106	adult second abdominal nerve	
AbN3(L)	MANC	nerve	405	FBbt:00004107	adult third abdominal nerve	
AbN3(R)	MANC	nerve	406	FBbt:00004107	adult third abdominal nerve	
AbN4(L)	MANC	nerve	407	FBbt:00004108	adult fourth abdominal nerve	
AbN4(R)	MANC	nerve	408	FBbt:00004108	adult fourth abdominal nerve	
AbNT	MANC	nerve	409	FBbt:00004099	adult abdominal nerve trunk	
CvN(L)	MANC	nerve	412	FBbt:00004053	adult cervical nerve	
CvN(R)	MANC	nerve	413	FBbt:00004053	adult cervical nerve	
DMetaN(L)	MANC	nerve	414	FBbt:00004094	adult dorsal metathoracic nerve	
DMetaN(R)	MANC	nerve	415	FBbt:00004094	adult dorsal metathoracic nerve	
DProN(L)	MANC	nerve	416	FBbt:00004055	adult dorsal prothoracic nerve	
DProN(R)	MANC	nerve	417	FBbt:00004055	adult dorsal prothoracic nerve	
MesoAN(L)	MANC	nerve	418	FBbt:00004062	adult mesothoracic accessory nerve	
MesoAN(R)	MANC	nerve	419	FBbt:00004062	adult mesothoracic accessory nerve	
MesoLN(L)	MANC	nerve	420	FBbt:00004063	adult mesothoracic leg nerve	
MesoLN(R)	MANC	nerve	421	FBbt:00004063	adult mesothoracic leg nerve	
MetaLN(L)	MANC	nerve	422	FBbt:00004096	adult metathoracic leg nerve	
MetaLN(R)	MANC	nerve	423	FBbt:00004096	adult metathoracic leg nerve	
PDMN(L)	MANC	nerve	424	FBbt:00004061	adult posterior dorsal mesothoracic nerve	
PDMN(R)	MANC	nerve	425	FBbt:00004061	adult posterior dorsal mesothoracic nerve	
PrN(L)	MANC	nerve	426	FBbt:00007654	adult prosternal nerve	
PrN(R)	MANC	nerve	427	FBbt:00007654	adult prosternal nerve	
ProAN(L)	MANC	nerve	428	FBbt:00004056	adult prothoracic accessory nerve	
ProAN(R)	MANC	nerve	429	FBbt:00004056	adult prothoracic accessory nerve	
ProCN(L)	MANC	nerve	430	FBbt:00049893	adult prothoracic chordotonal nerve	
ProCN(R)	MANC	nerve	431	FBbt:00049893	adult prothoracic chordotonal nerve	
ProLN(L)	MANC	nerve	432	FBbt:00007657	adult prothoracic leg nerve	
ProLN(R)	MANC	nerve	433	FBbt:00007657	adult prothoracic leg nerve	
VProN(L)	MANC	nerve	434	FBbt:00004057	adult ventral prothoracic nerve	
VProN(R)	MANC	nerve	435	FBbt:00004057	adult ventral prothoracic nerve	
CVL_L	MANC	tract	255	FBbt:00053285	adult curved ventrolateral tract	
CVL_R	MANC	tract	256	FBbt:00053285	adult curved ventrolateral tract	
DLT_L	MANC	tract	257	FBbt:00047540	dorsal lateral tract	
DLT_R	MANC	tract	258	FBbt:00047540	dorsal lateral tract	
DLV_L	MANC	tract	259	FBbt:00047541	dorsal lateral tract of ventral cervical fasciculus	
DLV_R	MANC	tract	260	FBbt:00047541	dorsal lateral tract of ventral cervical fasciculus	
DMT_L	MANC	tract	261	FBbt:00047539	dorsal median tract	
DMT_R	MANC	tract	262	FBbt:00047539	dorsal median tract	
ITD_L	MANC	tract	263	FBbt:00047534	intermediate tract of dorsal cervical fasciculus	
ITD_R	MANC	tract	264	FBbt:00047534	intermediate tract of dorsal cervical fasciculus	
MDA_L	MANC	tract	265	FBbt:00047544	median dorsal abdominal tract	
MDA_R	MANC	tract	266	FBbt:00047544	median dorsal abdominal tract	
VLT_L	MANC	tract	273	FBbt:00047543	ventral lateral tract of ventral cervical fasciculus	
VLT_R	MANC	tract	274	FBbt:00047543	ventral lateral tract of ventral cervical fasciculus	
VTV_L	MANC	tract	275	FBbt:00047542	ventral median tract of ventral cervical fasciculus	
VTV_R	MANC	tract	276	FBbt:00047542	ventral median tract of ventral cervical fasciculus	
type-III_MTD_L	MANC	tract	271	FBbt:00047548	type III median tract of dorsal cervical fasciculus	
type-III_MTD_R	MANC	tract	272	FBbt:00047548	type III median tract of dorsal cervical fasciculus	
type-II_MTD_L	MANC	tract	269	FBbt:00047547	type II median tract of dorsal cervical fasciculus	
type-II_MTD_R	MANC	tract	270	FBbt:00047547	type II median tract of dorsal cervical fasciculus	
type-I_MTD_L	MANC	tract	267	FBbt:00047546	type I median tract of dorsal cervical fasciculus	
type-I_MTD_R	MANC	tract	268	FBbt:00047546	type I median tract of dorsal cervical fasciculus	
AMNp_L	MANC	vnc	212	FBbt:00004091	adult accessory mesothoracic neuropil	
AMNp_R	MANC	vnc	213	FBbt:00004091	adult accessory mesothoracic neuropil	
ANm	MANC	vnc	214	FBbt:00110173	adult abdominal neuromere	
HTct_UTct_T3_L	MANC	vnc	216	FBbt:00047138	haltere neuropil	
HTct_UTct_T3_R	MANC	vnc	217	FBbt:00047138	haltere neuropil	
IntTct	MANC	vnc	218	FBbt:00047519	intermediate tectulum	
LNp_T1_L	MANC	vnc	219	FBbt:00047140	adult T1 leg neuropil	
LNp_T1_R	MANC	vnc	220	FBbt:00047140	adult T1 leg neuropil	
LNp_T2_L	MANC	vnc	221	FBbt:00047141	adult T2 leg neuropil	
LNp_T2_R	MANC	vnc	222	FBbt:00047141	adult T2 leg neuropil	
LNp_T3_L	MANC	vnc	223	FBbt:00047142	adult T3 leg neuropil	
LNp_T3_R	MANC	vnc	224	FBbt:00047142	adult T3 leg neuropil	
LTct	MANC	vnc	225	FBbt:00047174	lower tectulum	
NTct_UTct_T1_L	MANC	vnc	232	FBbt:00047173	neck neuropil	
NTct_UTct_T1_R	MANC	vnc	233	FBbt:00047173	neck neuropil	
WTct_UTct_T2_L	MANC	vnc	234	FBbt:00047137	wing neuropil	
WTct_UTct_T2_R	MANC	vnc	235	FBbt:00047137	wing neuropil	
Xnerve_L	MANC	vnc	236	FBbt:00004098	adult X nerve	
Xnerve_R	MANC	vnc	237	FBbt:00004098	adult X nerve	
cervical_connective	MANC	vnc	215	FBbt:00004019	adult cervical connective	
mVAC_T1_L	MANC	vnc	226	FBbt:00047176	medial ventral association center	
mVAC_T1_R	MANC	vnc	227	FBbt:00047176	medial ventral association center	
mVAC_T2_L	MANC	vnc	228	FBbt:00047176	medial ventral association center	
mVAC_T2_R	MANC	vnc	229	FBbt:00047176	medial ventral association center	
mVAC_T3_L	MANC	vnc	230	FBbt:00047176	medial ventral association center	
mVAC_T3_R	MANC	vnc	231	FBbt:00047176	medial ventral association center	
DA1_L	SCHLEGEL	glomerulus	503	FBbt:00003932	antennal lobe glomerulus DA1	
DA1_R	SCHLEGEL	glomerulus	504	FBbt:00003932	antennal lobe glomerulus DA1	
DA2_L	SCHLEGEL	glomerulus	505	FBbt:00003933	antennal lobe glomerulus DA2	
DA2_R	SCHLEGEL	glomerulus	506	FBbt:00003933	antennal lobe glomerulus DA2	
DA3_L	SCHLEGEL	glomerulus	507	FBbt:00003934	antennal lobe glomerulus DA3	
DA3_R	SCHLEGEL	glomerulus	508	FBbt:00003934	antennal lobe glomerulus DA3	
DA4l_L	SCHLEGEL	glomerulus	509	FBbt:00007360	antennal lobe glomerulus DA4l	
DA4l_R	SCHLEGEL	glomerulus	510	FBbt:00007360	antennal lobe glomerulus DA4l	
DA4m_L	SCHLEGEL	glomerulus	511	FBbt:00007361	antennal lobe glomerulus DA4m	
DA4m_R	SCHLEGEL	glomerulus	512	FBbt:00007361	antennal lobe glomerulus DA4m	
DC1_L	SCHLEGEL	glomerulus	513	FBbt:00003961	antennal lobe glomerulus DC1	
DC1_R	SCHLEGEL	glomerulus	514	FBbt:00003961	antennal lobe glomerulus DC1	
DC2_L	SCHLEGEL	glomerulus	515	FBbt:00003962	antennal lobe glomerulus DC2	
DC2_R	SCHLEGEL	glomerulus	516	FBbt:00003962	antennal lobe glomerulus DC2	
DC3_L	SCHLEGEL	glomerulus	517	FBbt:00003963	antennal lobe glomerulus DC3	
DC3_R	SCHLEGEL	glomerulus	518	FBbt:00003963	antennal lobe glomerulus DC3	
DC4_L	SCHLEGEL	glomerulus	519	FBbt:00100531	antennal lobe glomerulus DC4	
DC4_R	SCHLEGEL	glomerulus	520	FBbt:00100531	antennal lobe glomerulus DC4	
DL1_L	SCHLEGEL	glomerulus	521	FBbt:00003968	antennal lobe glomerulus DL1	
DL1_R	SCHLEGEL	glomerulus	522	FBbt:00003968	antennal lobe glomerulus DL1	
DL2d_L	SCHLEGEL	glomerulus	523	FBbt:00100377	antennal lobe glomerulus DL2d	
DL2d_R	SCHLEGEL	glomerulus	524	FBbt:00100377	antennal lobe glomerulus DL2d	
DL2v_L	SCHLEGEL	glomerulus	525	FBbt:00100376	antennal lobe glomerulus DL2v	
