short_name	FBbt_id	nice_label
lab	FBbt:00004531	labellum
SEZ	FBbt:00049781	subesophageal zone
aSEZ	FBbt:00049781	anterior subesophageal zone
pSEZ	FBbt:00049781	posterior subesophageal zone
lSEZ	FBbt:00049781	lateral subesophageal zone
lGG	FBbt:00051024	lateral gnathal ganglion
vGG	FBbt:00051025	ventral gnathal ganglion
GG	FBbt:00100210	gnathal ganglion
aGG	FBbt:00100210	anterior gnathal ganglion
pGG	FBbt:00100210	posterior gnathal ganglion
