short_name	FBbt_id	nice_label
d_c	FBbt:00047511	descending neuron
d_i	FBbt:00047511	descending neuron
e	FBbt:00005106	neuron
i	FBbt:00005125	interneuron
l	FBbt:00051493	local neuron
p	FBbt:00007392	projection neuron
s	FBbt:00058244	sensory neuron
