Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	larval lateral multidendritic neuron ldaD	definition	Multidendritic neuron located in the lateral complex of the second and third thoracic segments of the larva.
ERROR	duplicate_definition	ventral organ sensillum V2	definition	Mono-dendritic sensillum of the ventral organ.
ERROR	duplicate_definition	ventral organ sensillum V4	definition	Mono-dendritic sensillum of the ventral organ.
ERROR	duplicate_definition	ventral organ sensillum V5	definition	Mono-dendritic sensillum of the ventral organ.
ERROR	duplicate_definition	medullary tangential neuron Mt6	definition	Medullary tangential neuron that arborizes in the medulla.
ERROR	duplicate_definition	medullary tangential neuron Mt8	definition	Medullary tangential neuron that arborizes in the medulla.
ERROR	duplicate_definition	adult medial posterior superior transverse fascicle	definition	Medial component of the posterior superior transverse fascicle in the larval brain. It is formed by DPLc lineages and demarcates the boundary between the superior lateral and superior medial protocerebrum (Pereanu et al, 2010).
ERROR	duplicate_definition	larval medial posterior superior transverse fascicle	definition	Medial component of the posterior superior transverse fascicle in the larval brain. It is formed by DPLc lineages and demarcates the boundary between the superior lateral and superior medial protocerebrum (Pereanu et al, 2010).
ERROR	duplicate_definition	embryonic/larval posterior Malpighian tubule	definition	Malpighian tubule lying in a posterior orientation (Wessing and Eichelberg, 1978).
ERROR	duplicate_definition	adult posterior Malpighian tubule	definition	Malpighian tubule lying in a posterior orientation (Wessing and Eichelberg, 1978).
ERROR	duplicate_definition	mesothoracic tarsal bristle longitudinal row 8	definition	Longitudinal bracted bristle row of the adult tarsi of the mesothoracic leg. It is posterior to row 1, in a ventral position.
ERROR	duplicate_definition	metathoracic tarsal bristle longitudinal row 8	definition	Longitudinal bracted bristle row of the adult tarsi of the mesothoracic leg. It is posterior to row 1, in a ventral position.
ERROR	duplicate_definition	lobula tangential neuron Lt2	definition	Lobula tangential neuron that arborizes in the lobula.
ERROR	duplicate_definition	lobula tangential neuron Lt8	definition	Lobula tangential neuron that arborizes in the lobula.
ERROR	duplicate_definition	abdominal lateral sensillum trichodeum lh1	definition	Lateral mono-innervated hair of larval abdominal segments 1-7.
ERROR	duplicate_definition	abdominal lateral sensillum trichodeum lh2	definition	Lateral mono-innervated hair of larval abdominal segments 1-7.
ERROR	duplicate_definition	larval A01b2 neuron	definition	Larval neuron that is late-born in the NB1-2 Notch ON primary hemilineage and has predominantly dorsal terminals (Mark et al., 2019).
ERROR	duplicate_definition	larval A01a neuron	definition	Larval neuron that is late-born in the NB1-2 Notch ON primary hemilineage and has predominantly dorsal terminals (Mark et al., 2019).
ERROR	duplicate_definition	larval Saaghi 4 neuron	definition	Larval neuron that is early-born in the NB5-2 Notch ON primary hemilineage and has predominantly dorsal terminals (Mark et al., 2019).
ERROR	duplicate_definition	larval Saaghi 5 neuron	definition	Larval neuron that is early-born in the NB5-2 Notch ON primary hemilineage and has predominantly dorsal terminals (Mark et al., 2019).
ERROR	duplicate_definition	larval Saaghi 6 neuron	definition	Larval neuron that is early-born in the NB5-2 Notch ON primary hemilineage and has predominantly dorsal terminals (Mark et al., 2019).
ERROR	duplicate_definition	larval A08j2 neuron	definition	Larval neuron that is early-born in the NB3-3 primary lineage (Mark et al., 2019).
ERROR	duplicate_definition	larval VLEL4 neuron	definition	Larval neuron that is early-born in the NB3-3 primary lineage (Mark et al., 2019).
ERROR	duplicate_definition	larval VLEL9 neuron	definition	Larval neuron that is early-born in the NB3-3 primary lineage (Mark et al., 2019).
ERROR	duplicate_definition	larval mushroom body output neuron h1	definition	Larval neuron that has presynapses in the ipsilateral and contralateral centroposterior medial compartment (posterior inferior protocerebrum) and postsynapses in the lateral region (M2/shaft) of the mushroom body medial lobe (Saumweber et al., 2018). It outputs onto FAN-8 (Eschbach et al., 2019).
ERROR	duplicate_definition	larval mushroom body output neuron h2	definition	Larval neuron that has presynapses in the ipsilateral and contralateral centroposterior medial compartment (posterior inferior protocerebrum) and postsynapses in the lateral region (M2/shaft) of the mushroom body medial lobe (Saumweber et al., 2018). It outputs onto FAN-8 (Eschbach et al., 2019).
ERROR	duplicate_definition	larval mushroom body two-step feedback neuron 13	definition	Larval mushroom body two-step feedback neuron that receives synaptic input from FBN-2 (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body two-step feedback neuron 14	definition	Larval mushroom body two-step feedback neuron that receives synaptic input from FBN-2 (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body two-step feedback neuron 4	definition	Larval mushroom body two-step feedback neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body two-step feedback neuron 6	definition	Larval mushroom body two-step feedback neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body one-step feedback neuron 24	definition	Larval mushroom body one-step feedback neuron that receives synaptic input from FBNs, MBON-p1 and FBN-2 and outputs onto MBIN-l1 and FBN-25 (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body one-step feedback neuron 27	definition	Larval mushroom body one-step feedback neuron that receives synaptic input from FBNs, MBON-p1 and FBN-2 and outputs onto MBIN-l1 and FBN-25 (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body one-step feedback neuron 19	definition	Larval mushroom body one-step feedback neuron that receives synaptic input from FBNs, FB2Ns and MBON-m1 (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body one-step feedback neuron 21	definition	Larval mushroom body one-step feedback neuron that receives synaptic input from FBNs, FB2Ns and MBON-m1 (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 2	definition	Larval mushroom body feedforward neuron that outputs onto DAN-c1 (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 15	definition	Larval mushroom body feedforward neuron that outputs onto DAN-c1 (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 1	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 3	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 4	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 5	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 6	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 7	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 8	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 9	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 10	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 11	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 12	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 14	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 16	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 17	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 18	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 19	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 20	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 21	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 22	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 23	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 24	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 25	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 26	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 27	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 28	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 29	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 30	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 32	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 33	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 36	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 37	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 38	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 39	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 40	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval mushroom body feedforward neuron 41	definition	Larval mushroom body feedforward neuron (Eschbach et al., 2019). There is one bilateral pair of these cells.
ERROR	duplicate_definition	larval Ladder-b neuron	definition	Larval Ladder neuron subtype.
ERROR	duplicate_definition	larval Ladder-c neuron	definition	Larval Ladder neuron subtype.
ERROR	duplicate_definition	larval Ladder-f neuron	definition	Larval Ladder neuron subtype.
ERROR	duplicate_definition	gustatory receptor neuron A1 of the dorsal organ group	definition	Larval gustatory receptor neuron of the dorsal organ group. This neuron has a cell body in the dorsal organ ganglion and innervates the dorsal organ. There is one of these cells per hemisphere and it expresses Gr2a and Gr28a (Kwon et al., 2011).
ERROR	duplicate_definition	gustatory receptor neuron A2 of the dorsal organ group	definition	Larval gustatory receptor neuron of the dorsal organ group. This neuron has a cell body in the dorsal organ ganglion and innervates the dorsal organ. There is one of these cells per hemisphere and it expresses Gr2a and Gr28a (Kwon et al., 2011).
ERROR	duplicate_definition	nodulus 2 dorsal domain	definition	Large dorsal domain of nodulus 2 in the adult brain, which overlies the ventral domain.
ERROR	duplicate_definition	nodulus 2 ventral domain	definition	Large dorsal domain of nodulus 2 in the adult brain, which overlies the ventral domain.
ERROR	duplicate_definition	PB slice 1-EB posterior-IDFP DSB neuron	definition	Interneuron that connects the protocerebral bridge slice 1, both slices 8 of the posterior ring of the ellipsoid body and the contralateral dorsal gall (dorsal spindle body).
ERROR	duplicate_definition	PB slice 8-EB posterior-IDFP DSB neuron	definition	Interneuron that connects the protocerebral bridge slice 1, both slices 8 of the posterior ring of the ellipsoid body and the contralateral dorsal gall (dorsal spindle body).
ERROR	duplicate_definition	intermediate superior transverse fascicle	definition	Intermediate of three transverse (medial-lateral) fascicles found between the superior and inferior protocerebrum (Pereanu et al, 2010). It is formed by BLAd, BLD and BLV lineages (Pereanu et al, 2010).
