?cls	?xref
<http://purl.obolibrary.org/obo/FBbt_20009955>	"VFB:FBbt_20009955"
<http://purl.obolibrary.org/obo/FBbt_20007937>	"VFB:FBbt_20007937"
<http://purl.obolibrary.org/obo/FBbt_20010906>	"VFB:FBbt_20010906"
<http://purl.obolibrary.org/obo/FBbt_20008160>	"VFB:FBbt_20008160"
<http://purl.obolibrary.org/obo/FBbt_20011236>	"VFB:FBbt_20011236"
<http://purl.obolibrary.org/obo/FBbt_20010459>	"VFB:FBbt_20010459"
<http://purl.obolibrary.org/obo/FBbt_20008655>	"VFB:FBbt_20008655"
<http://purl.obolibrary.org/obo/FBbt_20008270>	"VFB:FBbt_20008270"
<http://purl.obolibrary.org/obo/FBbt_20008926>	"VFB:FBbt_20008926"
<http://purl.obolibrary.org/obo/FBbt_20008013>	"VFB:FBbt_20008013"
<http://purl.obolibrary.org/obo/FBbt_20010939>	"VFB:FBbt_20010939"
<http://purl.obolibrary.org/obo/FBbt_20010766>	"VFB:FBbt_20010766"
<http://purl.obolibrary.org/obo/FBbt_20009601>	"VFB:FBbt_20009601"
<http://purl.obolibrary.org/obo/FBbt_20011318>	"VFB:FBbt_20011318"
<http://purl.obolibrary.org/obo/FBbt_20008725>	"VFB:FBbt_20008725"
<http://purl.obolibrary.org/obo/FBbt_20010090>	"VFB:FBbt_20010090"
<http://purl.obolibrary.org/obo/FBbt_20008821>	"VFB:FBbt_20008821"
<http://purl.obolibrary.org/obo/FBbt_20010538>	"VFB:FBbt_20010538"
<http://purl.obolibrary.org/obo/FBbt_20011272>	"VFB:FBbt_20011272"
<http://purl.obolibrary.org/obo/FBbt_20008870>	"VFB:FBbt_20008870"
<http://purl.obolibrary.org/obo/FBbt_20010302>	"VFB:FBbt_20010302"
<http://purl.obolibrary.org/obo/FBbt_20008105>	"VFB:FBbt_20008105"
<http://purl.obolibrary.org/obo/FBbt_20009703>	"VFB:FBbt_20009703"
<http://purl.obolibrary.org/obo/FBbt_20010151>	"VFB:FBbt_20010151"
<http://purl.obolibrary.org/obo/FBbt_20009397>	"VFB:FBbt_20009397"
<http://purl.obolibrary.org/obo/FBbt_20008613>	"VFB:FBbt_20008613"
<http://purl.obolibrary.org/obo/FBbt_20010634>	"VFB:FBbt_20010634"
<http://purl.obolibrary.org/obo/FBbt_20009468>	"VFB:FBbt_20009468"
<http://purl.obolibrary.org/obo/FBbt_20008931>	"VFB:FBbt_20008931"
<http://purl.obolibrary.org/obo/FBbt_20009891>	"VFB:FBbt_20009891"
<http://purl.obolibrary.org/obo/FBbt_20010648>	"VFB:FBbt_20010648"
<http://purl.obolibrary.org/obo/FBbt_20009609>	"VFB:FBbt_20009609"
<http://purl.obolibrary.org/obo/FBbt_20010412>	"VFB:FBbt_20010412"
<http://purl.obolibrary.org/obo/FBbt_20008381>	"VFB:FBbt_20008381"
<http://purl.obolibrary.org/obo/FBbt_20008829>	"VFB:FBbt_20008829"
<http://purl.obolibrary.org/obo/FBbt_20010169>	"VFB:FBbt_20010169"
<http://purl.obolibrary.org/obo/FBbt_20011140>	"VFB:FBbt_20011140"
<http://purl.obolibrary.org/obo/FBbt_20007757>	"VFB:FBbt_20007757"
<http://purl.obolibrary.org/obo/FBbt_20007961>	"VFB:FBbt_20007961"
<http://purl.obolibrary.org/obo/FBbt_20009563>	"VFB:FBbt_20009563"
<http://purl.obolibrary.org/obo/FBbt_20008491>	"VFB:FBbt_20008491"
<http://purl.obolibrary.org/obo/FBbt_20008939>	"VFB:FBbt_20008939"
<http://purl.obolibrary.org/obo/FBbt_20009043>	"VFB:FBbt_20009043"
<http://purl.obolibrary.org/obo/FBbt_20010279>	"VFB:FBbt_20010279"
<http://purl.obolibrary.org/obo/FBbt_20009311>	"VFB:FBbt_20009311"
<http://purl.obolibrary.org/obo/FBbt_20011028>	"VFB:FBbt_20011028"
<http://purl.obolibrary.org/obo/FBbt_20008773>	"VFB:FBbt_20008773"
<http://purl.obolibrary.org/obo/FBbt_20008263>	"VFB:FBbt_20008263"
<http://purl.obolibrary.org/obo/FBbt_20008090>	"VFB:FBbt_20008090"
<http://purl.obolibrary.org/obo/FBbt_20007698>	"VFB:FBbt_20007698"
<http://purl.obolibrary.org/obo/FBbt_20010759>	"VFB:FBbt_20010759"
<http://purl.obolibrary.org/obo/FBbt_20010586>	"VFB:FBbt_20010586"
<http://purl.obolibrary.org/obo/FBbt_20011163>	"VFB:FBbt_20011163"
<http://purl.obolibrary.org/obo/FBbt_20009421>	"VFB:FBbt_20009421"
<http://purl.obolibrary.org/obo/FBbt_20011138>	"VFB:FBbt_20011138"
<http://purl.obolibrary.org/obo/FBbt_20008883>	"VFB:FBbt_20008883"
<http://purl.obolibrary.org/obo/FBbt_20008570>	"VFB:FBbt_20008570"
<http://purl.obolibrary.org/obo/FBbt_20007715>	"VFB:FBbt_20007715"
<http://purl.obolibrary.org/obo/FBbt_20007984>	"VFB:FBbt_20007984"
<http://purl.obolibrary.org/obo/FBbt_20011043>	"VFB:FBbt_20011043"
<http://purl.obolibrary.org/obo/FBbt_20010869>	"VFB:FBbt_20010869"
<http://purl.obolibrary.org/obo/FBbt_20007864>	"VFB:FBbt_20007864"
<http://purl.obolibrary.org/obo/FBbt_20010122>	"VFB:FBbt_20010122"
<http://purl.obolibrary.org/obo/FBbt_20011092>	"VFB:FBbt_20011092"
<http://purl.obolibrary.org/obo/FBbt_20008680>	"VFB:FBbt_20008680"
<http://purl.obolibrary.org/obo/FBbt_20010925>	"VFB:FBbt_20010925"
<http://purl.obolibrary.org/obo/FBbt_20008221>	"VFB:FBbt_20008221"
<http://purl.obolibrary.org/obo/FBbt_20011304>	"VFB:FBbt_20011304"
<http://purl.obolibrary.org/obo/FBbt_20009429>	"VFB:FBbt_20009429"
<http://purl.obolibrary.org/obo/FBbt_20009454>	"VFB:FBbt_20009454"
<http://purl.obolibrary.org/obo/FBbt_20010405>	"VFB:FBbt_20010405"
<http://purl.obolibrary.org/obo/FBbt_20010232>	"VFB:FBbt_20010232"
<http://purl.obolibrary.org/obo/FBbt_20010571>	"VFB:FBbt_20010571"
<http://purl.obolibrary.org/obo/FBbt_20009383>	"VFB:FBbt_20009383"
<http://purl.obolibrary.org/obo/FBbt_20011001>	"VFB:FBbt_20011001"
<http://purl.obolibrary.org/obo/FBbt_20008484>	"VFB:FBbt_20008484"
<http://purl.obolibrary.org/obo/FBbt_20008029>	"VFB:FBbt_20008029"
<http://purl.obolibrary.org/obo/FBbt_20007922>	"VFB:FBbt_20007922"
<http://purl.obolibrary.org/obo/FBbt_20009126>	"VFB:FBbt_20009126"
<http://purl.obolibrary.org/obo/FBbt_20009546>	"VFB:FBbt_20009546"
<http://purl.obolibrary.org/obo/FBbt_20007822>	"VFB:FBbt_20007822"
<http://purl.obolibrary.org/obo/FBbt_20010681>	"VFB:FBbt_20010681"
<http://purl.obolibrary.org/obo/FBbt_20009817>	"VFB:FBbt_20009817"
<http://purl.obolibrary.org/obo/FBbt_20010265>	"VFB:FBbt_20010265"
<http://purl.obolibrary.org/obo/FBbt_20009934>	"VFB:FBbt_20009934"
<http://purl.obolibrary.org/obo/FBbt_20010096>	"VFB:FBbt_20010096"
<http://purl.obolibrary.org/obo/FBbt_20009656>	"VFB:FBbt_20009656"
<http://purl.obolibrary.org/obo/FBbt_20008862>	"VFB:FBbt_20008862"
<http://purl.obolibrary.org/obo/FBbt_20010579>	"VFB:FBbt_20010579"
<http://purl.obolibrary.org/obo/FBbt_20008124>	"VFB:FBbt_20008124"
<http://purl.obolibrary.org/obo/FBbt_20011264>	"VFB:FBbt_20011264"
<http://purl.obolibrary.org/obo/FBbt_20008607>	"VFB:FBbt_20008607"
<http://purl.obolibrary.org/obo/FBbt_20008876>	"VFB:FBbt_20008876"
<http://purl.obolibrary.org/obo/FBbt_20009712>	"VFB:FBbt_20009712"
<http://purl.obolibrary.org/obo/FBbt_20010357>	"VFB:FBbt_20010357"
<http://purl.obolibrary.org/obo/FBbt_20010689>	"VFB:FBbt_20010689"
<http://purl.obolibrary.org/obo/FBbt_20008387>	"VFB:FBbt_20008387"
<http://purl.obolibrary.org/obo/FBbt_20009822>	"VFB:FBbt_20009822"
