?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/FBbt_20008284>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult DNxl049 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010642>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN21A025 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008552>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN01A009 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009872>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN13B014 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010795>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN23B071 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008340>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult DNxl119 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009058>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN05B005 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009219>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN06A127 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20007775>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult AN05B105 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009617>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN11A012 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008662>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN01B042 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008203>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult DNfl024 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008450>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult DNxn192 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010167>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN16B105 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008764>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN02A053 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010961>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult INXXX265 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20007692>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult AN01A055 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009997>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN14A043 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010704>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN21A087 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009490>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN09A039 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008000>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult AN13B002 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009538>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN09A087 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010718>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN21A101 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010545>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN20A.22A017 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010341>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN19A013 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008466>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult EN00B019 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010814>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN23B090 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010088>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN14B012 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009648>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN11B004 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009162>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN06A066 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010828>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult INXXX003 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010451>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN19A133 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009176>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN06A081 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010349>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN19A022 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010198>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN17A028 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009955>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN13B101 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20007937>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult AN09B024 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010906>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult INXXX183 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008160>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult ANXXX171 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20011236>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult SNch08 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010459>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN19A141 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008655>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN01B035 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008270>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult DNut049 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008926>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN03B077 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008013>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult AN17A013 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010939>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult INXXX237 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010766>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN23B042 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009601>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN10B055 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20011318>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult SNxx22 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008725>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN02A007 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010090>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN14B014 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008821>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN03A045 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010538>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN20A.22A009 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20011272>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult SNta21 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008870>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN03A095 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010302>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN18B027 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008105>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult ANXXX007 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009703>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN12A060 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010151>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN16B089 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009397>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN08A044 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008613>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN01A075 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010634>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN21A017 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009468>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN09A016 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008931>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN03B082 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009891>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN13B034 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010648>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN21A031 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009609>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN11A004 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010412>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN19A093 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008381>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult DNxn123 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008829>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN03A053 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010169>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN16B107 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20011140>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult MNad20 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20007757>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult AN05B068 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20007961>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult AN10B021 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009563>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN09B051 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008491>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN00A017 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008939>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN03B090 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009043>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN04B104 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010279>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN17B001 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009311>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN07B023 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20011028>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult INXXX353 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008773>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN02A062 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008263>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult DNut042 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008090>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult AN23B010 neuron"	
