type	class	hemilineage	systematicType	subclass	somaNeuromere	birthtime	celltypePredictedNt	count(n)	common_target	common_origin	common_entryNerve	common_exitNerve	common_longTract
AN00A002	{'ascending neuron'}	{'00A'}	{'AN00A002'}	{'BA'}	{'T1'}	{'primary'}	{'gaba'}	1	{'multi'}	{'multi'}	{None}	{'CvC'}	{'CVL'}
AN00A006	{'ascending neuron'}	{'00A'}	{'AN00A006'}	{'BA'}	{'T3', 'A1', 'A4', 'A2', 'A3'}	{'primary'}	{'glutamate'}	5	{'multi'}	{None}	{None}	{'CvC'}	{'MDA'}
AN00A009	{'ascending neuron'}	{'00A'}	{'AN00A009'}	{'BA'}	{'T1'}	{'primary'}	{'gaba'}	1	{'LegNpT1'}	{'LegNpT1'}	{None}	{'CvC'}	{'VTV'}
AN01A001	{'ascending neuron'}	{'01A'}	{'AN01A001'}	{'BA'}	{'A1'}	{'primary'}	{'acetylcholine'}	2	{None}	{'LegNpT3'}	{None}	{'CvC'}	{'DMT'}
AN01A006	{'ascending neuron'}	{'01A'}	{'AN01A006'}	{'CA'}	{'A2'}	{'primary'}	{'acetylcholine'}	2	{None}	{None}	{None}	{'CvC'}	{'CVL'}
AN01A014	{'ascending neuron'}	{'01A'}	{'AN01A014'}	{'BA'}	{'T1'}	{'primary'}	{'acetylcholine'}	2	{'LegNpT1'}	{'LegNpT1'}	{None}	{'CvC'}	{None}
AN01A021	{'ascending neuron'}	{'01A'}	{'AN01A021'}	{'BA'}	{'A2'}	{'primary'}	{'acetylcholine'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'CVL'}
AN01A033	{'ascending neuron'}	{'01A'}	{'AN01A033'}	{'BA'}	{'T1'}	{'primary'}	{'acetylcholine'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN01A049	{'ascending neuron'}	{'01A'}	{'AN01A049'}	{'IA'}	{'T1'}	{'primary'}	{'acetylcholine'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN01A055	{'ascending neuron'}	{'01A'}	{'AN01A055'}	{'XA'}	{'T1'}	{'primary'}	{'glutamate'}	4	{'brain'}	{'brain'}	{None}	{'CvC'}	{'VTV'}
AN01A086	{'ascending neuron'}	{'01A'}	{'AN01A086'}	{'XA'}	{'T1'}	{'primary'}	{'gaba'}	4	{'brain'}	{'brain'}	{None}	{'CvC'}	{'VTV'}
AN01B002	{'ascending neuron'}	{'01B'}	{'AN01B002'}	{'BA'}	{'A3', 'A2'}	{'primary'}	{'gaba'}	6	{None}	{None}	{None}	{'CvC'}	{'CVL'}
AN01B004	{'ascending neuron'}	{'01B'}	{'AN01B004'}	{'IA', 'BA'}	{'T2', 'T3', 'T1'}	{'primary'}	{'acetylcholine'}	6	{'LegNp'}	{'LegNp'}	{None}	{'CvC'}	{'CVL'}
AN01B005	{'ascending neuron'}	{'01B'}	{'AN01B005'}	{'BA'}	{'T2', 'T1', 'T3'}	{'secondary'}	{'gaba'}	6	{'multi'}	{'LegNp'}	{None}	{'CvC'}	{'DLV'}
AN01B011	{'ascending neuron'}	{'01B'}	{'AN01B011'}	{'IA'}	{'T2', 'T3', 'T1'}	{'secondary'}	{'gaba'}	6	{'LegNp'}	{'LegNp'}	{None}	{'CvC'}	{'DLV'}
AN01B014	{'ascending neuron'}	{'01B'}	{'AN01B014'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{'LegNpT1'}	{'LegNpT1'}	{None}	{'CvC'}	{'DLV'}
AN01B018	{'ascending neuron'}	{'01B'}	{'AN01B018'}	{'IA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{None}	{'LegNpT1'}	{None}	{'CvC'}	{'VTV'}
AN02A001	{'ascending neuron'}	{'02A'}	{'AN02A001'}	{'BA'}	{'T2'}	{'primary'}	{'glutamate'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'DLT'}
AN02A002	{'ascending neuron'}	{'02A'}	{'AN02A002'}	{'BA'}	{'T2'}	{'primary'}	{'glutamate'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'MTD-I'}
AN02A005	{'ascending neuron'}	{'02A'}	{'AN02A005'}	{'BA'}	{'T2'}	{'primary'}	{'glutamate'}	2	{'IntTct', 'NTct'}	{'IntTct', 'NTct'}	{None}	{'CvC'}	{'ITD'}
AN02A009	{'ascending neuron'}	{'02A'}	{'AN02A009'}	{'BA'}	{'T2'}	{'primary'}	{'glutamate'}	2	{'IntTct', 'NTct'}	{'IntTct', 'NTct'}	{None}	{'CvC'}	{'ITD'}
AN02A016	{'ascending neuron'}	{'02A'}	{'AN02A016'}	{'BA'}	{'T1'}	{'secondary'}	{'glutamate'}	2	{None}	{None}	{None}	{'CvC'}	{None}
AN02A017	{'ascending neuron'}	{'02A'}	{'AN02A017'}	{'IA'}	{'T1'}	{'primary'}	{'glutamate'}	2	{'brain'}	{'multi'}	{None}	{'CvC'}	{None}
AN02A022	{'ascending neuron'}	{'02A'}	{'AN02A022'}	{'IA'}	{'T3'}	{'primary'}	{'glutamate'}	2	{'HTct', 'NTct'}	{'HTct', 'NTct'}	{None}	{'CvC'}	{'ITD'}
AN02A025	{'ascending neuron'}	{'02A'}	{'AN02A025'}	{'IA'}	{'T1'}	{'secondary'}	{'unknown'}	2	{'brain'}	{'multi'}	{None}	{'CvC'}	{None}
AN02A046	{'ascending neuron'}	{'02A'}	{'AN02A046'}	{'IA'}	{'T1'}	{'primary'}	{'glutamate'}	2	{'brain'}	{None}	{None}	{'CvC'}	{None}
AN03A002	{'ascending neuron'}	{'03A'}	{'AN03A002'}	{'BA'}	{'T1'}	{'primary'}	{'acetylcholine'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{None}
AN03A008	{'ascending neuron'}	{'03A'}	{'AN03A008'}	{'BA'}	{'T1'}	{'secondary'}	{'acetylcholine'}	2	{'LegNpT1'}	{'LegNpT1'}	{None}	{'CvC'}	{'DMT'}
AN03B009	{'ascending neuron'}	{'03B'}	{'AN03B009'}	{'BA'}	{'T2'}	{'secondary'}	{'gaba'}	2	{None}	{'multi'}	{None}	{'CvC'}	{'DLT'}
AN03B011	{'ascending neuron'}	{'03B'}	{'AN03B011'}	{'IA', 'BA'}	{'T2', 'T3'}	{'secondary'}	{'gaba'}	4	{'multi'}	{'LegNp'}	{None}	{'CvC'}	{'ITD'}
AN03B039	{'ascending neuron'}	{'03B'}	{'AN03B039'}	{'IA'}	{'T2'}	{'secondary'}	{'glutamate'}	2	{'IntTct', 'NTct'}	{'IntTct', 'NTct'}	{None}	{'CvC'}	{'MTD-I'}
AN03B050	{'ascending neuron'}	{'03B'}	{'AN03B050'}	{'BA'}	{'T3'}	{'secondary'}	{'gaba'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'ITD'}
AN03B094	{'ascending neuron'}	{'03B'}	{'AN03B094'}	{'IA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{'LegNpT1'}	{'LegNpT1'}	{None}	{'CvC'}	{'MTD-I'}
AN03B095	{'ascending neuron'}	{'03B'}	{'AN03B095'}	{'IA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{'LegNpT1', 'NTct'}	{'LegNpT1', 'NTct'}	{None}	{'CvC'}	{'ITD'}
AN04A001	{'ascending neuron'}	{'04A'}	{'AN04A001'}	{'BA'}	{'T2', 'T1', 'T3'}	{'primary'}	{'acetylcholine'}	6	{'multi'}	{None}	{None}	{'CvC'}	{'DLV'}
AN04B001	{'ascending neuron'}	{'04B'}	{'AN04B001'}	{'IA'}	{'T2', 'T1'}	{'secondary'}	{'acetylcholine'}	4	{'LegNp'}	{'LegNp'}	{None}	{'CvC'}	{'DLV'}
AN04B003	{'ascending neuron'}	{'04B'}	{'AN04B003'}	{'IA'}	{'T2', 'T3', 'T1'}	{'primary'}	{'acetylcholine'}	6	{None}	{'LegNp'}	{None}	{'CvC'}	{'MDA'}
AN04B004	{'ascending neuron'}	{'04B'}	{'AN04B004'}	{'IA'}	{'T1'}	{'primary'}	{'acetylcholine'}	2	{'LegNpT1', 'LegNpT3'}	{'LegNpT1'}	{None}	{'CvC'}	{'DLV'}
AN04B023	{'ascending neuron'}	{'04B'}	{'AN04B023'}	{'IA'}	{'T1', 'T3', 'T2'}	{'secondary'}	{'acetylcholine'}	6	{'LegNp'}	{'LegNp'}	{None}	{'CvC'}	{'VLT'}
AN04B051	{'ascending neuron'}	{'04B'}	{'AN04B051'}	{'BA'}	{'T1'}	{'secondary'}	{'acetylcholine'}	2	{None}	{None}	{None}	{'CvC'}	{None}
AN05B004	{'ascending neuron'}	{'05B'}	{'AN05B004'}	{'BA'}	{'A8'}	{'primary'}	{'gaba'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B005	{'ascending neuron'}	{'05B'}	{'AN05B005'}	{'BA'}	{'T3'}	{'primary'}	{'gaba'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B006	{'ascending neuron'}	{'05B'}	{'AN05B006'}	{'BA'}	{'T2', 'T1'}	{'primary'}	{'gaba'}	4	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B007	{'ascending neuron'}	{'05B'}	{'AN05B007'}	{'BA'}	{'T1'}	{'primary'}	{'gaba'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B009	{'ascending neuron'}	{'05B'}	{'AN05B009'}	{'BA', 'CA'}	{'A3', 'A2'}	{'primary'}	{'gaba'}	4	{None}	{None}	{None}	{'CvC'}	{'VTV'}
AN05B010	{'ascending neuron'}	{'05B'}	{'AN05B010'}	{'BA'}	{'T1'}	{'primary'}	{'gaba'}	2	{None}	{None}	{None}	{'CvC'}	{'VTV'}
AN05B015	{'ascending neuron'}	{'05B'}	{'AN05B015'}	{'BA'}	{'A1'}	{'primary'}	{'gaba'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B017	{'ascending neuron'}	{'05B'}	{'AN05B017'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{'LegNp'}	{'LegNp'}	{None}	{'CvC'}	{'VTV'}
AN05B021	{'ascending neuron'}	{'05B'}	{'AN05B021'}	{'BA'}	{'T2'}	{'secondary'}	{'gaba'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B024	{'ascending neuron'}	{'05B'}	{'AN05B024'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{'multi'}	{None}	{None}	{'CvC'}	{'VTV'}
AN05B025	{'ascending neuron'}	{'05B'}	{'AN05B025'}	{'CA'}	{'A7'}	{'primary'}	{'gaba'}	2	{None}	{None}	{None}	{'CvC'}	{'VTV'}
AN05B026	{'ascending neuron'}	{'05B'}	{'AN05B026'}	{'CA'}	{'T1'}	{'primary'}	{'gaba'}	2	{None}	{None}	{None}	{'CvC'}	{'VTV'}
AN05B027	{'ascending neuron'}	{'05B'}	{'AN05B027'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{None}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B029	{'ascending neuron'}	{'05B'}	{'AN05B029'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B035	{'ascending neuron'}	{'05B'}	{'AN05B035'}	{'BA'}	{'A2'}	{'secondary'}	{'gaba'}	2	{'LegNpT1'}	{'LegNpT1'}	{None}	{'CvC'}	{'VTV'}
AN05B036	{'ascending neuron'}	{'05B'}	{'AN05B036'}	{'BA'}	{'T2'}	{'secondary'}	{'gaba'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B040	{'ascending neuron'}	{'05B'}	{'AN05B040'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B044	{'ascending neuron'}	{'05B'}	{'AN05B044'}	{'IA'}	{'T2'}	{'primary'}	{'gaba'}	2	{'LegNpT1'}	{'LegNpT1'}	{None}	{'CvC'}	{None}
AN05B045	{'ascending neuron'}	{'05B'}	{'AN05B045'}	{'BA'}	{'A2'}	{'primary'}	{'gaba'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B046	{'ascending neuron'}	{'05B'}	{'AN05B046'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	3	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B047	{'ascending neuron'}	{'05B'}	{'AN05B047'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	1	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B048	{'ascending neuron'}	{'05B'}	{'AN05B048'}	{'BA'}	{'T2'}	{'secondary'}	{'gaba'}	2	{None}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B049	{'ascending neuron'}	{'05B'}	{'AN05B049'}	{'BA'}	{'T2'}	{'secondary'}	{'gaba'}	6	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B050	{'ascending neuron'}	{'05B'}	{'AN05B050'}	{'BA'}	{'T2'}	{'secondary'}	{'gaba'}	7	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B052	{'ascending neuron'}	{'05B'}	{'AN05B052'}	{'BA'}	{'T2'}	{'secondary'}	{'gaba'}	4	{None}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B053	{'ascending neuron'}	{'05B'}	{'AN05B053'}	{'BA'}	{'A3', 'A5', 'A4'}	{'secondary'}	{'gaba'}	6	{'multi'}	{None}	{None}	{'CvC'}	{'VTV'}
AN05B054	{'ascending neuron'}	{'05B'}	{'AN05B054'}	{'BA', 'CA'}	{'T2'}	{'secondary'}	{'gaba'}	6	{None}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B056	{'ascending neuron'}	{'05B'}	{'AN05B056'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	4	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B058	{'ascending neuron'}	{'05B'}	{'AN05B058'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B059	{'ascending neuron'}	{'05B'}	{'AN05B059'}	{'BA'}	{'T3'}	{'secondary'}	{'gaba'}	2	{None}	{'LegNp'}	{None}	{'CvC'}	{'VTV'}
AN05B060	{'ascending neuron'}	{'05B'}	{'AN05B060'}	{'BA'}	{'T3'}	{'secondary'}	{'gaba'}	2	{'multi'}	{None}	{None}	{'CvC'}	{'VTV'}
AN05B062	{'ascending neuron'}	{'05B'}	{'AN05B062'}	{'BA'}	{'T3'}	{'secondary'}	{'gaba'}	5	{'multi'}	{'LegNp'}	{None}	{'CvC'}	{'VTV'}
AN05B063	{'ascending neuron'}	{'05B'}	{'AN05B063'}	{'BA'}	{'T2', 'T3'}	{'secondary'}	{'gaba'}	4	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B067	{'ascending neuron'}	{'05B'}	{'AN05B067'}	{'BA', 'CA'}	{'T1'}	{'secondary'}	{'gaba'}	3	{None}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B068	{'ascending neuron'}	{'05B'}	{'AN05B068'}	{'BA', 'CA'}	{'T3'}	{'secondary'}	{'gaba'}	6	{None}	{None}	{None}	{'CvC'}	{'VTV'}
AN05B069	{'ascending neuron'}	{'05B'}	{'AN05B069'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	4	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B071	{'ascending neuron'}	{'05B'}	{'AN05B071'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	5	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B076	{'ascending neuron'}	{'05B'}	{'AN05B076'}	{'BA'}	{'T2'}	{'primary'}	{'gaba'}	2	{'LegNpT1'}	{'LegNpT1'}	{None}	{'CvC'}	{'VTV'}
AN05B078	{'ascending neuron'}	{'05B'}	{'AN05B078'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	7	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B081	{'ascending neuron'}	{'05B'}	{'AN05B081'}	{'CA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B083	{'ascending neuron'}	{'05B'}	{'AN05B083'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B094	{'ascending neuron'}	{'05B'}	{'AN05B094'}	{'BA'}	{'T2'}	{'primary'}	{'acetylcholine'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'MDA'}
AN05B095	{'ascending neuron'}	{'05B'}	{'AN05B095'}	{'BA'}	{'A2'}	{'primary'}	{'acetylcholine'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'MDA'}
AN05B096	{'ascending neuron'}	{'05B'}	{'AN05B096'}	{'BA'}	{'T2', 'T3'}	{'primary'}	{'acetylcholine'}	4	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B097	{'ascending neuron'}	{'05B'}	{'AN05B097'}	{'BA'}	{'T2', 'T1', 'T3', 'A1'}	{'primary'}	{'acetylcholine'}	8	{None}	{None}	{None}	{'CvC'}	{None}
AN05B098	{'ascending neuron'}	{'05B'}	{'AN05B098'}	{'BA'}	{'T3'}	{'primary'}	{'acetylcholine'}	2	{'LegNp'}	{'LegNp'}	{None}	{'CvC'}	{'MDA'}
AN05B099	{'ascending neuron'}	{'05B'}	{'AN05B099'}	{'BA'}	{'A5', 'A7', 'A6'}	{'primary'}	{'acetylcholine'}	6	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B100	{'ascending neuron'}	{'05B'}	{'AN05B100'}	{'BA'}	{'T2', 'T1', 'T3'}	{'primary'}	{'acetylcholine'}	6	{None}	{'LegNp'}	{None}	{'CvC'}	{'VTV'}
AN05B101	{'ascending neuron'}	{'05B'}	{'AN05B101'}	{'BA'}	{'T2', 'T1'}	{'primary'}	{'acetylcholine'}	4	{None}	{None}	{None}	{'CvC'}	{'VTV'}
AN05B102	{'ascending neuron'}	{'05B'}	{'AN05B102'}	{'CA'}	{'A3', 'A4'}	{'primary'}	{'acetylcholine'}	4	{'multi'}	{'multi'}	{None}	{'CvC'}	{'VTV'}
AN05B103	{'ascending neuron'}	{'05B'}	{'AN05B103'}	{'BA'}	{'T2'}	{'primary'}	{'acetylcholine'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'MDA'}
AN05B104	{'ascending neuron'}	{'05B'}	{'AN05B104'}	{'BA'}	{'T2', 'T1', 'T3'}	{'primary'}	{'acetylcholine'}	6	{None}	{None}	{None}	{'CvC'}	{None}
AN05B105	{'ascending neuron'}	{'05B'}	{'AN05B105'}	{'BA'}	{'T1'}	{'primary'}	{'acetylcholine'}	2	{None}	{None}	{None}	{'CvC'}	{'VTV'}
AN05B106	{'ascending neuron'}	{'05B'}	{'AN05B106'}	{'CA'}	{'T3'}	{'primary'}	{'acetylcholine'}	2	{None}	{None}	{None}	{'CvC'}	{'VTV'}
AN06A010	{'ascending neuron'}	{'06A'}	{'AN06A010'}	{'BA'}	{'T2'}	{'secondary'}	{'gaba'}	2	{'HTct', 'NTct'}	{'HTct', 'NTct'}	{None}	{'CvC'}	{'ITD'}
AN06A015	{'ascending neuron'}	{'06A'}	{'AN06A015'}	{'BA'}	{'T1'}	{'primary'}	{'gaba'}	2	{'IntTct', 'LegNpT1'}	{'LegNpT1'}	{None}	{'CvC'}	{'MTD-I'}
AN06A016	{'ascending neuron'}	{'06A'}	{'AN06A016'}	{'BA'}	{'T1'}	{'primary'}	{'gaba'}	2	{'NTct'}	{None}	{None}	{'CvC'}	{'ITD'}
AN06A017	{'ascending neuron'}	{'06A'}	{'AN06A017'}	{'BA'}	{'T1'}	{'primary'}	{'gaba'}	2	{'multi'}	{'UTct'}	{None}	{'CvC'}	{'ITD'}
AN06A018	{'ascending neuron'}	{'06A'}	{'AN06A018'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{'HTct', 'IntTct'}	{'HTct', 'IntTct'}	{None}	{'CvC'}	{'ITD'}
AN06A026	{'ascending neuron'}	{'06A'}	{'AN06A026'}	{'BA'}	{'T3', 'A1'}	{'secondary'}	{'gaba'}	4	{'HTct', 'NTct'}	{'HTct', 'NTct'}	{None}	{'CvC'}	{'ITD'}
AN06A027	{'ascending neuron'}	{'06A'}	{'AN06A027'}	{'BA'}	{'T1'}	{'secondary'}	{'glutamate'}	2	{'IntTct', 'NTct'}	{'IntTct', 'NTct'}	{None}	{'CvC'}	{'MDA'}
AN06A030	{'ascending neuron'}	{'06A'}	{'AN06A030'}	{'BA'}	{'A1'}	{'primary'}	{'glutamate'}	2	{'UTct'}	{'HTct'}	{None}	{'CvC'}	{'MDA'}
AN06A041	{'ascending neuron'}	{'06A'}	{'AN06A041'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{None}	{None}	{None}	{'CvC'}	{'ITD'}
AN06A060	{'ascending neuron'}	{'06A'}	{'AN06A060'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{'NTct'}	{'IntTct', 'NTct'}	{None}	{'CvC'}	{'ITD'}
AN06A062	{'ascending neuron'}	{'06A'}	{'AN06A062'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	4	{'NTct'}	{'NTct'}	{None}	{'CvC'}	{'ITD'}
AN06A080	{'ascending neuron'}	{'06A'}	{'AN06A080'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	4	{'NTct'}	{'Tct'}	{None}	{'CvC'}	{'ITD'}
AN06A092	{'ascending neuron'}	{'06A'}	{'AN06A092'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	9	{'IntTct'}	{'IntTct'}	{None}	{'CvC'}	{'ITD'}
AN06A095	{'ascending neuron'}	{'06A'}	{'AN06A095'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{None}	{None}	{None}	{'CvC'}	{'ITD'}
AN06A112	{'ascending neuron'}	{'06A'}	{'AN06A112'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	6	{'HTct', 'NTct'}	{'NTct'}	{None}	{'CvC'}	{'ITD'}
AN06B002	{'ascending neuron'}	{'06B'}	{'AN06B002'}	{'BA'}	{'T2', 'T3', 'T1'}	{'primary'}	{'gaba'}	6	{'multi'}	{'LegNp'}	{None}	{'CvC'}	{None}
AN06B004	{'ascending neuron'}	{'06B'}	{'AN06B004'}	{'BA'}	{'T1'}	{'primary'}	{'gaba'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{None}
AN06B005	{'ascending neuron'}	{'06B'}	{'AN06B005'}	{'BA'}	{'T3'}	{'primary'}	{'gaba'}	2	{'LegNpT1'}	{'LegNpT3'}	{None}	{'CvC'}	{'ITD'}
AN06B007	{'ascending neuron'}	{'06B'}	{'AN06B007'}	{'CA'}	{'T2', 'T1'}	{'primary'}	{'gaba'}	4	{None}	{None}	{None}	{'CvC'}	{'ITD'}
AN06B009	{'ascending neuron'}	{'06B'}	{'AN06B009'}	{'BA'}	{'T1'}	{'primary'}	{'gaba'}	2	{'brain'}	{'multi'}	{None}	{'CvC'}	{'ITD'}
AN06B011	{'ascending neuron'}	{'06B'}	{'AN06B011'}	{'BA'}	{'T2'}	{'secondary'}	{'acetylcholine'}	2	{'brain'}	{None}	{None}	{'CvC'}	{'DLT'}
AN06B012	{'ascending neuron'}	{'06B'}	{'AN06B012'}	{'BA'}	{'T2'}	{'secondary'}	{'gaba'}	2	{None}	{None}	{None}	{'CvC'}	{'MTD-I'}
AN06B014	{'ascending neuron'}	{'06B'}	{'AN06B014'}	{'CA'}	{'A1'}	{'primary'}	{'glutamate'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'ITD'}
AN06B015	{'ascending neuron'}	{'06B'}	{'AN06B015'}	{'BA'}	{'T1', 'T3'}	{'primary'}	{'gaba'}	4	{'LegNp'}	{'LegNp'}	{None}	{'CvC'}	{'ITD'}
AN06B023	{'ascending neuron'}	{'06B'}	{'AN06B023'}	{'BA', 'CA'}	{'T2', 'T1'}	{'secondary', 'primary'}	{'glutamate'}	4	{None}	{'multi'}	{None}	{'CvC'}	{'ITD'}
AN06B025	{'ascending neuron'}	{'06B'}	{'AN06B025'}	{'CA'}	{'T3'}	{'primary'}	{'gaba'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'ITD'}
AN06B026	{'ascending neuron'}	{'06B'}	{'AN06B026'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{'IntTct', 'LegNpT1'}	{'IntTct', 'LegNpT1'}	{None}	{'CvC'}	{'ITD'}
AN06B031	{'ascending neuron'}	{'06B'}	{'AN06B031'}	{'BA', 'CA'}	{'T2'}	{'secondary'}	{'gaba'}	4	{None}	{None}	{None}	{'CvC'}	{'ITD'}
AN06B034	{'ascending neuron'}	{'06B'}	{'AN06B034'}	{'BA'}	{'T2'}	{'secondary'}	{'gaba'}	2	{None}	{None}	{None}	{'CvC'}	{'ITD'}
AN06B037	{'ascending neuron'}	{'06B'}	{'AN06B037'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'MTD-I'}
AN06B039	{'ascending neuron'}	{'06B'}	{'AN06B039'}	{'CA'}	{'T2', 'T1', 'T3', 'A1'}	{'secondary'}	{'gaba'}	8	{None}	{None}	{None}	{'CvC'}	{'MDA'}
AN06B040	{'ascending neuron'}	{'06B'}	{'AN06B040'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{None}	{None}	{None}	{'CvC'}	{'DMT'}
AN06B042	{'ascending neuron'}	{'06B'}	{'AN06B042'}	{'BA'}	{'T2'}	{'secondary'}	{'glutamate'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'ITD'}
AN06B044	{'ascending neuron'}	{'06B'}	{'AN06B044'}	{'BA'}	{'T3'}	{'secondary'}	{'gaba'}	2	{'multi'}	{'multi'}	{None}	{'CvC'}	{'ITD'}
AN06B045	{'ascending neuron'}	{'06B'}	{'AN06B045'}	{'BA'}	{'A1'}	{'secondary'}	{'gaba'}	2	{'multi'}	{'UTct'}	{None}	{'CvC'}	{'ITD'}
AN06B046	{'ascending neuron'}	{'06B'}	{'AN06B046'}	{'BA'}	{'T2'}	{'secondary'}	{'gaba'}	4	{'HTct', 'NTct'}	{'HTct', 'NTct'}	{None}	{'CvC'}	{'ITD'}
AN06B048	{'ascending neuron'}	{'06B'}	{'AN06B048'}	{'BA'}	{'T3'}	{'secondary'}	{'gaba'}	2	{'HTct', 'NTct'}	{'HTct'}	{None}	{'CvC'}	{'ITD'}
AN06B051	{'ascending neuron'}	{'06B'}	{'AN06B051'}	{'BA'}	{'T2'}	{'secondary'}	{'gaba'}	4	{'multi'}	{'multi'}	{None}	{'CvC'}	{'ITD'}
AN06B057	{'ascending neuron'}	{'06B'}	{'AN06B057'}	{'BA'}	{'T1'}	{'secondary'}	{'gaba'}	2	{'brain'}	{None}	{None}	{'CvC'}	{'ITD'}
AN06B068	{'ascending neuron'}	{'06B'}	{'AN06B068'}	{'BA'}	{'T2'}	{'secondary'}	{'gaba'}	6	{None}	{None}	{None}	{'CvC'}	{'ITD'}
