term	FBbt_id	FBbt_name
ascending neuron	FBbt:00048301	adult ascending neuron
descending neuron	FBbt:00047511	adult descending neuron
efferent ascending	FBbt:00051964|FBbt:00048301	adult efferent neuron|adult ascending neuron
efferent neuron	FBbt:00051964	adult efferent neuron
intrinsic neuron	FBbt:00052046	adult interneuron
motor neuron	FBbt:00048235	adult motor neuron
sensory ascending	FBbt:00058244|FBbt:00048301	adult sensory neuron|adult ascending neuron
sensory neuron	FBbt:00058244	adult sensory neuron
neuron	FBbt:00047095	adult neuron
