term	FBbt_id	FBbt_name
acetylcholine	GO:0014055	acetylcholine secretion, neurotransmission
gaba	GO:0061534	gamma-aminobutyric acid secretion, neurotransmission
glutamate	GO:0061535	glutamate secretion, neurotransmission
