defined_class	defined_class_label	term	precision
FBbt:00051082	metathoracic tarsus	metatarsus	exact
FBbt:00053239	vertex	vertex	exact
FBbt:00053240	lunule	lunule	exact
FBbt:00053243	prepronotum	antepronotum	exact
FBbt:00053244	radial sector vein	Rs	approx
FBbt:00053245	first anal vein	A1	exact
FBbt:00053246	second anterior cubital vein	CuA2	exact
FBbt:00053247	posterior cubital vein	CuP	exact
FBbt:00053248	anterior cubital vein	CuA	exact
FBbt:00053251	fused first anal and second anterior cubital vein	A1+CuA2	exact
FBbt:00053253	humeral break	hb	exact
FBbt:00053254	subcostal break	sb	exact
FBbt:00053255	second basal and discal wing cell	bm+dm	exact
FBbt:00053256	mesothoracic mediotergite	mediotergite	exact
FBbt:00100793	subalar sclerite	subalar%20sclerite	exact
