defined_class	defined_class_label	neuron_type	neuron_type_label	Landgraf_name	Hoang_name	Doe_name	neuromere	neuromere_label	neuromere_short	alt_segment_long	alt_segment_short	Ib_muscle	Ib_muscle_label	Is_muscle	Is_muscle_label	II_muscle	II_muscle_label	III_muscle	III_muscle_label	nerve	nerve_label
FBbt:00002245	larval dorsal VUM motor neuron of abdominal 6 neuromere	FBbt:00110295	dorsal VUM motor neuron	dorsal VUM	A1-7 MNISN-II		FBbt:00111038	larval abdominal 6 neuromere	A6							FBbt:00000874|FBbt:00000899|FBbt:00000878|FBbt:00000890|FBbt:00000877|FBbt:00000865|FBbt:00000867|FBbt:00000876|FBbt:00000875|FBbt:00000866	muscle cell of abdominal 6 dorsal oblique muscle 1|muscle cell of abdominal 6 dorsal transverse muscle 1|muscle cell of abdominal 6 dorsal oblique muscle 5|muscle cell of abdominal 6 lateral longitudinal muscle 1|muscle cell of abdominal 6 dorsal oblique muscle 4|muscle cell of abdominal 6 dorsal acute muscle 1|muscle cell of abdominal 6 dorsal acute muscle 3|muscle cell of abdominal 6 dorsal oblique muscle 3|muscle cell of abdominal 6 dorsal oblique muscle 2|muscle cell of abdominal 6 dorsal acute muscle 2				
FBbt:00002246	larval dorsal VUM motor neuron of abdominal 7 neuromere	FBbt:00110295	dorsal VUM motor neuron	dorsal VUM	A1-7 MNISN-II		FBbt:00111039	larval abdominal 7 neuromere	A7							FBbt:00000920|FBbt:00000921|FBbt:00000944|FBbt:00000910|FBbt:00000922|FBbt:00000912|FBbt:00000919|FBbt:00000911|FBbt:00000935|FBbt:00000923	muscle cell of abdominal 7 dorsal oblique muscle 2|muscle cell of abdominal 7 dorsal oblique muscle 3|muscle cell of abdominal 7 dorsal transverse muscle 1|muscle cell of abdominal 7 dorsal acute muscle 1|muscle cell of abdominal 7 dorsal oblique muscle 4|muscle cell of abdominal 7 dorsal acute muscle 3|muscle cell of abdominal 7 dorsal oblique muscle 1|muscle cell of abdominal 7 dorsal acute muscle 2|muscle cell of abdominal 7 lateral longitudinal muscle 1|muscle cell of abdominal 7 dorsal oblique muscle 5				
FBbt:00048760	larval DT1 motor neuron of metathoracic neuromere	FBbt:00110277	DT1 motor neuron	DT1	MN18-Ib		FBbt:00111032	larval metathoracic neuromere	T3	abdominal 1	A1	FBbt:00000673	muscle cell of abdominal 1 dorsal transverse muscle 1								
FBbt:00048761	larval DT1 motor neuron of abdominal 1 neuromere	FBbt:00110277	DT1 motor neuron	DT1	MN18-Ib		FBbt:00111033	larval abdominal 1 neuromere	A1	abdominal 2	A2	FBbt:00000719	muscle cell of abdominal 2 dorsal transverse muscle 1								
FBbt:00048762	larval DT1 motor neuron of abdominal 2 neuromere	FBbt:00110277	DT1 motor neuron	DT1	MN18-Ib		FBbt:00111034	larval abdominal 2 neuromere	A2	abdominal 3	A3	FBbt:00000764	muscle cell of abdominal 3 dorsal transverse muscle 1								
FBbt:00048763	larval DT1 motor neuron of abdominal 3 neuromere	FBbt:00110277	DT1 motor neuron	DT1	MN18-Ib		FBbt:00111035	larval abdominal 3 neuromere	A3	abdominal 4	A4	FBbt:00000809	muscle cell of abdominal 4 dorsal transverse muscle 1								
FBbt:00048764	larval DT1 motor neuron of abdominal 4 neuromere	FBbt:00110277	DT1 motor neuron	DT1	MN18-Ib		FBbt:00111036	larval abdominal 4 neuromere	A4	abdominal 5	A5	FBbt:00000854	muscle cell of abdominal 5 dorsal transverse muscle 1								
FBbt:00048765	larval DT1 motor neuron of abdominal 5 neuromere	FBbt:00110277	DT1 motor neuron	DT1	MN18-Ib		FBbt:00111037	larval abdominal 5 neuromere	A5	abdominal 6	A6	FBbt:00000899	muscle cell of abdominal 6 dorsal transverse muscle 1								
FBbt:00048766	larval DT1 motor neuron of abdominal 6 neuromere	FBbt:00110277	DT1 motor neuron	DT1	MN18-Ib		FBbt:00111038	larval abdominal 6 neuromere	A6	abdominal 7	A7	FBbt:00000944	muscle cell of abdominal 7 dorsal transverse muscle 1								
FBbt:00002256	larval lateral VUM motor neuron of abdominal 1 neuromere	FBbt:00110308	lateral VUM motor neuron	lateral VUM	MNSNa-II	lateral VUM	FBbt:00111033	larval abdominal 1 neuromere	A1							FBbt:00000664|FBbt:00000655|FBbt:00000675|FBbt:00000676|FBbt:00000677|FBbt:00000678	muscle cell of abdominal 1 lateral oblique muscle 1|abdominal 1 segment border muscle cell|muscle cell of abdominal 1 lateral transverse muscle 1|muscle cell of abdominal 1 lateral transverse muscle 2|muscle cell of abdominal 1 lateral transverse muscle 3|muscle cell of abdominal 1 lateral transverse muscle 4				
FBbt:00002257	larval lateral VUM motor neuron of abdominal 2 neuromere	FBbt:00110308	lateral VUM motor neuron	lateral VUM	MNSNa-II	lateral VUM	FBbt:00111034	larval abdominal 2 neuromere	A2							FBbt:00000723|FBbt:00000724|FBbt:00000721|FBbt:00000700|FBbt:00000722|FBbt:00000716	muscle cell of abdominal 2 lateral transverse muscle 3|muscle cell of abdominal 2 lateral transverse muscle 4|muscle cell of abdominal 2 lateral transverse muscle 1|muscle cell of abdominal 2 lateral oblique muscle 1|muscle cell of abdominal 2 lateral transverse muscle 2|abdominal 2 segment border muscle cell				
FBbt:00002258	larval lateral VUM motor neuron of abdominal 3 neuromere	FBbt:00110308	lateral VUM motor neuron	lateral VUM	MNSNa-II	lateral VUM	FBbt:00111035	larval abdominal 3 neuromere	A3							FBbt:00000761|FBbt:00000768|FBbt:00000767|FBbt:00000769|FBbt:00000745|FBbt:00000766	abdominal 3 segment border muscle cell|muscle cell of abdominal 3 lateral transverse muscle 3|muscle cell of abdominal 3 lateral transverse muscle 2|muscle cell of abdominal 3 lateral transverse muscle 4|muscle cell of abdominal 3 lateral oblique muscle 1|muscle cell of abdominal 3 lateral transverse muscle 1				
FBbt:00002259	larval lateral VUM motor neuron of abdominal 4 neuromere	FBbt:00110308	lateral VUM motor neuron	lateral VUM	MNSNa-II	lateral VUM	FBbt:00111036	larval abdominal 4 neuromere	A4							FBbt:00000811|FBbt:00000814|FBbt:00000812|FBbt:00000806|FBbt:00000813|FBbt:00000790	muscle cell of abdominal 4 lateral transverse muscle 1|muscle cell of abdominal 4 lateral transverse muscle 4|muscle cell of abdominal 4 lateral transverse muscle 2|abdominal 4 segment border muscle cell|muscle cell of abdominal 4 lateral transverse muscle 3|muscle cell of abdominal 4 lateral oblique muscle 1				
FBbt:00002260	larval lateral VUM motor neuron of abdominal 5 neuromere	FBbt:00110308	lateral VUM motor neuron	lateral VUM	MNSNa-II	lateral VUM	FBbt:00111037	larval abdominal 5 neuromere	A5							FBbt:00000835|FBbt:00000859|FBbt:00000858|FBbt:00000856|FBbt:00000851|FBbt:00000857	muscle cell of abdominal 5 lateral oblique muscle 1|muscle cell of abdominal 5 lateral transverse muscle 4|muscle cell of abdominal 5 lateral transverse muscle 3|muscle cell of abdominal 5 lateral transverse muscle 1|abdominal 5 segment border muscle cell|muscle cell of abdominal 5 lateral transverse muscle 2				
FBbt:00002261	larval lateral VUM motor neuron of abdominal 6 neuromere	FBbt:00110308	lateral VUM motor neuron	lateral VUM	MNSNa-II	lateral VUM	FBbt:00111038	larval abdominal 6 neuromere	A6							FBbt:00000880|FBbt:00000896|FBbt:00000902|FBbt:00000904|FBbt:00000901|FBbt:00000903	muscle cell of abdominal 6 lateral oblique muscle 1|abdominal 6 segment border muscle cell|muscle cell of abdominal 6 lateral transverse muscle 2|muscle cell of abdominal 6 lateral transverse muscle 4|muscle cell of abdominal 6 lateral transverse muscle 1|muscle cell of abdominal 6 lateral transverse muscle 3				
FBbt:00002262	larval lateral VUM motor neuron of abdominal 7 neuromere	FBbt:00110308	lateral VUM motor neuron	lateral VUM	MNSNa-II	lateral VUM	FBbt:00111039	larval abdominal 7 neuromere	A7							FBbt:00000946|FBbt:00000947|FBbt:00000925|FBbt:00000948|FBbt:00000941|FBbt:00000949	muscle cell of abdominal 7 lateral transverse muscle 1|muscle cell of abdominal 7 lateral transverse muscle 2|muscle cell of abdominal 7 lateral oblique muscle 1|muscle cell of abdominal 7 lateral transverse muscle 3|abdominal 7 segment border muscle cell|muscle cell of abdominal 7 lateral transverse muscle 4				
FBbt:00048718	larval LL1 motor neuron of metathoracic neuromere	FBbt:00110234	LL1 motor neuron	LL1	MN4-Ib	U5	FBbt:00111032	larval metathoracic neuromere	T3	abdominal 1	A1	FBbt:00000649	muscle cell of abdominal 1 lateral longitudinal muscle 1								
FBbt:00048719	larval LL1 motor neuron of abdominal 1 neuromere	FBbt:00110234	LL1 motor neuron	LL1	MN4-Ib	U5	FBbt:00111033	larval abdominal 1 neuromere	A1	abdominal 2	A2	FBbt:00000710	muscle cell of abdominal 2 lateral longitudinal muscle 1								
FBbt:00048720	larval LL1 motor neuron of abdominal 2 neuromere	FBbt:00110234	LL1 motor neuron	LL1	MN4-Ib	U5	FBbt:00111034	larval abdominal 2 neuromere	A2	abdominal 3	A3	FBbt:00000755	muscle cell of abdominal 3 lateral longitudinal muscle 1								
FBbt:00048721	larval LL1 motor neuron of abdominal 3 neuromere	FBbt:00110234	LL1 motor neuron	LL1	MN4-Ib	U5	FBbt:00111035	larval abdominal 3 neuromere	A3	abdominal 4	A4	FBbt:00000800	muscle cell of abdominal 4 lateral longitudinal muscle 1								
FBbt:00048722	larval LL1 motor neuron of abdominal 4 neuromere	FBbt:00110234	LL1 motor neuron	LL1	MN4-Ib	U5	FBbt:00111036	larval abdominal 4 neuromere	A4	abdominal 5	A5	FBbt:00000845	muscle cell of abdominal 5 lateral longitudinal muscle 1								
FBbt:00048723	larval LL1 motor neuron of abdominal 5 neuromere	FBbt:00110234	LL1 motor neuron	LL1	MN4-Ib	U5	FBbt:00111037	larval abdominal 5 neuromere	A5	abdominal 6	A6	FBbt:00000890	muscle cell of abdominal 6 lateral longitudinal muscle 1								
FBbt:00048724	larval LL1 motor neuron of abdominal 6 neuromere	FBbt:00110234	LL1 motor neuron	LL1	MN4-Ib	U5	FBbt:00111038	larval abdominal 6 neuromere	A6	abdominal 7	A7	FBbt:00000935	muscle cell of abdominal 7 lateral longitudinal muscle 1								
FBbt:00048640	larval LO1 motor neuron of abdominal 1 neuromere	FBbt:00110273	LO1 motor neuron	LO1	MN5-Ib	JTM	FBbt:00111033	larval abdominal 1 neuromere	A1			FBbt:00000664	muscle cell of abdominal 1 lateral oblique muscle 1								
FBbt:00048791	larval LO1 motor neuron of abdominal 2 neuromere	FBbt:00110273	LO1 motor neuron	LO1	MN5-Ib	JTM	FBbt:00111034	larval abdominal 2 neuromere	A2			FBbt:00000700	muscle cell of abdominal 2 lateral oblique muscle 1								
FBbt:00048792	larval LO1 motor neuron of abdominal 3 neuromere	FBbt:00110273	LO1 motor neuron	LO1	MN5-Ib	JTM	FBbt:00111035	larval abdominal 3 neuromere	A3			FBbt:00000745	muscle cell of abdominal 3 lateral oblique muscle 1								
FBbt:00048793	larval LO1 motor neuron of abdominal 4 neuromere	FBbt:00110273	LO1 motor neuron	LO1	MN5-Ib	JTM	FBbt:00111036	larval abdominal 4 neuromere	A4			FBbt:00000790	muscle cell of abdominal 4 lateral oblique muscle 1								
FBbt:00048794	larval LO1 motor neuron of abdominal 5 neuromere	FBbt:00110273	LO1 motor neuron	LO1	MN5-Ib	JTM	FBbt:00111037	larval abdominal 5 neuromere	A5			FBbt:00000835	muscle cell of abdominal 5 lateral oblique muscle 1								
FBbt:00048795	larval LO1 motor neuron of abdominal 6 neuromere	FBbt:00110273	LO1 motor neuron	LO1	MN5-Ib	JTM	FBbt:00111038	larval abdominal 6 neuromere	A6			FBbt:00000880	muscle cell of abdominal 6 lateral oblique muscle 1								
FBbt:00048796	larval LO1 motor neuron of abdominal 7 neuromere	FBbt:00110273	LO1 motor neuron	LO1	MN5-Ib	JTM	FBbt:00111039	larval abdominal 7 neuromere	A7			FBbt:00000925	muscle cell of abdominal 7 lateral oblique muscle 1								
FBbt:00048636	larval LT1 motor neuron of abdominal 1 neuromere	FBbt:00110261	LT1 motor neuron	LT1/LT2	MN21/22-Ib		FBbt:00111033	larval abdominal 1 neuromere	A1			FBbt:00000675|FBbt:00000676	muscle cell of abdominal 1 lateral transverse muscle 1|muscle cell of abdominal 1 lateral transverse muscle 2								
FBbt:00048779	larval LT1 motor neuron of abdominal 2 neuromere	FBbt:00110261	LT1 motor neuron	LT1/LT2	MN21/22-Ib		FBbt:00111034	larval abdominal 2 neuromere	A2			FBbt:00000721|FBbt:00000722	muscle cell of abdominal 2 lateral transverse muscle 1|muscle cell of abdominal 2 lateral transverse muscle 2								
FBbt:00048780	larval LT1 motor neuron of abdominal 3 neuromere	FBbt:00110261	LT1 motor neuron	LT1/LT2	MN21/22-Ib		FBbt:00111035	larval abdominal 3 neuromere	A3			FBbt:00000766|FBbt:00000767	muscle cell of abdominal 3 lateral transverse muscle 1|muscle cell of abdominal 3 lateral transverse muscle 2								
FBbt:00048781	larval LT1 motor neuron of abdominal 4 neuromere	FBbt:00110261	LT1 motor neuron	LT1/LT2	MN21/22-Ib		FBbt:00111036	larval abdominal 4 neuromere	A4			FBbt:00000811|FBbt:00000812	muscle cell of abdominal 4 lateral transverse muscle 1|muscle cell of abdominal 4 lateral transverse muscle 2								
FBbt:00048782	larval LT1 motor neuron of abdominal 5 neuromere	FBbt:00110261	LT1 motor neuron	LT1/LT2	MN21/22-Ib		FBbt:00111037	larval abdominal 5 neuromere	A5			FBbt:00000856|FBbt:00000857	muscle cell of abdominal 5 lateral transverse muscle 1|muscle cell of abdominal 5 lateral transverse muscle 2								
FBbt:00048783	larval LT1 motor neuron of abdominal 6 neuromere	FBbt:00110261	LT1 motor neuron	LT1/LT2	MN21/22-Ib		FBbt:00111038	larval abdominal 6 neuromere	A6			FBbt:00000901|FBbt:00000902	muscle cell of abdominal 6 lateral transverse muscle 1|muscle cell of abdominal 6 lateral transverse muscle 2								
FBbt:00048784	larval LT1 motor neuron of abdominal 7 neuromere	FBbt:00110261	LT1 motor neuron	LT1/LT2	MN21/22-Ib		FBbt:00111039	larval abdominal 7 neuromere	A7			FBbt:00000946|FBbt:00000947	muscle cell of abdominal 7 lateral transverse muscle 1|muscle cell of abdominal 7 lateral transverse muscle 2								
FBbt:00048637	larval LT2 motor neuron of abdominal 1 neuromere	FBbt:00110264	LT2 motor neuron	LT2/LT3	MN22/23-Ib		FBbt:00111033	larval abdominal 1 neuromere	A1			FBbt:00000676|FBbt:00000677	muscle cell of abdominal 1 lateral transverse muscle 2|muscle cell of abdominal 1 lateral transverse muscle 3								
FBbt:00048773	larval LT2 motor neuron of abdominal 2 neuromere	FBbt:00110264	LT2 motor neuron	LT2/LT3	MN22/23-Ib		FBbt:00111034	larval abdominal 2 neuromere	A2			FBbt:00000722|FBbt:00000723	muscle cell of abdominal 2 lateral transverse muscle 2|muscle cell of abdominal 2 lateral transverse muscle 3								
FBbt:00048774	larval LT2 motor neuron of abdominal 3 neuromere	FBbt:00110264	LT2 motor neuron	LT2/LT3	MN22/23-Ib		FBbt:00111035	larval abdominal 3 neuromere	A3			FBbt:00000767|FBbt:00000768	muscle cell of abdominal 3 lateral transverse muscle 2|muscle cell of abdominal 3 lateral transverse muscle 3								
FBbt:00048775	larval LT2 motor neuron of abdominal 4 neuromere	FBbt:00110264	LT2 motor neuron	LT2/LT3	MN22/23-Ib		FBbt:00111036	larval abdominal 4 neuromere	A4			FBbt:00000812|FBbt:00000813	muscle cell of abdominal 4 lateral transverse muscle 2|muscle cell of abdominal 4 lateral transverse muscle 3								
FBbt:00048776	larval LT2 motor neuron of abdominal 5 neuromere	FBbt:00110264	LT2 motor neuron	LT2/LT3	MN22/23-Ib		FBbt:00111037	larval abdominal 5 neuromere	A5			FBbt:00000857|FBbt:00000858	muscle cell of abdominal 5 lateral transverse muscle 2|muscle cell of abdominal 5 lateral transverse muscle 3								
FBbt:00048777	larval LT2 motor neuron of abdominal 6 neuromere	FBbt:00110264	LT2 motor neuron	LT2/LT3	MN22/23-Ib		FBbt:00111038	larval abdominal 6 neuromere	A6			FBbt:00000902|FBbt:00000903	muscle cell of abdominal 6 lateral transverse muscle 2|muscle cell of abdominal 6 lateral transverse muscle 3								
FBbt:00048778	larval LT2 motor neuron of abdominal 7 neuromere	FBbt:00110264	LT2 motor neuron	LT2/LT3	MN22/23-Ib		FBbt:00111039	larval abdominal 7 neuromere	A7			FBbt:00000947|FBbt:00000948	muscle cell of abdominal 7 lateral transverse muscle 2|muscle cell of abdominal 7 lateral transverse muscle 3								
FBbt:00048638	larval LT3 motor neuron of abdominal 1 neuromere	FBbt:00110267	LT3 motor neuron	LT3	MN23-Ib		FBbt:00111033	larval abdominal 1 neuromere	A1			FBbt:00000677	muscle cell of abdominal 1 lateral transverse muscle 3								
FBbt:00048767	larval LT3 motor neuron of abdominal 2 neuromere	FBbt:00110267	LT3 motor neuron	LT3	MN23-Ib		FBbt:00111034	larval abdominal 2 neuromere	A2			FBbt:00000723	muscle cell of abdominal 2 lateral transverse muscle 3								
FBbt:00048768	larval LT3 motor neuron of abdominal 3 neuromere	FBbt:00110267	LT3 motor neuron	LT3	MN23-Ib		FBbt:00111035	larval abdominal 3 neuromere	A3			FBbt:00000768	muscle cell of abdominal 3 lateral transverse muscle 3								
FBbt:00048769	larval LT3 motor neuron of abdominal 4 neuromere	FBbt:00110267	LT3 motor neuron	LT3	MN23-Ib		FBbt:00111036	larval abdominal 4 neuromere	A4			FBbt:00000813	muscle cell of abdominal 4 lateral transverse muscle 3								
FBbt:00048770	larval LT3 motor neuron of abdominal 5 neuromere	FBbt:00110267	LT3 motor neuron	LT3	MN23-Ib		FBbt:00111037	larval abdominal 5 neuromere	A5			FBbt:00000858	muscle cell of abdominal 5 lateral transverse muscle 3								
FBbt:00048771	larval LT3 motor neuron of abdominal 6 neuromere	FBbt:00110267	LT3 motor neuron	LT3	MN23-Ib		FBbt:00111038	larval abdominal 6 neuromere	A6			FBbt:00000903	muscle cell of abdominal 6 lateral transverse muscle 3								
FBbt:00048772	larval LT3 motor neuron of abdominal 7 neuromere	FBbt:00110267	LT3 motor neuron	LT3	MN23-Ib		FBbt:00111039	larval abdominal 7 neuromere	A7			FBbt:00000948	muscle cell of abdominal 7 lateral transverse muscle 3								
FBbt:00048639	larval LT4 motor neuron of abdominal 1 neuromere	FBbt:00110270	LT4 motor neuron	LT3/LT4	MN23/24-Ib		FBbt:00111033	larval abdominal 1 neuromere	A1			FBbt:00000677|FBbt:00000678	muscle cell of abdominal 1 lateral transverse muscle 3|muscle cell of abdominal 1 lateral transverse muscle 4								
FBbt:00048785	larval LT4 motor neuron of abdominal 2 neuromere	FBbt:00110270	LT4 motor neuron	LT3/LT4	MN23/24-Ib		FBbt:00111034	larval abdominal 2 neuromere	A2			FBbt:00000723|FBbt:00000724	muscle cell of abdominal 2 lateral transverse muscle 3|muscle cell of abdominal 2 lateral transverse muscle 4								
FBbt:00048786	larval LT4 motor neuron of abdominal 3 neuromere	FBbt:00110270	LT4 motor neuron	LT3/LT4	MN23/24-Ib		FBbt:00111035	larval abdominal 3 neuromere	A3			FBbt:00000768|FBbt:00000769	muscle cell of abdominal 3 lateral transverse muscle 3|muscle cell of abdominal 3 lateral transverse muscle 4								
FBbt:00048787	larval LT4 motor neuron of abdominal 4 neuromere	FBbt:00110270	LT4 motor neuron	LT3/LT4	MN23/24-Ib		FBbt:00111036	larval abdominal 4 neuromere	A4			FBbt:00000813|FBbt:00000814	muscle cell of abdominal 4 lateral transverse muscle 3|muscle cell of abdominal 4 lateral transverse muscle 4								
FBbt:00048788	larval LT4 motor neuron of abdominal 5 neuromere	FBbt:00110270	LT4 motor neuron	LT3/LT4	MN23/24-Ib		FBbt:00111037	larval abdominal 5 neuromere	A5			FBbt:00000858|FBbt:00000859	muscle cell of abdominal 5 lateral transverse muscle 3|muscle cell of abdominal 5 lateral transverse muscle 4								
FBbt:00048789	larval LT4 motor neuron of abdominal 6 neuromere	FBbt:00110270	LT4 motor neuron	LT3/LT4	MN23/24-Ib		FBbt:00111038	larval abdominal 6 neuromere	A6			FBbt:00000903|FBbt:00000904	muscle cell of abdominal 6 lateral transverse muscle 3|muscle cell of abdominal 6 lateral transverse muscle 4								
FBbt:00048790	larval LT4 motor neuron of abdominal 7 neuromere	FBbt:00110270	LT4 motor neuron	LT3/LT4	MN23/24-Ib		FBbt:00111039	larval abdominal 7 neuromere	A7			FBbt:00000948|FBbt:00000949	muscle cell of abdominal 7 lateral transverse muscle 3|muscle cell of abdominal 7 lateral transverse muscle 4								
FBbt:00048797	larval SBM motor neuron of abdominal 1 neuromere	FBbt:00110275	SBM motor neuron	SBM	MN8-Ib	NAD	FBbt:00111033	larval abdominal 1 neuromere	A1			FBbt:00000655	abdominal 1 segment border muscle cell								
FBbt:00048798	larval SBM motor neuron of abdominal 2 neuromere	FBbt:00110275	SBM motor neuron	SBM	MN8-Ib	NAD	FBbt:00111034	larval abdominal 2 neuromere	A2			FBbt:00000716	abdominal 2 segment border muscle cell								
FBbt:00048799	larval SBM motor neuron of abdominal 3 neuromere	FBbt:00110275	SBM motor neuron	SBM	MN8-Ib	NAD	FBbt:00111035	larval abdominal 3 neuromere	A3			FBbt:00000761	abdominal 3 segment border muscle cell								
FBbt:00048800	larval SBM motor neuron of abdominal 4 neuromere	FBbt:00110275	SBM motor neuron	SBM	MN8-Ib	NAD	FBbt:00111036	larval abdominal 4 neuromere	A4			FBbt:00000806	abdominal 4 segment border muscle cell								
FBbt:00048801	larval SBM motor neuron of abdominal 5 neuromere	FBbt:00110275	SBM motor neuron	SBM	MN8-Ib	NAD	FBbt:00111037	larval abdominal 5 neuromere	A5			FBbt:00000851	abdominal 5 segment border muscle cell								
FBbt:00048802	larval SBM motor neuron of abdominal 6 neuromere	FBbt:00110275	SBM motor neuron	SBM	MN8-Ib	NAD	FBbt:00111038	larval abdominal 6 neuromere	A6			FBbt:00000896	abdominal 6 segment border muscle cell								
FBbt:00048803	larval SBM motor neuron of abdominal 7 neuromere	FBbt:00110275	SBM motor neuron	SBM	MN8-Ib	NAD	FBbt:00111039	larval abdominal 7 neuromere	A7			FBbt:00000941	abdominal 7 segment border muscle cell								
FBbt:00048817	larval V motor neuron of metathoracic neuromere	FBbt:00110300	V motor neuron	V	MN12-III	AC	FBbt:00111032	larval metathoracic neuromere	T3	abdominal 1	A1							FBbt:00000651	muscle cell of abdominal 1 ventral longitudinal muscle 1		
FBbt:00048818	larval V motor neuron of abdominal 1 neuromere	FBbt:00110300	V motor neuron	V	MN12-III	AC	FBbt:00111033	larval abdominal 1 neuromere	A1	abdominal 2	A2							FBbt:00000712	muscle cell of abdominal 2 ventral longitudinal muscle 1		
FBbt:00048819	larval V motor neuron of abdominal 2 neuromere	FBbt:00110300	V motor neuron	V	MN12-III	AC	FBbt:00111034	larval abdominal 2 neuromere	A2	abdominal 3	A3							FBbt:00000757	muscle cell of abdominal 3 ventral longitudinal muscle 1		
FBbt:00048820	larval V motor neuron of abdominal 3 neuromere	FBbt:00110300	V motor neuron	V	MN12-III	AC	FBbt:00111035	larval abdominal 3 neuromere	A3	abdominal 4	A4							FBbt:00000802	muscle cell of abdominal 4 ventral longitudinal muscle 1		
FBbt:00048821	larval V motor neuron of abdominal 4 neuromere	FBbt:00110300	V motor neuron	V	MN12-III	AC	FBbt:00111036	larval abdominal 4 neuromere	A4	abdominal 5	A5							FBbt:00000847	muscle cell of abdominal 5 ventral longitudinal muscle 1		
FBbt:00048822	larval V motor neuron of abdominal 5 neuromere	FBbt:00110300	V motor neuron	V	MN12-III	AC	FBbt:00111037	larval abdominal 5 neuromere	A5	abdominal 6	A6							FBbt:00000892	muscle cell of abdominal 6 ventral longitudinal muscle 1		
FBbt:00048823	larval V motor neuron of abdominal 6 neuromere	FBbt:00110300	V motor neuron	V	MN12-III	AC	FBbt:00111038	larval abdominal 6 neuromere	A6	abdominal 7	A7							FBbt:00000937	muscle cell of abdominal 7 ventral longitudinal muscle 1		
FBbt:00049122	larval VA1 motor neuron of abdominal 1 neuromere	FBbt:00110252	VA1 motor neuron	VA1	MN26-Ib		FBbt:00111033	larval abdominal 1 neuromere	A1			FBbt:00000644	muscle cell of abdominal 1 ventral acute muscle 1								
FBbt:00049123	larval VA1 motor neuron of abdominal 2 neuromere	FBbt:00110252	VA1 motor neuron	VA1	MN26-Ib		FBbt:00111034	larval abdominal 2 neuromere	A2			FBbt:00000689	muscle cell of abdominal 2 ventral acute muscle 1								
FBbt:00049124	larval VA1 motor neuron of abdominal 3 neuromere	FBbt:00110252	VA1 motor neuron	VA1	MN26-Ib		FBbt:00111035	larval abdominal 3 neuromere	A3			FBbt:00000734	muscle cell of abdominal 3 ventral acute muscle 1								
FBbt:00049125	larval VA1 motor neuron of abdominal 4 neuromere	FBbt:00110252	VA1 motor neuron	VA1	MN26-Ib		FBbt:00111036	larval abdominal 4 neuromere	A4			FBbt:00000779	muscle cell of abdominal 4 ventral acute muscle 1								
FBbt:00049126	larval VA1 motor neuron of abdominal 5 neuromere	FBbt:00110252	VA1 motor neuron	VA1	MN26-Ib		FBbt:00111037	larval abdominal 5 neuromere	A5			FBbt:00000824	muscle cell of abdominal 5 ventral acute muscle 1								
FBbt:00049127	larval VA1 motor neuron of abdominal 6 neuromere	FBbt:00110252	VA1 motor neuron	VA1	MN26-Ib		FBbt:00111038	larval abdominal 6 neuromere	A6			FBbt:00000869	muscle cell of abdominal 6 ventral acute muscle 1								
FBbt:00049128	larval VA1 motor neuron of abdominal 7 neuromere	FBbt:00110252	VA1 motor neuron	VA1	MN26-Ib		FBbt:00111039	larval abdominal 7 neuromere	A7			FBbt:00000914	muscle cell of abdominal 7 ventral acute muscle 1								
FBbt:00047008	larval VA2 motor neuron of abdominal 1 neuromere	FBbt:00110255	VA2 motor neuron	VA2	MN27-Ib		FBbt:00111033	larval abdominal 1 neuromere	A1			FBbt:00000645	muscle cell of abdominal 1 ventral acute muscle 2								
FBbt:00047009	larval VA2 motor neuron of abdominal 2 neuromere	FBbt:00110255	VA2 motor neuron	VA2	MN27-Ib		FBbt:00111034	larval abdominal 2 neuromere	A2			FBbt:00000690	muscle cell of abdominal 2 ventral acute muscle 2								
FBbt:00047010	larval VA2 motor neuron of abdominal 3 neuromere	FBbt:00110255	VA2 motor neuron	VA2	MN27-Ib		FBbt:00111035	larval abdominal 3 neuromere	A3			FBbt:00000735	muscle cell of abdominal 3 ventral acute muscle 2								
FBbt:00047011	larval VA2 motor neuron of abdominal 4 neuromere	FBbt:00110255	VA2 motor neuron	VA2	MN27-Ib		FBbt:00111036	larval abdominal 4 neuromere	A4			FBbt:00000780	muscle cell of abdominal 4 ventral acute muscle 2								
FBbt:00047012	larval VA2 motor neuron of abdominal 5 neuromere	FBbt:00110255	VA2 motor neuron	VA2	MN27-Ib		FBbt:00111037	larval abdominal 5 neuromere	A5			FBbt:00000825	muscle cell of abdominal 5 ventral acute muscle 2								
FBbt:00047013	larval VA2 motor neuron of abdominal 6 neuromere	FBbt:00110255	VA2 motor neuron	VA2	MN27-Ib		FBbt:00111038	larval abdominal 6 neuromere	A6			FBbt:00000870	muscle cell of abdominal 6 ventral acute muscle 2								
FBbt:00047014	larval VA2 motor neuron of abdominal 7 neuromere	FBbt:00110255	VA2 motor neuron	VA2	MN27-Ib		FBbt:00111039	larval abdominal 7 neuromere	A7			FBbt:00000915	muscle cell of abdominal 7 ventral acute muscle 2								
FBbt:00048832	larval VA3 motor neuron of abdominal 1 neuromere	FBbt:00110258	VA3 motor neuron	VA3	MN29-Ib		FBbt:00111033	larval abdominal 1 neuromere	A1			FBbt:00000646	muscle cell of abdominal 1 ventral acute muscle 3								
