defined_class	defined_class_label	IL_position	H_position	neuroblast	neuroblast_label	soma	soma_label	nb_label	ito_lee	hartenstein	reference	hartenstein_synonym_type	ito_lee_synonym_type
FBbt:00053634		dorsal	dorsal	FBbt:00100608	neuroblast CP1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	CP1 dorsal hemilineage neuron	SMPpv2 dorsal hemilineage neuron	CP1 dorsal hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053635		ventral	ventral	FBbt:00100608	neuroblast CP1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	CP1 ventral hemilineage neuron	SMPpv2 ventral hemilineage neuron	CP1 ventral hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053636		dorsal	medial	FBbt:00100612	neuroblast BLAv1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLAv1 medial hemilineage neuron	VLPl&d1 dorsal hemilineage neuron	BLAv1 medial hemilineage neuron	FlyBase:FBrf0260535|FlyBase:FBrf0223298	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053637		lateral	posterior	FBbt:00100612	neuroblast BLAv1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLAv1 posterior hemilineage neuron	VLPl&d1 lateral hemilineage neuron	BLAv1 posterior hemilineage neuron	FlyBase:FBrf0260535|FlyBase:FBrf0223298	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053638		dorsal	dorsal	FBbt:00100615	neuroblast BLAd2	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLAd2 dorsal hemilineage neuron	SIPa1 dorsal hemilineage neuron	BLAd2 dorsal hemilineage neuron	FlyBase:FBrf0246460|FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053639		ventral	ventral	FBbt:00100615	neuroblast BLAd2	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLAd2 ventral hemilineage neuron	SIPa1 ventral hemilineage neuron	BLAd2 ventral hemilineage neuron	FlyBase:FBrf0246460|FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053640		lateral	lateral	FBbt:00100618	neuroblast BLAl1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLAl1 lateral hemilineage neuron	SLPav1 lateral hemilineage neuron	BLAl1 lateral hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053641		medial	medial	FBbt:00100618	neuroblast BLAl1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLAl1 medial hemilineage neuron	SLPav1 medial hemilineage neuron	BLAl1 medial hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053642		anterior	medial	FBbt:00100619	neuroblast BLAvm	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLAvm medial hemilineage neuron	SLPa&l1 anterior hemilineage neuron	BLAvm medial hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053643		lateral	posterior	FBbt:00100619	neuroblast BLAvm	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLAvm posterior hemilineage neuron	SLPa&l1 lateral hemilineage neuron	BLAvm posterior hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053644		dorsal	dorsal	FBbt:00100620	neuroblast BLD1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLD1 dorsal hemilineage neuron	LHl4 dorsal hemilineage neuron	BLD1 dorsal hemilineage neuron	FlyBase:FBrf0246460|FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053645		posterior	posterior	FBbt:00100620	neuroblast BLD1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLD1 posterior hemilineage neuron	LHl4 posterior hemilineage neuron	BLD1 posterior hemilineage neuron	FlyBase:FBrf0246460|FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053646		anterior	anterior	FBbt:00100622	neuroblast BLD3	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLD3 anterior hemilineage neuron	VLPl4 anterior hemilineage neuron	BLD3 anterior hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053647		dorsal	dorsal	FBbt:00100622	neuroblast BLD3	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLD3 dorsal hemilineage neuron	VLPl4 dorsal hemilineage neuron	BLD3 dorsal hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053648		posterior	posterior	FBbt:00100625	neuroblast BLP1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLP1 posterior hemilineage neuron	VPNp&v1 posterior hemilineage neuron	BLP1 posterior hemilineage neuron	FlyBase:FBrf0246460|FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053649		ventral	ventral	FBbt:00100625	neuroblast BLP1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLP1 ventral hemilineage neuron	VPNp&v1 ventral hemilineage neuron	BLP1 ventral hemilineage neuron	FlyBase:FBrf0246460|FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053650		lateral	anterior	FBbt:00100633	neuroblast BLVp1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLVp1 anterior hemilineage neuron	VLPl&p2 lateral hemilineage neuron	BLVp1 anterior hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053651		posterior	posterior	FBbt:00100633	neuroblast BLVp1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLVp1 posterior hemilineage neuron	VLPl&p2 posterior hemilineage neuron	BLVp1 posterior hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
