defined_class	defined_class_label	neuroblast	neuroblast_label	segment	segment_label	other_type	other_type_label
FBbt:00001372	thoracic neuroblast NB1-1	FBbt:00001371	neuroblast NB1-1	FBbt:00000016	thoracic segment		
FBbt:00001373	abdominal neuroblast NB1-1	FBbt:00001371	neuroblast NB1-1	FBbt:00000021	abdominal segment	FBbt:00052382	type II neuroglioblast
FBbt:00001378	thoracic neuroblast NB5-6	FBbt:00001377	neuroblast NB5-6	FBbt:00000016	thoracic segment		
FBbt:00001379	abdominal neuroblast NB5-6	FBbt:00001377	neuroblast NB5-6	FBbt:00000021	abdominal segment		
FBbt:00001386	thoracic neuroblast NB2-2	FBbt:00001385	neuroblast NB2-2	FBbt:00000016	thoracic segment	FBbt:00005147	neuroglioblast
FBbt:00001387	abdominal neuroblast NB2-2	FBbt:00001385	neuroblast NB2-2	FBbt:00000021	abdominal segment		
FBbt:00001395	thoracic neuroblast NB3-1	FBbt:00001394	neuroblast NB3-1	FBbt:00000016	thoracic segment		
FBbt:00001396	abdominal neuroblast NB3-1	FBbt:00001394	neuroblast NB3-1	FBbt:00000021	abdominal segment		
FBbt:00001400	thoracic neuroblast NB6-4	FBbt:00001399	neuroblast NB6-4	FBbt:00000016	thoracic segment	FBbt:00052381	type I neuroglioblast
FBbt:00001401	abdominal neuroblast NB6-4	FBbt:00001399	neuroblast NB6-4	FBbt:00000021	abdominal segment	FBbt:00005145	glioblast
FBbt:00001412	thoracic neuroblast NB2-4	FBbt:00001411	neuroblast NB2-4	FBbt:00000016	thoracic segment		
FBbt:00001413	abdominal neuroblast NB2-4	FBbt:00001411	neuroblast NB2-4	FBbt:00000021	abdominal segment		
FBbt:00001417	thoracic neuroblast NB5-4	FBbt:00001416	neuroblast NB5-4	FBbt:00000016	thoracic segment		
FBbt:00001418	abdominal neuroblast NB5-4	FBbt:00001416	neuroblast NB5-4	FBbt:00000021	abdominal segment		
FBbt:00003561	thoracic neuroblast	FBbt:00005146	neuroblast	FBbt:00000016	thoracic segment	FBbt:00001369	neuroblast of ventral nervous system
FBbt:00003584	abdominal neuroblast	FBbt:00005146	neuroblast	FBbt:00000021	abdominal segment	FBbt:00001369	neuroblast of ventral nervous system
FBbt:00003594	abdominal 2 neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000023	abdominal segment 2		
FBbt:00003596	abdominal 2 neuroblast NB5-2	FBbt:00001376	neuroblast NB5-2	FBbt:00000023	abdominal segment 2		
FBbt:00003598	abdominal neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000021	abdominal segment		
FBbt:00003599	abdominal 3 neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000024	abdominal segment 3		
FBbt:00003600	abdominal 4 neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000025	abdominal segment 4		
