NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=true	8834
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=true	8500
NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=false	8834
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=false	8500
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	2321
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	23980
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	66
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	59743
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	2321
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	23980
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	66
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	59743
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_function_in 'has_function_in'	1	0	1	0	0	0	0	1	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_via_type_III_bouton_to 'synapsed_via_type_III_bouton_to'	0	1	1	1	1	0	2	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_presynaptic_terminals_in 'has_presynaptic_terminal_in'	1	0	1	8	1	0	594	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=secretes_hormone 'secretes_hormone'	0	0	1	0	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_by_type_Is_bouton_of 'synapsed_by_type_Is_bouton_of'	0	1	1	0	1	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_synaptic_terminals_in 'has_synaptic_terminal_in'	1	1	1	23	3	0	481	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_postsynaptic_terminals_in 'has_postsynaptic_terminal_in'	1	0	1	54	1	0	655	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=innervates 'innervates'	1	1	1	0	0	0	122	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=regulates 'regulates'	0	0	1	0	2	0	3	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=overlaps 'overlaps'	3	0	1	6	6	0	1401	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=located_in 'located_in'	1	0	1	0	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=occurs_in 'occurs in'	0	0	1	0	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_function_in_part_of 'has_function_in_part_of'	2	0	1	0	0	0	0	1	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=capable_of_part_of 'capable_of_part_of'	1	0	1	7	0	0	24	1	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=develops_from 'develops_from'	0	0	1	327	1	1	1235	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=electrically_synapsed_to 'electrically_synapsed_to'	0	0	1	0	1	0	20	1	0	0
