defined_class	mode_1	mode_2	mode_ID	leg_name	sensillum	sensillum_ID	def_dbxref
FBbt:00051971	sour	sour	GO:0001581	mesothoracic	5b	FBbt:00048196	FlyBase:FBrf0236716
FBbt:00051972	sour	sour	GO:0001581	mesothoracic	5v	FBbt:00048197	FlyBase:FBrf0236716
FBbt:00051973	sour	sour	GO:0001581	metathoracic	5b	FBbt:00048207	FlyBase:FBrf0236716
FBbt:00051974	sour	sour	GO:0001581	metathoracic	5v	FBbt:00048208	FlyBase:FBrf0236716
FBbt:00051975	sour	sour	GO:0001581	prothoracic	5b	FBbt:00048184	FlyBase:FBrf0236716
FBbt:00051976	sour	sour	GO:0001581	prothoracic	5s	FBbt:00048186	FlyBase:FBrf0236716
FBbt:00051977	sour	sour	GO:0001581	prothoracic	5v	FBbt:00048185	FlyBase:FBrf0236716
