group	OL_type	Matsliah_type	Schlegel_type	hemibrain_type	OL	Matsliah	Schlegel_L	Schlegel_R	matched as	Notes	specificity	FBbt_id	FBbt_name
VPN	LT64		LT64	LT64	1		2	2	1-to-1			FBbt:20011461	adult lobula tangential neuron LT64
VPN	LT65		LT65	LT65	1		1	1	1-to-1			FBbt:20011462	adult lobula tangential neuron LT65
VPN	LT66		LT66	LT66	1		1	1	1-to-1			FBbt:20011463	adult lobula tangential neuron LT66
VPN	LT67		LT67	LT67	1		1	1	1-to-1			FBbt:20011464	adult lobula tangential neuron LT67
VPN	LT68		LT68	LT68	2		2	2	1-to-1			FBbt:20011465	adult lobula tangential neuron LT68
VPN	LT69		LT69	LT69	1		1	1	1-to-1			FBbt:20011466	adult lobula tangential neuron LT69
VPN	LT72		LT72	LT72	1		1	1	1-to-1			FBbt:20011468	adult lobula tangential neuron LT72
VPN	LT73		LT73	LT73	2		2	2	1-to-1			FBbt:20011469	adult lobula tangential neuron LT73
VPN	LT74		LT74	LT74	3		3	2	1-to-1			FBbt:20011470	adult lobula tangential neuron LT74
VPN	LT75		LT75	LT75	1		1	1	1-to-1			FBbt:20011471	adult lobula tangential neuron LT75
VPN	LT76		LT76	LT76	1		1	1	1-to-1			FBbt:20011472	adult lobula tangential neuron LT76
VPN	LT77		LT77	LT77	3		3	3	1-to-1			FBbt:20011473	adult lobula tangential neuron LT77
VPN	LT78		LT78	LT78	4		4	4	1-to-1			FBbt:20011474	adult lobula tangential neuron LT78
VPN	LT79		LT79	LT79	1		1	1	1-to-1			FBbt:20011475	adult lobula tangential neuron LT79
VPN	LT80		LT80	LT80	2		2	2	1-to-1			FBbt:20011476	adult lobula tangential neuron LT80
VPN	LT81		LT81	LT81	6		4	5	1-to-1			FBbt:20011477	adult lobula tangential neuron LT81
VPN	LT82a		LT82a	LT82a,LT82b	2		2	2	1-to-1			FBbt:20011478	adult lobula tangential neuron LT82a
VPN	LT82b		LT82b	LT82a,LT82b	1		1	1	1-to-1			FBbt:20011479	adult lobula tangential neuron LT82b
VPN	LT83		LT83	LT83	1		1	1	1-to-1			FBbt:20011480	adult lobula tangential neuron LT83
VPN	LT84		LT84	LT84	1		1	1	1-to-1			FBbt:20011481	adult lobula tangential neuron LT84
VPN	LT85		LT85	LT85	1		1	1	1-to-1			FBbt:20011482	adult lobula tangential neuron LT85
