accession	type	class	superclass	subclass	fruDsx	synonyms	hemibrainType	flywireType	mancType	somaNeuromere	specificity	FBbt_id	FBbt_name	references
31783	CL161_a		cb_intrinsic				CL161	CL161a			parent_term	FBbt:20000866	adult clamp neuron 161	
12815	M_lv2PN9t49_a	ALPN	cb_intrinsic				M_lv2PN9t49	M_lv2PN9t49			parent_term	FBbt:00049746	adult antennal lobe projection neuron VP2++ lv2PN	
24426	CL122_a		cb_intrinsic		fru_low	Cachero 2010: aDT-g; Yu 2010: aDT5	CL122	CL122_a			parent_term	FBbt:20000827	adult clamp neuron 122	
37192	PVLP008_c		cb_intrinsic				PVLP008_c	CB4050			parent_term	FBbt:20002066	adult posterior ventrolateral protocerebrum neuron 008	
24828	lLN2P_b	ALLN	cb_intrinsic				lLN2P_b	lLN2P_b		DC	parent_term	FBbt:00049813	adult antennal lobe local neuron lLN2P	
15787	CL070_a		cb_intrinsic				CL070	CL070a			parent_term	FBbt:20000775	adult clamp neuron 070	
113085	PVLP008_c		cb_intrinsic				PVLP008_c	CB4050			parent_term	FBbt:20002066	adult posterior ventrolateral protocerebrum neuron 008	
21276	CL071_a		cb_intrinsic				CL071	CL071a			parent_term	FBbt:20000776	adult clamp neuron 071	
46894	LHPV3b1_a		cb_intrinsic				LHPV3b1_a	CB1961,CB2796			parent_term	FBbt:00049705	adult lateral horn PV3b1 neuron	
29478	WED166_d		cb_intrinsic				WED166_d	WED166_d			parent_term	FBbt:20003716	adult wedge neuron 166	
25990	WED166_d		cb_intrinsic				WED166_d	WED166_d			parent_term	FBbt:20003716	adult wedge neuron 166	
24142	CL128_d		cb_intrinsic				CL128	CL128b			parent_term	FBbt:20000833	adult clamp neuron 128	
30976	LHPV3b1_a		cb_intrinsic				LHPV3b1_a	CB1961,CB2796			parent_term	FBbt:00049705	adult lateral horn PV3b1 neuron	
12091	PS196_b		cb_intrinsic				PS196	PS196		CG	parent_term	FBbt:20001951	adult posterior slope neuron 196	
76486	LAL030_b		cb_intrinsic				LAL030_b	LAL030a			parent_term	FBbt:20001326	adult lateral accessory lobe neuron 030	
519242	lLN2T_d	ALLN	cb_intrinsic				lLN2T_d	lLN2T_d		DC	parent_term	FBbt:00049816	adult antennal lobe local neuron lLN2T	
76873	LHPD2a4_a		cb_intrinsic				LHPD2a4_a	CB2031,CB3231			parent_term	FBbt:00051755	adult lateral horn PD2a4 neuron	
40385	LAL043_c		cb_intrinsic				LAL043	LAL043c			parent_term	FBbt:20001339	adult lateral accessory lobe neuron 043	
118234	SIP003_b		cb_intrinsic				SIP003_b	SIP003_b			parent_term	FBbt:20002307	adult superior intermediate protocerebrum neuron 003	
29212	CL283_b		cb_intrinsic				CL283	CL283b			parent_term	FBbt:20000988	adult clamp neuron 283	
