accession	type	class	superclass	subclass	fruDsx	synonyms	hemibrainType	flywireType	mancType	somaNeuromere	specificity	FBbt_id	FBbt_name	references
111191	ITP		cb_endocrine					ITP				FBbt:00048313	ITP neuron	
512736	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
11052	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
17521	ITP		cb_endocrine					ITP				FBbt:00048313	ITP neuron	
18063	ITP		cb_endocrine					ITP				FBbt:00048313	ITP neuron	
10812	DH44		cb_endocrine				PI1,PI2,PI3	DH44				FBbt:00047132	Dh44 neuron of pars intercerebralis	doi:10.1101/2025.10.09.680999
10665	DH44		cb_endocrine				PI1,PI2,PI3	DH44				FBbt:00047132	Dh44 neuron of pars intercerebralis	doi:10.1101/2025.10.09.680999
11162	DH44		cb_endocrine				PI1,PI2,PI3	DH44				FBbt:00047132	Dh44 neuron of pars intercerebralis	doi:10.1101/2025.10.09.680999
11767	DH44		cb_endocrine				PI1,PI2,PI3	DH44				FBbt:00047132	Dh44 neuron of pars intercerebralis	doi:10.1101/2025.10.09.680999
555767	DH44		cb_endocrine				PI1,PI2,PI3	DH44				FBbt:00047132	Dh44 neuron of pars intercerebralis	doi:10.1101/2025.10.09.680999
10911	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
11209	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
567407	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
10758	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
12330	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
12867	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
13216	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
11585	CAPA		cb_endocrine					CAPA		LB		FBbt:00052777	adult subesophageal Capability neuron	doi:10.1101/2025.10.09.680999
17819	Hugin-RG		cb_endocrine					Hugin-RG				FBbt:00052009	adult Hugin neuron of the corpus allatum	
124747	Hugin-RG		cb_endocrine					Hugin-RG				FBbt:00052009	adult Hugin neuron of the corpus allatum	
10086	DH44		cb_endocrine				PI1,PI2,PI3	DH44				FBbt:00047132	Dh44 neuron of pars intercerebralis	doi:10.1101/2025.10.09.680999
20146	ITP		cb_endocrine					ITP				FBbt:00048313	ITP neuron	
104438	ITP		cb_endocrine					ITP				FBbt:00048313	ITP neuron	
11284	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
11946	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
555768	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
12400	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
13712	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
18794	Hugin-RG		cb_endocrine					Hugin-RG				FBbt:00052009	adult Hugin neuron of the corpus allatum	
12921	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
564770	ITP		cb_endocrine					ITP				FBbt:00048313	ITP neuron	
18865	Hugin-RG		cb_endocrine					Hugin-RG				FBbt:00052009	adult Hugin neuron of the corpus allatum	
10981	CAPA		cb_endocrine					CAPA		LB		FBbt:00052777	adult subesophageal Capability neuron	doi:10.1101/2025.10.09.680999
69710	ITP		cb_endocrine					ITP				FBbt:00048313	ITP neuron	
12523	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
34117	WED26		cb_intrinsic				WED26	WED26b				FBbt:20003576	adult wedge neuron 026	
154825	FB9C	CX	cb_intrinsic				FB9C	FB9C				FBbt:00052848	adult fan-shaped body layer 9 neuron of DPMpl2 lineage	
160865	FB9C	CX	cb_intrinsic				FB9C	FB9C				FBbt:00052848	adult fan-shaped body layer 9 neuron of DPMpl2 lineage	
162128	FB9C	CX	cb_intrinsic				FB9C	FB9C				FBbt:00052848	adult fan-shaped body layer 9 neuron of DPMpl2 lineage	
153928	FB9C	CX	cb_intrinsic				FB9C	FB9C				FBbt:00052848	adult fan-shaped body layer 9 neuron of DPMpl2 lineage	
153440	FB9C	CX	cb_intrinsic				FB9C	FB9C				FBbt:00052848	adult fan-shaped body layer 9 neuron of DPMpl2 lineage	
31902	WED26		cb_intrinsic				WED26	WED26b				FBbt:20003576	adult wedge neuron 026	
32554	WED26		cb_intrinsic				WED26	WED26b				FBbt:20003576	adult wedge neuron 026	
43350	WED26		cb_intrinsic				WED26	WED26b				FBbt:20003576	adult wedge neuron 026	
13457	aMe13		cb_intrinsic				aMe13	aMe13				FBbt:00052758	large central-projecting DN3 neuron	
520020	AVLP717m		cb_intrinsic		fru_high	Cachero 2010: pIP-f				CG		FBbt:00110489	adult fruitless pIP-f neuron	doi:10.1101/2025.10.09.680999
521783	AVLP712m		cb_intrinsic		fru_high	Cachero 2010: aIP-d; Yu 2010: aIP1						FBbt:00110589	adult fruitless aIP-d (male) neuron	doi:10.1101/2025.10.09.680999
10507	GNG701m		cb_intrinsic		dsx_high	Rideout 2010, Nojima 2021: SN						FBbt:00047355	adult doublesex SN (male) neuron	doi:10.1101/2025.10.09.680999
12074	SIP133m		cb_intrinsic		fru_high	Cachero 2010: aSP-e						FBbt:00110457	adult fruitless aSP-e neuron	doi:10.1101/2025.10.09.680999
523561	SIP133m		cb_intrinsic		fru_high	Cachero 2010: aSP-e						FBbt:00110457	adult fruitless aSP-e neuron	doi:10.1101/2025.10.09.680999
156233	FB9C	CX	cb_intrinsic				FB9C	FB9C				FBbt:00052848	adult fan-shaped body layer 9 neuron of DPMpl2 lineage	
516097	M_ilPNm90	ALPN	cb_intrinsic	BI			M_ilPNm90,M_ilPN8t91	M_ilPNm90,M_ilPN8t91				FBbt:00049917	adult antennal lobe projection neuron DA2++ ilPN	
17169	aMe13		cb_intrinsic				aMe13	aMe13				FBbt:00052758	large central-projecting DN3 neuron	
158908	FB9C	CX	cb_intrinsic				FB9C	FB9C				FBbt:00052848	adult fan-shaped body layer 9 neuron of DPMpl2 lineage	
11854	AVLP717m		cb_intrinsic		fru_high	Cachero 2010: pIP-f				CG		FBbt:00110489	adult fruitless pIP-f neuron	doi:10.1101/2025.10.09.680999
14391	M_ilPNm90	ALPN	cb_intrinsic	BI			M_ilPNm90,M_ilPN8t91	M_ilPNm90,M_ilPN8t91				FBbt:00049917	adult antennal lobe projection neuron DA2++ ilPN	
10988	AVLP712m		cb_intrinsic		fru_high	Cachero 2010: aIP-d; Yu 2010: aIP1						FBbt:00110589	adult fruitless aIP-d (male) neuron	doi:10.1101/2025.10.09.680999
13519	GNG701m		cb_intrinsic		dsx_high	Rideout 2010, Nojima 2021: SN						FBbt:00047355	adult doublesex SN (male) neuron	doi:10.1101/2025.10.09.680999
216592	FB9C	CX	cb_intrinsic				FB9C	FB9C				FBbt:00052848	adult fan-shaped body layer 9 neuron of DPMpl2 lineage	
170326	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
189426	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
190983	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
191539	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
193450	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
193699	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
203208	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
203822	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
207348	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
207504	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
208719	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
210251	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
210915	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
211020	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
212198	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
213138	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
214285	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
214478	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
215151	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
215643	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
220170	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
220685	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
221163	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
221778	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
221779	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
222144	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
223296	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
223575	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
223714	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
224225	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
225563	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
226280	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
227275	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
227896	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
228003	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
228329	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
229032	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
229401	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
230007	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
231544	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
232031	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
232997	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
233166	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
233717	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
234346	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
234547	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
236733	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
237207	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
237468	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
238266	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
241273	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
241942	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
242623	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
242842	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
243860	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
244467	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
244621	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
246089	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
246760	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
246970	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
247188	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
247785	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
248702	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
249230	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
249354	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
249680	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
249814	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
252582	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
255240	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
255531	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
256027	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
256417	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
258029	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
258330	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
258520	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
263156	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
263271	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
266262	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
266317	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
266608	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
267387	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
271182	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
271710	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
272440	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
273370	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
275384	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
276003	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
276101	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
276272	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
279816	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
280704	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
283181	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
284053	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
284978	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
285013	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
285376	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
286544	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
291322	BM_InOm	mechanosensory	cb_sensory									FBbt:00047346	mechanosensory neuron of interommatidial bristle	
295431	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
302324	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
302428	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
303718	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
304399	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
304920	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
307879	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
308997	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
312492	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
313934	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
315326	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
315481	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
319505	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
320555	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
322206	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
324531	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
325964	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
331877	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
334545	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
343506	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
346744	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
351048	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
353353	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
354071	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
355731	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
357720	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
491923	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
494761	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
496528	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
553896	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
554335	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
554336	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
901041	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
902808	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
910138	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
102317176	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
102863178	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
921808	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
923446	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
934425	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
946733	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
946742	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
364355	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
364854	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
367218	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
370141	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
373094	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
374817	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
376328	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
377359	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
386994	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
387932	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
391643	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
395056	BM_InOm	mechanosensory	cb_sensory									FBbt:00047346	mechanosensory neuron of interommatidial bristle	
396745	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
397384	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
400937	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
401779	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
402408	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
404484	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
407942	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
408508	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
430497	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
430903	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
432605	BM_InOm	mechanosensory	cb_sensory									FBbt:00047346	mechanosensory neuron of interommatidial bristle	
441077	BM_InOm	mechanosensory	cb_sensory					BM_InOm				FBbt:00047346	mechanosensory neuron of interommatidial bristle	
