flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	specificity	FBbt_id	FBbt_name
afferent	ascending	AN	AN_AVLP	AN_AVLP_25		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_26		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_27		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_28		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_29		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_3		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_30		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_31		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_32		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_33		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_34		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_35		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_36		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_37		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_38		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_39		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_4		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_40		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_41		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_42		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_43		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_44		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_45		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_46		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_47		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_48		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_49		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_5		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_50		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_51		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_52		general_term	FBbt:00048301	adult ascending neuron
